L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.2543,31.3907,66.4844,0.0304103,1.36196,1.86019,83.1353,0.000538371,13.6453,6.86464,47.9126,0.00320117,0.831253,1.38142,7.09145,1.21875e-05,2.13507,1.27928,19.8214,2.69521
46.2543,31.3907,66.4839,0.0301165,1.3516,1.85883,83.1293,0.000536785,13.6453,6.86464,47.9121,0.00290738,0.820888,1.38005,7.08547,1.15292e-05,2.13551,1.27929,19.8592,2.69524
46.2543,31.3907,66.4848,0.0305843,1.36337,1.86058,83.1339,0.000538382,13.6453,6.86464,47.9129,0.00337516,0.832659,1.38181,7.09006,1.28477e-05,2.13506,1.27928,19.8206,2.69519
46.2543,31.3907,66.4845,0.0300486,1.35808,1.86019,83.1329,0.000535568,13.6453,6.86464,47.9126,0.00283953,0.827368,1.38142,7.08912,1.09052e-05,2.13522,1.27929,19.8347,2.69522
46.2543,31.3907,66.4849,0.0302025,1.36669,1.86156,83.1365,0.000537307,13.6453,6.86464,47.913,0.00299336,0.835975,1.38279,7.09267,1.16755e-05,2.13489,1.27928,19.8059,2.6952
46.2543,31.3907,66.4854,0.0305276,1.37041,1.86106,83.1382,0.00053748,13.6453,6.86464,47.9136,0.00331853,0.839695,1.38228,7.09443,1.28397e-05,2.13477,1.27927,19.7953,2.69516
46.2543,31.3907,66.4848,0.0297816,1.36424,1.86013,83.1377,0.0005349,13.6453,6.86464,47.913,0.0025725,0.833532,1.38135,7.09388,1.02798e-05,2.13495,1.27929,19.8116,2.69522
46.2543,31.3907,66.4849,0.0302137,1.36606,1.86116,83.1369,0.000536622,13.6453,6.86464,47.913,0.00300463,0.835354,1.38238,7.09314,1.14594e-05,2.1349,1.27928,19.8071,2.6952
46.2543,31.3907,66.4847,0.0300804,1.36342,1.86102,83.1348,0.000536288,13.6453,6.86464,47.9128,0.00287131,0.832711,1.38225,7.09103,1.11526e-05,2.13502,1.27928,19.8175,2.69521
46.2543,31.3907,66.4843,0.0300453,1.35731,1.85949,83.1317,0.000536983,13.6453,6.86464,47.9125,0.00283619,0.8266,1.38072,7.08787,1.13336e-05,2.13529,1.27929,19.8405,2.69522
