Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993051,0,0.0759017,6.85661e-07,0.591577,0,1.69146,2.11413e-05,0.0473658,0,0.0520562,5.82817e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422803,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82817e-07,0.0585562
2,17.7669,15.8789,15.011,0.000357769,0.49413,0.657497,2.97575,1.06803e-05,5.59145,3.70338,13.2845,3.86273e-05,0.264448,0.427815,2.1073,1.34641e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,3.86273e-05,0.0155217,0.539168,0.129148,0.0239474,0.00853657,0.448777,2.1073,1.34641e-07,0.920125
3,5.2584,4.4361,9.71705,0.000678647,0.147969,0.246218,2.63177,1.83875e-05,1.7232,0.900898,8.85888,4.03557e-05,0.0777694,0.176019,0.902243,1.66939e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.85888,4.03557e-05,0.0293457,0.201755,0.0417726,0.0102609,0.00755516,0.138153,0.902243,1.66939e-07,1.73961
4,8.11523,6.47708,10.21,0.00136366,0.243714,0.440026,5.26176,3.54731e-05,2.76424,1.12609,8.85917,8.70478e-05,0.143078,0.33939,1.80374,3.42281e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.85917,8.70478e-05,0.0584488,0.385798,0.0761984,0.020472,0.0118465,0.201395,1.80374,3.42281e-07,3.46485
5,2.20178,1.60005,9.13284,0.00272317,0.0887974,0.15398,7.5835,6.94992e-05,0.884598,0.282868,7.59701,0.00016983,0.0615256,0.126708,0.669668,6.45591e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59701,0.00016983,0.116473,0.15665,0.024022,0.00756161,0.017688,0.0627935,0.669668,6.45591e-07,6.90454
6,3.69973,2.49858,10.5348,0.00536344,0.148728,0.291,15.1613,0.000137411,1.66454,0.463394,7.59739,0.000256293,0.110101,0.252372,1.33396,9.95012e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59739,0.000256293,0.232886,0.300663,0.0467762,0.0150336,0.0313899,0.0980491,1.33396,9.95012e-07,13.8055
7,0.50363,0.470184,9.57629,0.0179182,0.0299723,0.0437515,49.3416,0.000252042,0.419468,0.386021,0.0137944,0.000631829,0.0180563,0.0318355,0.178862,2.41396e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0137944,0.000631829,0.827824,0.0300708,0.0183357,0.0014854,0.107445,0.0556825,0.178862,2.41396e-06,49.0734
8,0.0340165,0.0298294,0.0180526,2.47454e-05,0.000537241,0.000777958,0.0602365,3.23442e-07,0.00617949,0.00199248,0.00208176,3.64592e-06,9.78382e-05,0.000338555,0.000217376,1.87199e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00208176,3.64592e-06,0.00101147,0.000324227,8.89254e-05,2.32414e-05,0.000321226,0.000724291,0.000217376,1.87199e-08,0.0599602
Total,46.2543,31.3907,66.4761,0.0284579,1.25315,1.83325,83.0919,0.000524502,13.6453,6.86464,47.9043,0.00124877,0.722442,1.35448,7.04805,5.29997e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9043,0.00124877,1.2825,1.65671,0.339823,0.0803881,0.186405,1.05315,7.04805,5.29997e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13951,0.00693724,1.27937,20.2106,0.0146166,2.69561
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


