Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.11945e-05,0.0992998,0,0.0759017,4.28054e-07,0.591577,0,1.69146,1.40734e-05,0.0473605,0,0.0520562,3.2521e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.40734e-05,0.000987789,0.042275,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.2521e-07,0.0585562
2,17.7669,15.8789,15.0146,0.000321783,0.548759,0.661107,3.00926,8.79146e-06,5.59145,3.70338,13.2881,2.64138e-06,0.319077,0.431426,2.14081,1.65913e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2881,2.64138e-06,0.0155217,0.597094,0.129148,0.0242612,0.00853657,0.448777,2.14081,1.65913e-08,0.920125
3,5.2584,4.4361,9.71627,0.000639839,0.133953,0.2378,2.62933,1.72087e-05,1.7232,0.900898,8.85811,1.54758e-06,0.0637537,0.1676,0.899798,1.95883e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.85811,1.54758e-06,0.0293457,0.179355,0.0417726,0.0102265,0.00755516,0.138153,0.899798,1.95883e-08,1.73961
4,8.11523,6.47708,10.2085,0.00127736,0.189299,0.407051,5.24954,3.42182e-05,2.76424,1.12609,8.85768,7.5273e-07,0.088663,0.306415,1.79152,2.8553e-08,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.85768,7.5273e-07,0.0584488,0.29854,0.0761984,0.0203401,0.0118465,0.201395,1.79152,2.8553e-08,3.46485
5,2.20178,1.60005,9.1312,0.00255882,0.0677276,0.144693,7.57812,6.83565e-05,0.884598,0.282868,7.59537,5.48245e-06,0.0404559,0.117421,0.664287,7.42852e-08,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59537,5.48245e-06,0.116473,0.126366,0.024022,0.00748915,0.017688,0.0627935,0.664287,7.42852e-08,6.90454
6,3.69973,2.49858,10.5338,0.00512546,0.113292,0.269085,15.156,0.00013659,1.66454,0.463394,7.59645,1.8313e-05,0.0746647,0.230457,1.32857,1.74437e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59645,1.8313e-05,0.232886,0.243395,0.0467762,0.0149504,0.0313899,0.0980491,1.32857,1.74437e-07,13.8055
7,0.50363,0.470184,9.57618,0.0173172,0.0279069,0.0424396,49.3411,0.000250125,0.419468,0.386021,0.0136896,3.08733e-05,0.0159909,0.0305236,0.178331,4.96829e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0136896,3.08733e-05,0.827824,0.0266981,0.0183357,0.00148077,0.107445,0.0556825,0.178331,4.96829e-07,49.0734
8,0.0340165,0.0298294,0.0179944,2.12666e-05,0.000529525,0.00077678,0.0602361,3.11102e-07,0.00617949,0.00199248,0.00202355,1.67122e-07,9.01219e-05,0.000337377,0.000216943,6.38024e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00202355,1.67122e-07,0.00101147,0.000315373,8.89254e-05,2.32012e-05,0.000321226,0.000724291,0.000216943,6.38024e-09,0.0599602
Total,46.2543,31.3907,66.4747,0.027283,1.18077,1.76295,83.0994,0.000516029,13.6453,6.86464,47.9028,7.38509e-05,0.650056,1.28418,7.05559,1.14187e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9028,7.38509e-05,1.2825,1.51404,0.339823,0.0803753,0.186405,1.05315,7.05559,1.14187e-06,76.0265

