Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,1.21455e-05,0.0992977,0,0.0759017,2.41122e-07,0.591577,0,1.69146,5.02446e-06,0.0473584,0,0.0520562,1.38279e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,5.02446e-06,0.000987789,0.042273,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,1.38279e-07,0.0585562
2,17.7669,15.8789,15.0163,0.000320272,0.574415,0.662003,3.02322,8.7038e-06,5.59145,3.70338,13.2898,1.13046e-06,0.344733,0.432321,2.15477,1.11129e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2898,1.13046e-06,0.0155217,0.623493,0.129148,0.0244135,0.00853657,0.448777,2.15477,1.11129e-08,0.920125
3,5.2584,4.4361,9.71657,0.00063942,0.137699,0.239445,2.62933,1.71939e-05,1.7232,0.900898,8.8584,1.1291e-06,0.0674994,0.169246,0.899803,1.77423e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.8584,1.1291e-06,0.0293457,0.184734,0.0417726,0.0102394,0.00755516,0.138153,0.899803,1.77423e-08,1.73961
4,8.11523,6.47708,10.2085,0.00127732,0.183191,0.401122,5.24953,3.42163e-05,2.76424,1.12609,8.85767,7.11974e-07,0.0825548,0.300486,1.79152,2.80823e-08,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.85767,7.11974e-07,0.0584488,0.286503,0.0761984,0.020339,0.0118465,0.201395,1.79152,2.80823e-08,3.46485
5,2.20178,1.60005,9.13097,0.00255857,0.064006,0.142616,7.57812,6.83545e-05,0.884598,0.282868,7.59515,5.23109e-06,0.0367342,0.115344,0.664284,7.32492e-08,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59515,5.23109e-06,0.116473,0.120577,0.024022,0.00747903,0.017688,0.0627935,0.664284,7.32492e-08,6.90454
6,3.69973,2.49858,10.5338,0.00512026,0.112574,0.268419,15.156,0.000136571,1.66454,0.463394,7.59645,1.31117e-05,0.0739465,0.229791,1.32857,1.54694e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59645,1.31117e-05,0.232886,0.242011,0.0467762,0.0149501,0.0313899,0.0980491,1.32857,1.54694e-07,13.8055
7,0.50363,0.470184,9.57607,0.0172889,0.0258802,0.0412355,49.3404,0.000249997,0.419468,0.386021,0.0135752,2.59243e-06,0.0139642,0.0293195,0.177622,3.68812e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0135752,2.59243e-06,0.827824,0.0234723,0.0183357,0.00147571,0.107445,0.0556825,0.177622,3.68812e-07,49.0734
8,0.0340165,0.0298294,0.0179884,2.10995e-05,0.000528555,0.000776488,0.0602361,3.10297e-07,0.00617949,0.00199248,0.00201751,0,8.91514e-05,0.000337085,0.000216943,5.57493e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00201751,0,0.00101147,0.000314114,8.89254e-05,2.3197e-05,0.000321226,0.000724291,0.000216943,5.57493e-09,0.0599602
Total,46.2543,31.3907,66.4763,0.027238,1.19759,1.75562,83.1127,0.000515587,13.6453,6.86464,47.9045,2.89313e-05,0.66688,1.27684,7.06885,7.97546e-07,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9045,2.89313e-05,1.2825,1.52338,0.339823,0.0805239,0.186405,1.05315,7.06885,7.97546e-07,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1423,0.00693729,1.27938,20.4627,0.0146168,2.69565
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.65709e-05,0.0993021,0,0.0759017,5.78044e-07,0.591577,0,1.69146,1.94498e-05,0.0473628,0,0.0520562,4.75201e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.94498e-05,0.000987789,0.0422773,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,4.75201e-07,0.0585562
2,17.7669,15.8789,15.0128,0.000325286,0.52191,0.660345,2.9925,8.94332e-06,5.59145,3.70338,13.2862,6.14374e-06,0.292228,0.430663,2.12406,2.60829e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2862,6.14374e-06,0.0155217,0.569642,0.129148,0.0241007,0.00853657,0.448777,2.12406,2.60829e-08,0.920125
3,5.2584,4.4361,9.71606,0.000640008,0.135192,0.240597,2.62811,1.72095e-05,1.7232,0.900898,8.85789,1.71743e-06,0.0649931,0.170398,0.898577,1.96829e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.85789,1.71743e-06,0.0293457,0.183402,0.0417726,0.0102169,0.00755516,0.138153,0.898577,1.96829e-08,1.73961
4,8.11523,6.47708,10.2103,0.00128693,0.25088,0.442409,5.2642,3.43507e-05,2.76424,1.12609,8.8595,1.03197e-05,0.150244,0.341773,1.80618,6.16909e-08,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.8595,1.03197e-05,0.0584488,0.395317,0.0761984,0.0205014,0.0118465,0.201395,1.80618,6.16909e-08,3.46485
