Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993054,0,0.0759017,6.85725e-07,0.591577,0,1.69146,2.11413e-05,0.0473661,0,0.0520562,5.82881e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422806,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82881e-07,0.0585562
2,17.7669,15.8789,15.011,0.000364708,0.493067,0.65739,2.97575,1.12088e-05,5.59145,3.70338,13.2844,4.55659e-05,0.263385,0.427708,2.1073,1.67675e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2844,4.55659e-05,0.0155217,0.538004,0.129148,0.0239415,0.00853657,0.448777,2.1073,1.67675e-07,0.920125
3,5.2584,4.4361,9.71672,0.000909055,0.144756,0.245404,2.63055,5.49756e-05,1.7232,0.900898,8.85855,0.000270764,0.0745573,0.175205,0.901021,4.74045e-06,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.85855,0.000270764,0.0293457,0.197743,0.0417726,0.0102461,0.00755516,0.138153,0.901021,4.74045e-06,1.73961
4,8.11523,6.47708,10.21,0.00182478,0.244308,0.440311,5.26176,7.27181e-05,2.76424,1.12609,8.85919,0.000548166,0.143672,0.339675,1.80374,9.65352e-06,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.85919,0.000548166,0.0584488,0.386675,0.0761984,0.0204739,0.0118465,0.201395,1.80374,9.65352e-06,3.46485
5,2.20178,1.60005,9.1332,0.00363697,0.0923513,0.154903,7.5844,0.000106161,0.884598,0.282868,7.59738,0.00108363,0.0650795,0.127631,0.670564,1.89767e-05,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59738,0.00108363,0.116473,0.161111,0.024022,0.0075778,0.017688,0.0627935,0.670564,1.89767e-05,6.90454
6,3.69973,2.49858,10.5348,1.5437,0.149861,0.291798,15.1613,0.0405111,1.66454,0.463394,7.59742,1.53859,0.111233,0.253171,1.33396,0.0403747,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59742,1.53859,0.232886,0.302592,0.0467762,0.0150356,0.0313899,0.0980491,1.33396,0.0403747,13.8055
7,0.50363,0.470184,9.5763,0.0176397,0.0286846,0.0431557,49.3416,0.000251181,0.419468,0.386021,0.0138,0.000353311,0.0167687,0.0312397,0.178862,1.55294e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0138,0.000353311,0.827824,0.0281915,0.0183357,0.00148115,0.107445,0.0556825,0.178862,1.55294e-06,49.0734
8,0.0340165,0.0298294,0.0180532,2.42213e-05,0.000537725,0.000778442,0.0602365,3.22609e-07,0.00617949,0.00199248,0.00208231,3.12178e-06,9.83217e-05,0.000339039,0.000217376,1.78876e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00208231,3.12178e-06,0.00101147,0.000325194,8.89254e-05,2.32414e-05,0.000321226,0.000724291,0.000217376,1.78876e-08,0.0599602
Total,46.2543,31.3907,66.4762,1.56813,1.25287,1.83374,83.0915,0.0410083,13.6453,6.86464,47.9043,1.54092,0.72216,1.35497,7.04772,0.0404104,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9043,1.54092,1.2825,1.65692,0.339823,0.0803834,0.186405,1.05315,7.04772,0.0404104,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13851,0.00686392,1.26585,20.1218,0.0142949,2.63628
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


