Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,1.9653e-05,0.0992974,0,0.0759017,3.83446e-07,0.591577,0,1.69146,1.25319e-05,0.0473581,0,0.0520562,2.80602e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.25319e-05,0.000987789,0.0422727,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,2.80602e-07,0.0585562
2,17.7669,15.8789,15.0165,0.000324016,0.577687,0.661886,3.02601,8.8877e-06,5.59145,3.70338,13.29,4.87383e-06,0.348005,0.432205,2.15756,2.26062e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.29,4.87383e-06,0.0155217,0.626628,0.129148,0.0244343,0.00853657,0.448777,2.15756,2.26062e-08,0.920125
3,5.2584,4.4361,9.71661,0.000638834,0.138016,0.239477,2.63055,1.71727e-05,1.7232,0.900898,8.85844,5.43487e-07,0.0678165,0.169278,0.901019,1.50864e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.85844,5.43487e-07,0.0293457,0.18508,0.0417726,0.0102411,0.00755516,0.138153,0.901019,1.50864e-08,1.73961
4,8.11523,6.47708,10.2085,0.00127728,0.183365,0.401084,5.24954,3.42159e-05,2.76424,1.12609,8.85768,6.69852e-07,0.0827286,0.300448,1.79152,2.79692e-08,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.85768,6.69852e-07,0.0584488,0.286637,0.0761984,0.0203403,0.0118465,0.201395,1.79152,2.79692e-08,3.46485
5,2.20178,1.60005,9.13096,0.00255895,0.0633895,0.142025,7.57812,6.83579e-05,0.884598,0.282868,7.59514,5.60745e-06,0.0361177,0.114753,0.664284,7.49821e-08,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59514,5.60745e-06,0.116473,0.11937,0.024022,0.00747887,0.017688,0.0627935,0.664284,7.49821e-08,6.90454
6,3.69973,2.49858,10.5338,0.00511837,0.111764,0.267755,15.156,0.000136565,1.66454,0.463394,7.59644,1.12176e-05,0.0731361,0.229127,1.32857,1.49249e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59644,1.12176e-05,0.232886,0.240538,0.0467762,0.0149492,0.0313899,0.0980491,1.32857,1.49249e-07,13.8055
7,0.50363,0.470184,9.57607,0.0172905,0.0257679,0.0411168,49.3404,0.000250003,0.419468,0.386021,0.0135761,4.09926e-06,0.0138519,0.0292008,0.177622,3.75387e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0135761,4.09926e-06,0.827824,0.0232413,0.0183357,0.00147575,0.107445,0.0556825,0.177622,3.75387e-07,49.0734
8,0.0340165,0.0298294,0.0179873,2.16008e-05,0.000528431,0.000776488,0.0602361,3.12713e-07,0.00617949,0.00199248,0.00201642,5.01365e-07,8.90276e-05,0.000337085,0.000216943,7.99089e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00201642,5.01365e-07,0.00101147,0.000313991,8.89254e-05,2.31962e-05,0.000321226,0.000724291,0.000216943,7.99089e-09,0.0599602
Total,46.2543,31.3907,66.4766,0.0272491,1.19981,1.75412,83.1167,0.000515899,13.6453,6.86464,47.9048,4.00448e-05,0.669103,1.27535,7.07285,9.53873e-07,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9048,4.00448e-05,1.2825,1.52408,0.339823,0.0805468,0.186405,1.05315,7.07285,9.53873e-07,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14218,0.00693727,1.27938,20.4519,0.0146167,2.69564
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.35004e-05,0.0993018,0,0.0759017,4.93187e-07,0.591577,0,1.69146,1.63794e-05,0.0473625,0,0.0520562,3.90344e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.63794e-05,0.000987789,0.0422771,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.90344e-07,0.0585562
2,17.7669,15.8789,15.0129,0.000321786,0.524386,0.660488,2.99251,8.79272e-06,5.59145,3.70338,13.2864,2.64451e-06,0.294704,0.430806,2.12406,1.66705e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2864,2.64451e-06,0.0155217,0.572247,0.129148,0.0241151,0.00853657,0.448777,2.12406,1.66705e-08,0.920125
3,5.2584,4.4361,9.716,0.000640892,0.131811,0.237609,2.62811,1.72377e-05,1.7232,0.900898,8.85783,2.60102e-06,0.0616115,0.16741,0.898576,2.32094e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.85783,2.60102e-06,0.0293457,0.177035,0.0417726,0.0102144,0.00755516,0.138153,0.898576,2.32094e-08,1.73961
4,8.11523,6.47708,10.2099,0.00128423,0.242734,0.44027,5.26175,3.43146e-05,2.76424,1.12609,8.85908,7.61372e-06,0.142098,0.339634,1.80374,5.266e-08,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.85908,7.61372e-06,0.0584488,0.385069,0.0761984,0.0204644,0.0118465,0.201395,1.80374,5.266e-08,3.46485
5,2.20178,1.60005,9.13188,0.00255861,0.07992,0.151949,7.58081,6.8354e-05,0.884598,0.282868,7.59606,5.27457e-06,0.0526482,0.124677,0.666978,7.30045e-08,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59606,5.27457e-06,0.116473,0.145784,0.024022,0.0075195,0.017688,0.0627935,0.666978,7.30045e-08,6.90454
6,3.69973,2.49858,10.5338,0.00512302,0.118939,0.274617,15.156,0.000136577,1.66454,0.463394,7.59646,1.58725e-05,0.0803113,0.235989,1.32857,1.61282e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59646,1.58725e-05,0.232886,0.254573,0.0467762,0.0149511,0.0313899,0.0980491,1.32857,1.61282e-07,13.8055
7,0.50363,0.470184,9.57614,0.0172961,0.027277,0.0421404,49.3407,0.000250027,0.419468,0.386021,0.0136436,9.7153e-06,0.015361,0.0302244,0.177977,3.98842e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0136436,9.7153e-06,0.827824,0.025771,0.0183357,0.00147873,0.107445,0.0556825,0.177977,3.98842e-07,49.0734
8,0.0340165,0.0298294,0.0180724,2.21036e-05,0.000539564,0.00077806,0.0602367,3.14757e-07,0.00617949,0.00199248,0.00210153,1.0041e-06,0.00010016,0.000338657,0.000217592,1.00353e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00210153,1.0041e-06,0.00101147,0.000326636,8.89254e-05,2.3255e-05,0.000321226,0.000724291,0.000217592,1.00353e-08,0.0599602
Total,46.2543,31.3907,66.4749,0.0272702,1.22491,1.80785,83.096,0.000516111,13.6453,6.86464,47.9031,6.11051e-05,0.694197,1.32908,7.05218,1.12605e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9031,6.11051e-05,1.2825,1.60308,0.339823,0.0803707,0.186405,1.05315,7.05218,1.12605e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14074,0.00693735,1.2794,20.3209,0.0146171,2.69571
