Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.00028068,4.25202e-06,2.75327e-05,0.000154994,5.60693e-05,1.90576e-05,1.87743e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,17.3759,0,3.49383,0.00815042,0.160822,0,0.108199,0.000246885,1.28484,0,1.16712,0.00813291,0.0869032,0,0.0843532,0.000246467,, , 0.454542,0.12267,0.70763,10.5373,7.93599,1.16712,0.00813291,0.000987789,0.0655123,0.0148415,0.00654933,0.00175446,0.0694859,0.0843532,0.000246467,0.0585562
2,27.2158,26.3612,12.4355,2.85117,1.09223,1.50169,3.33363,1.8527,3.02723,2.17271,9.1505,2.85039,0.597216,1.00667,2.46518,0.463165,, , 1.9446,1.45664,1.7987,21.0899,32.5478,9.1505,2.85039,0.0155217,1.20017,0.304263,0.0994571,0.0114841,0.981672,2.46518,0.463165,0.920125
3,6.03081,5.84147,7.13827,179.426,0.429444,0.610384,2.76954,1.07394,0.662509,0.473167,6.10605,179.425,0.262709,0.443649,1.04001,0.268468,, , 0.42349,0.317223,0.394963,6.3117,7.41833,6.10605,179.425,0.0293457,0.532613,0.130422,0.0433231,0.0102282,0.33889,1.04001,0.268468,1.73961
4,9.09234,8.72012,7.68289,3.52227,0.773245,1.14061,5.48827,0.0416104,1.22652,0.8543,6.10581,3.51916,0.498481,0.865846,2.03026,0.0207365,, , 0.846981,0.450377,0.783461,10.9055,10.3259,6.10581,3.51916,0.0584488,1.02035,0.257715,0.0862637,0.0163784,0.565794,2.03026,0.0207365,3.46485
5,1.59925,1.5297,6.7333,0.827631,0.27765,0.41225,7.64764,0.0309019,0.22646,0.156912,5.23584,0.821411,0.192351,0.326951,0.733807,0.0153135,, , 0.155568,0.0827223,0.145082,5.98723,2.12025,5.23584,0.821411,0.116473,0.393419,0.0940904,0.0317935,0.0231557,0.21473,0.733807,0.0153135,6.90454
6,2.60927,2.47249,8.12324,2.10627,0.499108,0.784074,15.2225,0.0415625,0.435904,0.299123,5.23574,2.09383,0.35196,0.636926,1.39512,0.0410125,, , 0.311136,0.136042,0.28785,11.6268,3.33692,5.23574,2.09383,0.232886,0.738606,0.187274,0.0630057,0.0409348,0.388247,1.39512,0.0410125,13.8055
7,2.21005,2.20617,9.57088,1.87645,0.102235,0.131088,49.352,0.0305458,2.16299,2.15911,0.0083854,1.83396,0.0720065,0.10086,0.189278,0.0295326,, , 0.00864266,4.30537,0.00807679,11.957,0.270982,0.0083854,1.83396,0.827824,0.0684143,0.0982687,0.00618305,0.13525,0.217216,0.189278,0.0295326,49.0734
8,0.0878381,0.0873468,0.0308877,0.00467343,0.000698601,0.000773314,0.0602357,8.59203e-05,0.0015867,0.00109539,0.00200455,0.00462157,7.0763e-05,0.000145475,0.000216612,8.46835e-05,, , 0.00108033,0.000585908,0.00101585,0.242802,0.123535,0.00200455,0.00462157,0.00101147,0.000136613,6.02824e-05,1.93431e-05,0.000341021,0.00126778,0.000216612,8.46835e-05,0.0599602
Total,66.2212,47.2185,55.2088,190.623,3.33544,4.58087,83.982,3.07159,9.02804,6.11641,33.0114,190.556,2.0617,3.38105,7.93823,0.83856,, , 4.14604,6.87163,4.12678,78.6581,64.0797,33.0114,190.556,1.2825,4.01922,1.08693,0.336595,0.239527,2.7773,7.93823,0.83856,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.93911,0.00278341,0.51332,12.9696,0.00418914,0.772568
