Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.00028068,4.25202e-06,2.75327e-05,0.000154994,5.60693e-05,1.90576e-05,1.87743e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,17.3759,0,3.49383,0.00802621,0.160885,0,0.108199,0.000217404,1.28484,0,1.16712,0.00800871,0.0869659,0,0.0843532,0.000216987,, , 0.454542,0.12267,0.70763,10.5373,7.93599,1.16712,0.00800871,0.000987789,0.065575,0.0148415,0.00654933,0.00175446,0.0694859,0.0843532,0.000216987,0.0585562
2,27.2158,26.3612,12.4355,2.10069,1.09033,1.5004,3.33362,1.35265,3.02723,2.17271,9.15047,2.09992,0.595309,1.00538,2.46518,0.338155,, , 1.9446,1.45664,1.7987,21.0899,32.5478,9.15047,2.09992,0.0155217,1.19699,0.304263,0.0994323,0.0114841,0.981672,2.46518,0.338155,0.920125
3,6.03081,5.84147,7.13798,164.797,0.417899,0.597924,2.75747,1.53783,0.662509,0.473167,6.10576,164.796,0.251164,0.431189,1.02794,0.38444,, , 0.42349,0.317223,0.394963,6.3117,7.41833,6.10576,164.796,0.0293457,0.508734,0.130422,0.0431966,0.0102282,0.33889,1.02794,0.38444,1.73961
4,9.09234,8.72012,7.68304,3.25654,0.77253,1.12611,5.51241,0.0284496,1.22652,0.8543,6.10596,3.25343,0.497766,0.851348,2.0544,0.0141561,, , 0.846981,0.450377,0.783461,10.9055,10.3259,6.10596,3.25343,0.0584488,1.005,0.257715,0.0863959,0.0163784,0.565794,2.0544,0.0141561,3.46485
5,1.59925,1.5297,6.73378,0.692042,0.288448,0.417132,7.66539,0.0251824,0.22646,0.156912,5.23632,0.685822,0.20315,0.331833,0.751555,0.0124537,, , 0.155568,0.0827223,0.145082,5.98723,2.12025,5.23632,0.685822,0.116473,0.408889,0.0940904,0.0320034,0.0231557,0.21473,0.751555,0.0124537,6.90454
6,2.60927,2.47249,8.12357,1.76913,0.51443,0.790963,15.258,0.0332119,0.435904,0.299123,5.23607,1.75669,0.367281,0.643815,1.43064,0.032662,, , 0.311136,0.136042,0.28785,11.6268,3.33692,5.23607,1.75669,0.232886,0.760521,0.187274,0.0633015,0.0409348,0.388247,1.43064,0.032662,13.8055
7,2.21005,2.20617,9.57098,1.56406,0.104472,0.13206,49.359,0.025253,2.16299,2.15911,0.00848418,1.52157,0.0742436,0.101831,0.196289,0.0242398,, , 0.00864266,4.30537,0.00807679,11.957,0.270982,0.00848418,1.52157,0.827824,0.0715795,0.0982687,0.00622652,0.13525,0.217216,0.196289,0.0242398,49.0734
8,0.0878381,0.0873468,0.0308935,0.00215487,0.000698883,0.000773374,0.0602357,3.58276e-05,0.0015867,0.00109539,0.00201029,0.00210301,7.10442e-05,0.000145536,0.000216613,3.45907e-05,, , 0.00108033,0.000585908,0.00101585,0.242802,0.123535,0.00201029,0.00210301,0.00101147,0.000136947,6.02824e-05,1.9351e-05,0.000341021,0.00126778,0.000216613,3.45907e-05,0.0599602
Total,66.2212,47.2185,55.2095,174.19,3.34969,4.56536,84.0544,3.00283,9.02804,6.11641,33.0122,174.123,2.07595,3.36554,8.01056,0.806358,, , 4.14604,6.87163,4.12678,78.6581,64.0797,33.0122,174.123,1.2825,4.01743,1.08693,0.337125,0.239527,2.7773,8.01056,0.806358,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.93906,0.00291682,0.537924,12.9342,0.00449883,0.82968
