epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
average,66.2212,47.2185,55.209428571428575,186.35471428571432,3.3557485714285713,4.5818128571428565,84.04551428571428,-45.04340857142857,9.028040000000003,6.116410000000001,33.01208571428571,186.2882857142857,2.0820085714285717,3.381992857142857,8.001711428571427,-13.866261,4.14604,6.871629999999998,4.12678,78.6581,64.0797,33.01208571428571,186.2882857142857,1.2825,4.039991428571429,1.08693,0.3370762857142857,0.23952700000000002,2.7773,8.001711428571427,-13.866261,76.02650000000001,0.6190585714285716,0.0028179114285714285,0.5196831428571428,7.735054285714286,0.004269032857142857,0.7873008571428571
0.0,66.2212,47.2185,55.2099,195.743,3.35417,4.55224,84.0543,2.97181,9.02804,6.11641,33.0126,195.677,2.08043,3.35242,8.01054,0.782575,4.14604,6.87163,4.12678,78.6581,64.0797,33.0126,195.677,1.2825,4.00848,1.08693,0.337437,0.239527,2.7773,8.01054,0.782575,76.0265,1.93987,0.00274429,0.506106,12.9637,0.00410116,0.756341
1.0,66.2212,47.2185,55.2095,174.19,3.34969,4.56536,84.0544,3.00283,9.02804,6.11641,33.0122,174.123,2.07595,3.36554,8.01056,0.806358,4.14604,6.87163,4.12678,78.6581,64.0797,33.0122,174.123,1.2825,4.01743,1.08693,0.337125,0.239527,2.7773,8.01056,0.806358,76.0265,1.93906,0.00291682,0.537924,12.9342,0.00449883,0.82968
2.0,66.2212,47.2185,55.2102,192.251,3.3897,4.60412,84.1325,3.5239,9.02804,6.11641,33.0128,192.185,2.11596,3.4043,8.08865,0.93521,4.14604,6.87163,4.12678,78.6581,64.0797,33.0128,192.185,1.2825,4.09571,1.08693,0.33761,0.239527,2.7773,8.08865,0.93521,76.0265,1.92534,0.00277084,0.511002,12.6801,0.00416074,0.767329
3.0,66.2212,47.2185,55.2096,182.479,3.36968,4.59612,84.0768,4.01201,9.02804,6.11641,33.0123,182.413,2.09594,3.3963,8.03295,1.07077,4.14604,6.87163,4.12678,78.6581,64.0797,33.0123,182.413,1.2825,4.06808,1.08693,0.337228,0.239527,2.7773,8.03295,1.07077,76.0265,1.91724,0.00284796,0.525224,12.6351,0.00433709,0.799852
4.0,66.2212,47.2185,55.2091,187.182,3.35192,4.59051,84.0274,-147.484,9.02804,6.11641,33.0118,187.115,2.07818,3.39069,7.98363,-46.1369,4.14604,6.87163,4.12678,78.6581,64.0797,33.0118,187.115,1.2825,4.04506,1.08693,0.336875,0.239527,2.7773,7.98363,-46.1369,76.0265,-3.33025,0.00281033,0.518285,-5.6425,0.00425042,0.783868
5.0,66.2212,47.2185,55.2089,182.015,3.33964,4.58347,83.9912,-184.402,9.02804,6.11641,33.0115,181.949,2.0659,3.38365,7.94742,-55.3604,4.14604,6.87163,4.12678,78.6581,64.0797,33.0115,181.949,1.2825,4.02596,1.08693,0.336664,0.239527,2.7773,7.94742,-55.3604,76.0265,-1.99696,0.00285173,0.525921,-4.39482,0.00434585,0.801468
6.0,66.2212,47.2185,55.2088,190.623,3.33544,4.58087,83.982,3.07159,9.02804,6.11641,33.0114,190.556,2.0617,3.38105,7.93823,0.83856,4.14604,6.87163,4.12678,78.6581,64.0797,33.0114,190.556,1.2825,4.01922,1.08693,0.336595,0.239527,2.7773,7.93823,0.83856,76.0265,1.93911,0.00278341,0.51332,12.9696,0.00418914,0.772568
