Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.099305,0,0.0759017,6.8571e-07,0.591577,0,1.69146,2.11413e-05,0.0473657,0,0.0520562,5.82866e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422803,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82866e-07,0.0585562
2,17.7669,15.8789,15.011,0.000371993,0.492651,0.65644,2.97575,1.22303e-05,5.59145,3.70338,13.2845,5.2851e-05,0.262969,0.426758,2.1073,2.3152e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,5.2851e-05,0.0155217,0.536634,0.129148,0.0239448,0.00853657,0.448777,2.1073,2.3152e-07,0.920125
3,5.2584,4.4361,9.72153,0.000743191,0.184557,0.250643,2.64883,2.06326e-05,1.7232,0.900898,8.86336,0.0001049,0.114358,0.180444,0.919303,4.47576e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86336,0.0001049,0.0293457,0.242571,0.0417726,0.0104587,0.00755516,0.138153,0.919303,4.47576e-07,1.73961
4,8.11523,6.47708,10.2125,0.00148186,0.296092,0.456511,5.28126,3.74832e-05,2.76424,1.12609,8.86167,0.000205251,0.195456,0.355875,1.82325,8.44808e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86167,0.000205251,0.0584488,0.45444,0.0761984,0.0206927,0.0118465,0.201395,1.82325,8.44808e-07,3.46485
5,2.20178,1.60005,9.1329,0.00297842,0.0913721,0.156081,7.5835,7.18187e-05,0.884598,0.282868,7.59708,0.000425085,0.0641003,0.128809,0.669669,1.80538e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59708,0.000425085,0.116473,0.161323,0.024022,0.00756453,0.017688,0.0627935,0.669669,1.80538e-06,6.90454
6,3.69973,2.49858,10.5354,0.00580889,0.16207,0.29515,15.1649,0.000139039,1.66454,0.463394,7.59803,0.000701741,0.123442,0.256523,1.33755,2.62306e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59803,0.000701741,0.232886,0.318099,0.0467762,0.0150901,0.0313899,0.0980491,1.33755,2.62306e-06,13.8055
7,0.50363,0.470184,9.57644,0.0182824,0.0312568,0.0439632,49.3423,0.000253037,0.419468,0.386021,0.0139436,0.000996011,0.0193408,0.0320472,0.179569,3.40906e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139436,0.000996011,0.827824,0.0315604,0.0183357,0.001492,0.107445,0.0556825,0.179569,3.40906e-06,49.0734
8,0.0340165,0.0298294,0.0181482,2.74366e-05,0.000548582,0.000778566,0.0602372,3.31196e-07,0.00617949,0.00199248,0.0021773,6.33709e-06,0.000109179,0.000339163,0.000218025,2.64741e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.0021773,6.33709e-06,0.00101147,0.000336109,8.89254e-05,2.33074e-05,0.000321226,0.000724291,0.000218025,2.64741e-08,0.0599602
Total,46.2543,31.3907,66.484,0.0297224,1.35785,1.85957,83.1327,0.000535258,13.6453,6.86464,47.9122,0.00251332,0.827142,1.38079,7.08891,9.97075e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9122,0.00251332,1.2825,1.78724,0.339823,0.0808702,0.186405,1.05315,7.08891,9.97075e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13525,0.00693679,1.27929,19.837,0.0146146,2.69525
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.96967e-05,0.189376,0,0.0759025,4.85554e-07,1.23473,0,1.69146,1.99856e-06,0.10492,0,0.052057,5.19105e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.99856e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,5.19105e-09,0.0585562
2,29.6385,29.1463,16.5693,0.000807447,1.34469,1.62333,2.97511,3.99085e-05,2.94822,2.45602,13.2843,1.67046e-05,0.867471,1.14611,2.10666,4.18731e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2843,1.67046e-05,0.0155217,1.56286,0.322973,0.127743,0.0116919,0.946939,2.10666,4.18731e-08,0.920125
3,6.5716,6.46117,9.89541,0.00161193,0.548091,0.670333,2.64958,7.98062e-05,0.645302,0.534867,8.86319,3.044e-05,0.38525,0.507492,0.92005,8.10222e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86319,3.044e-05,0.0293457,0.696585,0.138474,0.0576825,0.0105279,0.33295,0.92005,8.10222e-08,1.73961
