Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82749e-05,0.099305,0,0.0759017,6.90949e-07,0.591577,0,1.69146,2.11538e-05,0.0473657,0,0.0520562,5.88105e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11538e-05,0.000987789,0.0422802,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.88105e-07,0.0585562
2,17.7669,15.8789,15.011,0.000372136,0.493243,0.656823,2.97575,1.22772e-05,5.59145,3.70338,13.2845,5.29946e-05,0.263561,0.427141,2.1073,2.34453e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,5.29946e-05,0.0155217,0.537608,0.129148,0.0239461,0.00853657,0.448777,2.1073,2.34453e-07,0.920125
3,5.2584,4.4361,9.72159,0.000743501,0.184896,0.250535,2.64884,2.06743e-05,1.7232,0.900898,8.86342,0.00010521,0.114697,0.180336,0.919304,4.52783e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86342,0.00010521,0.0293457,0.242799,0.0417726,0.0104614,0.00755516,0.138153,0.919304,4.52783e-07,1.73961
4,8.11523,6.47708,10.212,0.00149234,0.288874,0.455898,5.2764,3.7781e-05,2.76424,1.12609,8.86121,0.000215731,0.188238,0.355262,1.81838,9.19244e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86121,0.000215731,0.0584488,0.44665,0.0761984,0.0206521,0.0118465,0.201395,1.81838,9.19244e-07,3.46485
5,2.20178,1.60005,9.13285,0.00292298,0.0909959,0.156058,7.5835,7.10585e-05,0.884598,0.282868,7.59703,0.000369638,0.0637241,0.128787,0.669668,1.42529e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59703,0.000369638,0.116473,0.160926,0.024022,0.00756235,0.017688,0.0627935,0.669668,1.42529e-06,6.90454
6,3.69973,2.49858,10.5352,0.00594847,0.15781,0.294277,15.1631,0.000139953,1.66454,0.463394,7.5978,0.000841321,0.119182,0.255649,1.33575,3.53729e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.5978,0.000841321,0.232886,0.312986,0.0467762,0.0150693,0.0313899,0.0980491,1.33575,3.53729e-06,13.8055
7,0.50363,0.470184,9.57642,0.0186768,0.0308367,0.0436911,49.3421,0.000254287,0.419468,0.386021,0.013923,0.00139047,0.0189207,0.0317751,0.179393,4.65908e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.013923,0.00139047,0.827824,0.030869,0.0183357,0.00149109,0.107445,0.0556825,0.179393,4.65908e-06,49.0734
8,0.0340165,0.0298294,0.0181306,2.54162e-05,0.000546603,0.000778561,0.0602369,3.25098e-07,0.00617949,0.00199248,0.00215973,4.31674e-06,0.0001072,0.000339158,0.000217809,2.03768e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00215973,4.31674e-06,0.00101147,0.000334138,8.89254e-05,2.32952e-05,0.000321226,0.000724291,0.000217809,2.03768e-08,0.0599602
Total,46.2543,31.3907,66.4833,0.0302099,1.34651,1.85806,83.1259,0.000537047,13.6453,6.86464,47.9115,0.00300084,0.815796,1.37929,7.08208,1.18366e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9115,0.00300084,1.2825,1.77445,0.339823,0.0808097,0.186405,1.05315,7.08208,1.18366e-05,76.0265

