Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.099305,0,0.0759017,6.85758e-07,0.591577,0,1.69146,2.11413e-05,0.0473657,0,0.0520562,5.82914e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422803,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82914e-07,0.0585562
2,17.7669,15.8789,15.011,0.000397299,0.493632,0.656798,2.97575,1.27604e-05,5.59145,3.70338,13.2845,7.81571e-05,0.26395,0.427117,2.1073,2.64653e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,7.81571e-05,0.0155217,0.53797,0.129148,0.0239486,0.00853657,0.448777,2.1073,2.64653e-07,0.920125
3,5.2584,4.4361,9.72166,0.000741745,0.185572,0.250685,2.65005,2.04953e-05,1.7232,0.900898,8.86349,0.000103454,0.115373,0.180486,0.920517,4.30416e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86349,0.000103454,0.0293457,0.243622,0.0417726,0.0104647,0.00755516,0.138153,0.920517,4.30416e-07,1.73961
4,8.11523,6.47708,10.2122,0.00148944,0.291593,0.456058,5.27883,3.76114e-05,2.76424,1.12609,8.86138,0.000212833,0.190957,0.355422,1.82081,8.76859e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86138,0.000212833,0.0584488,0.449513,0.0761984,0.0206678,0.0118465,0.201395,1.82081,8.76859e-07,3.46485
5,2.20178,1.60005,9.13314,0.00295816,0.0931616,0.156135,7.5844,7.1516e-05,0.884598,0.282868,7.59732,0.000404821,0.0658898,0.128863,0.670564,1.654e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59732,0.000404821,0.116473,0.163156,0.024022,0.0075752,0.017688,0.0627935,0.670564,1.654e-06,6.90454
6,3.69973,2.49858,10.5353,0.00593071,0.16046,0.295016,15.1649,0.000139865,1.66454,0.463394,7.59793,0.000823559,0.121833,0.256389,1.33754,3.44897e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59793,0.000823559,0.232886,0.316364,0.0467762,0.015081,0.0313899,0.0980491,1.33754,3.44897e-06,13.8055
7,0.50363,0.470184,9.57644,0.0188864,0.0312563,0.0439247,49.3423,0.000255034,0.419468,0.386021,0.0139489,0.00160001,0.0193403,0.0320087,0.179569,5.40646e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139489,0.00160001,0.827824,0.0315211,0.0183357,0.00149223,0.107445,0.0556825,0.179569,5.40646e-06,49.0734
8,0.0340165,0.0298294,0.0181476,2.77657e-05,0.00054852,0.000778566,0.0602372,3.31871e-07,0.00617949,0.00199248,0.00217675,6.66625e-06,0.000109117,0.000339163,0.000218025,2.71493e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00217675,6.66625e-06,0.00101147,0.000336048,8.89254e-05,2.3307e-05,0.000321226,0.000724291,0.000218025,2.71493e-08,0.0599602
Total,46.2543,31.3907,66.4841,0.0304597,1.35553,1.8594,83.1324,0.0005383,13.6453,6.86464,47.9122,0.00325064,0.824818,1.38062,7.08858,1.26914e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9122,0.00325064,1.2825,1.78476,0.339823,0.080857,0.186405,1.05315,7.08858,1.26914e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13532,0.00693676,1.27929,19.843,0.0146145,2.69522
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.96967e-05,0.189376,0,0.0759025,4.8596e-07,1.23473,0,1.69146,1.99856e-06,0.10492,0,0.052057,5.59735e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.99856e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,5.59735e-09,0.0585562
2,29.6385,29.1463,16.5695,0.000801993,1.34679,1.62588,2.9779,3.98896e-05,2.94822,2.45602,13.2845,1.12512e-05,0.869569,1.14866,2.10945,3.71472e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2845,1.12512e-05,0.0155217,1.56645,0.322973,0.12881,0.0116919,0.946939,2.10945,3.71472e-08,0.920125
3,6.5716,6.46117,9.89541,0.00160948,0.548026,0.670265,2.64958,7.97961e-05,0.645302,0.534867,8.86319,2.79935e-05,0.385186,0.507425,0.92005,7.84966e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86319,2.79935e-05,0.0293457,0.69646,0.138474,0.0576761,0.0105279,0.33295,0.92005,7.84966e-08,1.73961
4,9.75963,9.54522,10.4382,0.00321342,1.01291,1.2522,5.27958,0.000159269,1.18806,0.973658,8.86109,5.03234e-05,0.759855,0.999144,1.82156,1.52309e-07,, , 1.01305,0.572223,0.576443,10.9189,11.7919,8.86109,5.03234e-05,0.0584488,1.38224,0.273694,0.103066,0.0166781,0.526365,1.82156,1.52309e-07,3.46485
5,1.71244,1.67188,9.09424,0.0063993,0.359014,0.446521,7.58514,0.000318498,0.219397,0.178835,7.59678,7.30487e-05,0.280115,0.367622,0.671308,2.84669e-07,, , 0.186071,0.105102,0.107059,5.98969,2.42623,7.59678,7.30487e-05,0.116473,0.51087,0.0999325,0.0369344,0.0236741,0.210007,0.671308,2.84669e-07,6.90454
6,2.72878,2.64997,10.4842,0.0128712,0.68528,0.858786,15.1649,0.000636479,0.421141,0.342332,7.59667,0.000217568,0.556255,0.729761,1.33754,6.21891e-07,, , 0.372142,0.179529,0.211802,11.6293,3.73897,7.59667,0.000217568,0.232886,1.01681,0.19892,0.0702903,0.0414532,0.368669,1.33754,6.21891e-07,13.8055
7,2.30149,2.29922,9.57222,0.0432199,0.125345,0.142676,49.3427,0.00116781,2.25305,2.25078,0.00972356,0.000258034,0.0959169,0.113248,0.179923,1.84817e-06,, , 0.0103373,4.48753,0.00596437,11.9572,0.311319,0.00972356,0.000258034,0.827824,0.0989779,0.102794,0.00739332,0.137035,0.244384,0.179923,1.84817e-06,49.0734
8,0.0965854,0.0962954,0.0310665,5.31277e-05,0.000790462,0.00084314,0.0602372,1.42901e-06,0.00153838,0.00124837,0.00218334,6.88604e-07,0.00013065,0.000183328,0.000218026,5.71463e-09,, , 0.00129216,0.000742797,0.000751796,0.242812,0.14296,0.00218334,6.88604e-07,0.00101147,0.000229642,6.40066e-05,2.03294e-05,0.000343207,0.00136684,0.000218026,5.71463e-09,0.0599602
Total,71.4938,51.8701,70.1029,0.068188,4.26753,4.99717,83.1359,0.00240366,8.91144,6.73774,47.9056,0.000640905,3.05195,3.86605,7.09211,3.03399e-06,, , 4.96962,7.6742,3.00536,78.8078,73.7294,47.9056,0.000640905,1.2825,5.35151,1.15367,0.412811,0.2432,2.71067,7.09211,3.03399e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.9893,0.00516703,0.95291,13.1634,0.0157343,2.90174
