Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.1207e-05,0.0993036,0,0.0759017,4.33332e-07,0.591577,0,1.69146,1.40859e-05,0.0473643,0,0.0520562,3.30489e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.40859e-05,0.000987789,0.0422788,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.30489e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000321744,0.497363,0.658515,2.97854,8.79101e-06,5.59145,3.70338,13.2847,2.60239e-06,0.267681,0.428833,2.11009,1.65632e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,2.60239e-06,0.0155217,0.543406,0.129148,0.023961,0.00853657,0.448777,2.11009,1.65632e-08,0.920125
3,5.2584,4.4361,9.7235,0.000676134,0.199206,0.251128,2.65614,1.80769e-05,1.7232,0.900898,8.86533,3.78434e-05,0.129007,0.180929,0.926605,1.2811e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86533,3.78434e-05,0.0293457,0.257617,0.0417726,0.0105458,0.00755516,0.138153,0.926605,1.2811e-07,1.73961
4,8.11523,6.47708,10.2131,0.00134394,0.30551,0.457187,5.28613,3.50304e-05,2.76424,1.12609,8.86227,6.73309e-05,0.204874,0.356551,1.82812,2.31616e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86227,6.73309e-05,0.0584488,0.46448,0.0761984,0.0207465,0.0118465,0.201395,1.82812,2.31616e-07,3.46485
5,2.20178,1.60005,9.13371,0.0026133,0.0973914,0.156293,7.5853,6.86925e-05,0.884598,0.282868,7.59789,5.99583e-05,0.0701196,0.129022,0.671463,2.42274e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59789,5.99583e-05,0.116473,0.167519,0.024022,0.00760024,0.017688,0.0627935,0.671463,2.42274e-07,6.90454
6,3.69973,2.49858,10.5358,0.00526093,0.168446,0.295614,15.1667,0.000136997,1.66454,0.463394,7.59844,0.000153783,0.129818,0.256986,1.33934,5.81113e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59844,0.000153783,0.232886,0.324902,0.0467762,0.0151264,0.0313899,0.0980491,1.33934,5.81113e-07,13.8055
7,0.50363,0.470184,9.57653,0.017339,0.032007,0.0440817,49.3427,0.000250226,0.419468,0.386021,0.0140315,5.26329e-05,0.020091,0.0321657,0.179923,5.98481e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0140315,5.26329e-05,0.827824,0.0324251,0.0183357,0.00149588,0.107445,0.0556825,0.179923,5.98481e-07,49.0734
8,0.0340165,0.0298294,0.0181394,2.20193e-05,0.000547593,0.000778563,0.0602372,3.1454e-07,0.00617949,0.00199248,0.00216851,9.19852e-07,0.000108189,0.00033916,0.000218025,9.8183e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00216851,9.19852e-07,0.00101147,0.000335123,8.89254e-05,2.33013e-05,0.000321226,0.000724291,0.000218025,9.8183e-09,0.0599602
Total,46.2543,31.3907,66.4881,0.0275983,1.39977,1.8636,83.1516,0.000518562,13.6453,6.86464,47.9163,0.000389156,0.869063,1.38483,7.10781,2.13846e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9163,0.000389156,1.2825,1.83296,0.339823,0.0811033,0.186405,1.05315,7.10781,2.13846e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13365,0.0069367,1.27928,19.6995,0.0146142,2.69517
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.82917e-05,0.189376,0,0.0759025,4.84036e-07,1.23473,0,1.69146,5.93511e-07,0.10492,0,0.052057,3.67271e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,5.93511e-07,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,3.67271e-09,0.0585562
2,29.6385,29.1463,16.5696,0.000794961,1.35328,1.63258,2.9779,3.98706e-05,2.94822,2.45602,13.2846,4.21895e-06,0.876062,1.15536,2.10945,3.23895e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2846,4.21895e-06,0.0155217,1.57916,0.322973,0.129294,0.0116919,0.946939,2.10945,3.23895e-08,0.920125
3,6.5716,6.46117,9.89745,0.001592,0.550886,0.675513,2.65689,7.97464e-05,0.645302,0.534867,8.86523,1.05072e-05,0.388046,0.512672,0.927354,6.60725e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86523,1.05072e-05,0.0293457,0.698993,0.138474,0.0632502,0.0105279,0.33295,0.927354,6.60725e-08,1.73961
4,9.75963,9.54522,10.4392,0.00317943,1.01965,1.26143,5.28689,0.000159222,1.18806,0.973658,8.86215,1.63288e-05,0.766603,1.00838,1.82888,1.28999e-07,, , 1.01305,0.572223,0.576443,10.9189,11.7919,8.86215,1.63288e-05,0.0584488,1.39242,0.273694,0.108867,0.0166781,0.526365,1.82888,1.28999e-07,3.46485
