Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.099305,0,0.0759017,6.85696e-07,0.591577,0,1.69146,2.11413e-05,0.0473658,0,0.0520562,5.82853e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422803,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82853e-07,0.0585562
2,17.7669,15.8789,15.0109,0.000371314,0.490689,0.6554,2.97574,1.20455e-05,5.59145,3.70338,13.2844,5.21719e-05,0.261007,0.425719,2.1073,2.19968e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2844,5.21719e-05,0.0155217,0.533639,0.129148,0.0239391,0.00853657,0.448777,2.1073,2.19968e-07,0.920125
3,5.2584,4.4361,9.72121,0.000742043,0.182188,0.250565,2.64762,2.04862e-05,1.7232,0.900898,8.86304,0.000103752,0.111989,0.180366,0.918085,4.29272e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86304,0.000103752,0.0293457,0.240137,0.0417726,0.0104446,0.00755516,0.138153,0.918085,4.29272e-07,1.73961
4,8.11523,6.47708,10.2124,0.00148584,0.293928,0.456097,5.28126,3.76525e-05,2.76424,1.12609,8.86154,0.000209226,0.193292,0.355461,1.82324,8.87122e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86154,0.000209226,0.0584488,0.451873,0.0761984,0.020682,0.0118465,0.201395,1.82324,8.87122e-07,3.46485
5,2.20178,1.60005,9.13348,0.00296117,0.095679,0.156234,7.5853,7.15986e-05,0.884598,0.282868,7.59766,0.000407828,0.0684072,0.128962,0.67146,1.69532e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59766,0.000407828,0.116473,0.165757,0.024022,0.00759007,0.017688,0.0627935,0.67146,1.69532e-06,6.90454
6,3.69973,2.49858,10.5358,0.00593143,0.167736,0.295424,15.1667,0.000139847,1.66454,0.463394,7.59841,0.00082428,0.129108,0.256797,1.33934,3.43128e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59841,0.00082428,0.232886,0.324006,0.0467762,0.0151232,0.0313899,0.0980491,1.33934,3.43128e-06,13.8055
7,0.50363,0.470184,9.57639,0.0186971,0.03085,0.0439126,49.342,0.000254383,0.419468,0.386021,0.0138941,0.00141074,0.018934,0.0319966,0.179216,4.75527e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0138941,0.00141074,0.827824,0.0311051,0.0183357,0.00148981,0.107445,0.0556825,0.179216,4.75527e-06,49.0734
8,0.0340165,0.0298294,0.0181246,2.77642e-05,0.000545923,0.000778559,0.0602369,3.31833e-07,0.00617949,0.00199248,0.00215369,6.66469e-06,0.00010652,0.000339156,0.000217809,2.71111e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00215369,6.66469e-06,0.00101147,0.000333459,8.89254e-05,2.32911e-05,0.000321226,0.000724291,0.000217809,2.71111e-08,0.0599602
Total,46.2543,31.3907,66.4844,0.0302449,1.36092,1.85841,83.1347,0.000537031,13.6453,6.86464,47.9126,0.0030358,0.830209,1.37964,7.09092,1.20282e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9126,0.0030358,1.2825,1.78913,0.339823,0.0808962,0.186405,1.05315,7.09092,1.20282e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13515,0.00693675,1.27929,19.8286,0.0146144,2.69521
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.95434e-05,0.189376,0,0.0759025,4.85068e-07,1.23473,0,1.69146,1.84529e-06,0.10492,0,0.052057,4.70524e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.84529e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,4.70524e-09,0.0585562
2,29.6385,29.1463,16.5692,0.000806843,1.34023,1.61871,2.9751,3.99051e-05,2.94822,2.45602,13.2842,1.6101e-05,0.863008,1.14149,2.10666,4.10062e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2842,1.6101e-05,0.0155217,1.55415,0.322973,0.127372,0.0116919,0.946939,2.10666,4.10062e-08,0.920125
