Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.73979e-05,0.0993036,0,0.0759017,6.24182e-07,0.591577,0,1.69146,2.02768e-05,0.0473643,0,0.0520562,5.21339e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.02768e-05,0.000987789,0.0422789,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.21339e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000331534,0.497468,0.658396,2.97854,9.2319e-06,5.59145,3.70338,13.2847,1.23919e-05,0.267786,0.428714,2.11009,4.41191e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,1.23919e-05,0.0155217,0.543389,0.129148,0.0239624,0.00853657,0.448777,2.11009,4.41191e-08,0.920125
3,5.2584,4.4361,9.72367,0.000655196,0.200492,0.251149,2.65735,1.75812e-05,1.7232,0.900898,8.8655,1.69054e-05,0.130293,0.18095,0.927818,6.61556e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.8655,1.69054e-05,0.0293457,0.258916,0.0417726,0.0105536,0.00755516,0.138153,0.927818,6.61556e-08,1.73961
4,8.11523,6.47708,10.2133,0.00131822,0.308943,0.457292,5.28857,3.47175e-05,2.76424,1.12609,8.8625,4.16126e-05,0.208307,0.356656,1.83055,1.53384e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.8625,4.16126e-05,0.0584488,0.467997,0.0761984,0.020767,0.0118465,0.201395,1.83055,1.53384e-07,3.46485
5,2.20178,1.60005,9.13375,0.00268536,0.0977273,0.156304,7.58619,6.91205e-05,0.884598,0.282868,7.59793,0.000132018,0.0704555,0.129032,0.672355,4.56244e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59793,0.000132018,0.116473,0.167863,0.024022,0.00760224,0.017688,0.0627935,0.672355,4.56244e-07,6.90454
6,3.69973,2.49858,10.536,0.00533836,0.171497,0.295755,15.1685,0.000137228,1.66454,0.463394,7.59865,0.000231207,0.132869,0.257128,1.34113,8.11938e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59865,0.000231207,0.232886,0.328077,0.0467762,0.0151443,0.0313899,0.0980491,1.34113,8.11938e-07,13.8055
7,0.50363,0.470184,9.5766,0.0173178,0.0326052,0.0441282,49.343,0.000250133,0.419468,0.386021,0.0141082,3.14446e-05,0.0206892,0.0322123,0.180277,5.04907e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0141082,3.14446e-05,0.827824,0.0330665,0.0183357,0.00149928,0.107445,0.0556825,0.180277,5.04907e-07,49.0734
8,0.0340165,0.0298294,0.0181548,2.22286e-05,0.000549324,0.000778568,0.0602372,3.15454e-07,0.00617949,0.00199248,0.00218389,1.1291e-06,0.000109921,0.000339165,0.000218026,1.07319e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218389,1.1291e-06,0.00101147,0.000336848,8.89254e-05,2.33119e-05,0.000321226,0.000724291,0.000218026,1.07319e-08,0.0599602
Total,46.2543,31.3907,66.4889,0.0276961,1.40859,1.8638,83.1583,0.000518951,13.6453,6.86464,47.917,0.000486985,0.877874,1.38503,7.1145,2.56882e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.917,0.000486985,1.2825,1.84193,0.339823,0.0811562,0.186405,1.05315,7.1145,2.56882e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13326,0.00693666,1.27927,19.6666,0.014614,2.69514
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.85982e-05,0.189376,0,0.0759025,4.84239e-07,1.23473,0,1.69146,9.00068e-07,0.10492,0,0.052057,3.87585e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,9.00068e-07,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,3.87585e-09,0.0585562
2,29.6385,29.1463,16.5696,0.000794188,1.35292,1.63232,2.9779,3.98684e-05,2.94822,2.45602,13.2846,3.44567e-06,0.875701,1.15511,2.10945,3.18518e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2846,3.44567e-06,0.0155217,1.5783,0.322973,0.129534,0.0116919,0.946939,2.10945,3.18518e-08,0.920125
3,6.5716,6.46117,9.89759,0.00158956,0.551129,0.675923,2.6581,7.97399e-05,0.645302,0.534867,8.86537,8.07147e-06,0.388288,0.513082,0.928568,6.44601e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86537,8.07147e-06,0.0293457,0.699253,0.138474,0.0636419,0.0105279,0.33295,0.928568,6.44601e-08,1.73961
