Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.80749e-05,0.0993038,0,0.0759017,6.07462e-07,0.591577,0,1.69146,2.09538e-05,0.0473645,0,0.0520562,5.04618e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.09538e-05,0.000987789,0.0422791,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.04618e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000334265,0.498108,0.658396,2.97854,9.37791e-06,5.59145,3.70338,13.2847,1.51237e-05,0.268426,0.428715,2.11009,5.32446e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,1.51237e-05,0.0155217,0.544026,0.129148,0.0239663,0.00853657,0.448777,2.11009,5.32446e-08,0.920125
3,5.2584,4.4361,9.72336,0.000688895,0.198214,0.251123,2.65613,1.8397e-05,1.7232,0.900898,8.86519,5.06035e-05,0.128015,0.180924,0.926602,1.68121e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86519,5.06035e-05,0.0293457,0.256626,0.0417726,0.0105397,0.00755516,0.138153,0.926602,1.68121e-07,1.73961
4,8.11523,6.47708,10.2128,0.00130587,0.300529,0.45695,5.2837,3.45762e-05,2.76424,1.12609,8.86194,2.92552e-05,0.199893,0.356314,1.82568,1.18066e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86194,2.92552e-05,0.0584488,0.459291,0.0761984,0.0207173,0.0118465,0.201395,1.82568,1.18066e-07,3.46485
5,2.20178,1.60005,9.13341,0.00267301,0.0952057,0.156222,7.5844,6.90408e-05,0.884598,0.282868,7.59759,0.000119671,0.0679339,0.12895,0.670567,4.16417e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59759,0.000119671,0.116473,0.165274,0.024022,0.00758724,0.017688,0.0627935,0.670567,4.16417e-07,6.90454
6,3.69973,2.49858,10.5357,0.00532633,0.166227,0.29548,15.1667,0.000137192,1.66454,0.463394,7.5983,0.000219176,0.127599,0.256852,1.33934,7.75841e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.5983,0.000219176,0.232886,0.322561,0.0467762,0.0151136,0.0313899,0.0980491,1.33934,7.75841e-07,13.8055
7,0.50363,0.470184,9.57648,0.0173369,0.0315952,0.0439828,49.3425,0.000250218,0.419468,0.386021,0.0139879,5.05162e-05,0.0196792,0.0320668,0.179746,5.9019e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139879,5.05162e-05,0.827824,0.0319163,0.0183357,0.00149396,0.107445,0.0556825,0.179746,5.9019e-07,49.0734
8,0.0340165,0.0298294,0.0181268,2.20615e-05,0.00054617,0.00077856,0.0602369,3.14648e-07,0.00617949,0.00199248,0.00215588,9.61974e-07,0.000106767,0.000339157,0.000217809,9.92664e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00215588,9.61974e-07,0.00101147,0.000333706,8.89254e-05,2.32926e-05,0.000321226,0.000724291,0.000217809,9.92664e-09,0.0599602
Total,46.2543,31.3907,66.4872,0.0277154,1.38973,1.86293,83.1481,0.000519724,13.6453,6.86464,47.9154,0.000506261,0.859017,1.38416,7.1043,2.63642e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9154,0.000506261,1.2825,1.82231,0.339823,0.0810456,0.186405,1.05315,7.1043,2.63642e-06,76.0265

