epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
12.0,71.4938,51.8701,70.1047,0.0683309,4.27255,5.00579,83.1416,0.00240378,8.91144,6.73774,47.9073,0.000783778,3.05697,3.87467,7.09784,3.12786e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9073,0.000783778,1.2825,5.35676,1.15367,0.42121,0.2432,2.71067,7.09784,3.12786e-06,76.0265,1.98889,0.00516698,0.952901,13.1453,0.0157338,2.90166
13.0,71.4938,51.8701,70.104,0.0682945,4.2642,4.99567,83.1384,0.00240374,8.91144,6.73774,47.9067,0.000747368,3.04862,3.86455,7.09464,3.10392e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000747368,1.2825,5.34241,1.15367,0.417091,0.2432,2.71067,7.09464,3.10392e-06,76.0265,1.98935,0.00516699,0.952904,13.1656,0.015734,2.90169
14.0,71.4938,51.8701,70.1042,0.0681932,4.27056,5.00276,83.139,0.00240368,8.91144,6.73774,47.9068,0.000646041,3.05498,3.87163,7.09522,3.03366e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9068,0.000646041,1.2825,5.35417,1.15367,0.418772,0.2432,2.71067,7.09522,3.03366e-06,76.0265,1.98905,0.00516699,0.952904,13.1524,0.015734,2.90168
15.0,71.4938,51.8701,70.1042,0.0683077,4.27126,5.0032,83.1386,0.00240378,8.91144,6.73774,47.9069,0.000760529,3.05568,3.87207,7.09482,3.11303e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9069,0.000760529,1.2825,5.35591,1.15367,0.418173,0.2432,2.71067,7.09482,3.11303e-06,76.0265,1.98904,0.00516699,0.952903,13.1517,0.015734,2.90168
16.0,71.4938,51.8701,70.1049,0.0683256,4.27271,5.00572,83.1425,0.00240378,8.91144,6.73774,47.9075,0.000778459,3.05713,3.87459,7.09872,3.12517e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9075,0.000778459,1.2825,5.35738,1.15367,0.420671,0.2432,2.71067,7.09872,3.12517e-06,76.0265,1.98887,0.00516697,0.9529,13.1444,0.0157338,2.90165
17.0,71.4938,51.8701,70.1042,0.0681845,4.26839,5.00074,83.1402,0.00240367,8.91144,6.73774,47.9069,0.000637414,3.05281,3.86961,7.09643,3.02659e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9069,0.000637414,1.2825,5.34964,1.15367,0.419118,0.2432,2.71067,7.09643,3.02659e-06,76.0265,1.98912,0.00516699,0.952904,13.1552,0.015734,2.90168
18.0,71.4938,51.8701,70.1039,0.0682285,4.26862,5.00013,83.1372,0.00240371,8.91144,6.73774,47.9065,0.000681332,3.05304,3.86901,7.09343,3.06057e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9065,0.000681332,1.2825,5.35121,1.15367,0.417166,0.2432,2.71067,7.09343,3.06057e-06,76.0265,1.98919,0.005167,0.952905,13.1584,0.0157341,2.9017
19.0,71.4938,51.8701,70.1036,0.0682483,4.26485,4.99556,83.1336,0.00240372,8.91144,6.73774,47.9063,0.000701196,3.04927,3.86443,7.08977,3.07401e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9063,0.000701196,1.2825,5.34474,1.15367,0.415294,0.2432,2.71067,7.08977,3.07401e-06,76.0265,1.98945,0.00516701,0.952906,13.1697,0.0157341,2.90171
20.0,71.4938,51.8701,70.1045,0.0681543,4.27302,5.00534,83.1415,0.00240365,8.91144,6.73774,47.9071,0.000607125,3.05744,3.87421,7.09765,3.00719e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9071,0.000607125,1.2825,5.35892,1.15367,0.419061,0.2432,2.71067,7.09765,3.00719e-06,76.0265,1.98889,0.00516699,0.952903,13.1454,0.0157339,2.90167
21.0,71.4938,51.8701,70.1041,0.0681544,4.26785,4.99944,83.1389,0.00240363,8.91144,6.73774,47.9067,0.000607246,3.05227,3.86832,7.09514,3.00638e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000607246,1.2825,5.34955,1.15367,0.417359,0.2432,2.71067,7.09514,3.00638e-06,76.0265,1.98918,0.005167,0.952905,13.1582,0.015734,2.90169
