Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993052,0,0.0759017,6.85705e-07,0.591577,0,1.69146,2.11413e-05,0.0473659,0,0.0520562,5.82862e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422805,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82862e-07,0.0585562
2,17.7669,15.8789,15.0107,0.000371774,0.488477,0.656028,2.97574,1.20956e-05,5.59145,3.70338,13.2842,5.26322e-05,0.258796,0.426346,2.10729,2.23102e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2842,5.26322e-05,0.0155217,0.532072,0.129148,0.0239217,0.00853657,0.448777,2.10729,2.23102e-07,0.920125
3,5.2584,4.4361,9.72165,0.000743234,0.185412,0.250594,2.65005,2.06018e-05,1.7232,0.900898,8.86348,0.000104943,0.115213,0.180394,0.920517,4.43724e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86348,0.000104943,0.0293457,0.243371,0.0417726,0.0104643,0.00755516,0.138153,0.920517,4.43724e-07,1.73961
4,8.11523,6.47708,10.2123,0.00148259,0.293903,0.456223,5.27883,3.75004e-05,2.76424,1.12609,8.86153,0.000205976,0.193267,0.355587,1.82082,8.49104e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86153,0.000205976,0.0584488,0.451974,0.0761984,0.020681,0.0118465,0.201395,1.82082,8.49104e-07,3.46485
5,2.20178,1.60005,9.13292,0.00294484,0.0915191,0.15609,7.58351,7.1296e-05,0.884598,0.282868,7.5971,0.000391501,0.0642473,0.128818,0.669669,1.544e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.5971,0.000391501,0.116473,0.161478,0.024022,0.00756538,0.017688,0.0627935,0.669669,1.544e-06,6.90454
6,3.69973,2.49858,10.5353,0.00593731,0.16073,0.294771,15.1649,0.00013989,1.66454,0.463394,7.59797,0.000830157,0.122102,0.256143,1.33754,3.47412e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59797,0.000830157,0.232886,0.316385,0.0467762,0.0150842,0.0313899,0.0980491,1.33754,3.47412e-06,13.8055
7,0.50363,0.470184,9.57646,0.018559,0.0314597,0.0439884,49.3425,0.000253902,0.419468,0.386021,0.0139683,0.00127264,0.0195437,0.0320724,0.179746,4.27379e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139683,0.00127264,0.827824,0.0317874,0.0183357,0.00149309,0.107445,0.0556825,0.179746,4.27379e-06,49.0734
8,0.0340165,0.0298294,0.0181339,2.68734e-05,0.000546974,0.000778562,0.0602369,3.29401e-07,0.00617949,0.00199248,0.00216302,5.77388e-06,0.000107571,0.000339159,0.00021781,2.46791e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00216302,5.77388e-06,0.00101147,0.000334507,8.89254e-05,2.32975e-05,0.000321226,0.000724291,0.00021781,2.46791e-08,0.0599602
Total,46.2543,31.3907,66.4837,0.0300939,1.35135,1.85847,83.1317,0.000536301,13.6453,6.86464,47.9119,0.00288476,0.820642,1.3797,7.08786,1.14154e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9119,0.00288476,1.2825,1.77968,0.339823,0.080837,0.186405,1.05315,7.08786,1.14154e-05,76.0265

