Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993053,0,0.0759017,6.8568e-07,0.591577,0,1.69146,2.11413e-05,0.047366,0,0.0520562,5.82836e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422805,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82836e-07,0.0585562
2,17.7669,15.8789,15.0108,0.000371356,0.48862,0.655697,2.97574,1.20138e-05,5.59145,3.70338,13.2842,5.22139e-05,0.258938,0.426015,2.10729,2.17989e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2842,5.22139e-05,0.0155217,0.53188,0.129148,0.0239246,0.00853657,0.448777,2.10729,2.17989e-07,0.920125
3,5.2584,4.4361,9.72179,0.000743727,0.18648,0.250686,2.65005,2.06593e-05,1.7232,0.900898,8.86362,0.000105436,0.116281,0.180487,0.920519,4.50911e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86362,0.000105436,0.0293457,0.244525,0.0417726,0.0104703,0.00755516,0.138153,0.920519,4.50911e-07,1.73961
4,8.11523,6.47708,10.2122,0.00148143,0.29175,0.456089,5.27883,3.74896e-05,2.76424,1.12609,8.86139,0.000204817,0.191114,0.355453,1.82081,8.46392e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86139,0.000204817,0.0584488,0.449699,0.0761984,0.0206686,0.0118465,0.201395,1.82081,8.46392e-07,3.46485
5,2.20178,1.60005,9.13333,0.00299379,0.0945508,0.156173,7.5844,7.18859e-05,0.884598,0.282868,7.59751,0.000440453,0.067279,0.128901,0.670566,1.83896e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59751,0.000440453,0.116473,0.164575,0.024022,0.00758351,0.017688,0.0627935,0.670566,1.83896e-06,6.90454
6,3.69973,2.49858,10.5354,0.00593198,0.161856,0.295241,15.1649,0.000139878,1.66454,0.463394,7.59801,0.000824826,0.123229,0.256613,1.33755,3.46205e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59801,0.000824826,0.232886,0.317978,0.0467762,0.0150882,0.0313899,0.0980491,1.33755,3.46205e-06,13.8055
7,0.50363,0.470184,9.57641,0.0189454,0.0309386,0.0438769,49.3421,0.000255245,0.419468,0.386021,0.0139113,0.00165903,0.0190226,0.0319609,0.179393,5.61713e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139113,0.00165903,0.827824,0.0311573,0.0183357,0.00149057,0.107445,0.0556825,0.179393,5.61713e-06,49.0734
8,0.0340165,0.0298294,0.0181581,2.51572e-05,0.000549696,0.000778569,0.0602372,3.24294e-07,0.00617949,0.00199248,0.00218718,4.05776e-06,0.000110292,0.000339166,0.000218026,1.95723e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218718,4.05776e-06,0.00101147,0.000337219,8.89254e-05,2.33142e-05,0.000321226,0.000724291,0.000218026,1.95723e-08,0.0599602
Total,46.2543,31.3907,66.4842,0.0305211,1.35405,1.85854,83.1322,0.000538182,13.6453,6.86464,47.9123,0.00331198,0.823338,1.37977,7.0884,1.30358e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9123,0.00331198,1.2825,1.78243,0.339823,0.0808531,0.186405,1.05315,7.0884,1.30358e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13538,0.00693675,1.27928,19.8483,0.0146144,2.69521
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


