Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82499e-05,0.099305,0,0.0759017,6.80499e-07,0.591577,0,1.69146,2.11288e-05,0.0473657,0,0.0520562,5.77655e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11288e-05,0.000987789,0.0422802,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.77655e-07,0.0585562
2,17.7669,15.8789,15.0111,0.00038701,0.49412,0.656701,2.97853,1.25395e-05,5.59145,3.70338,13.2846,6.7868e-05,0.264438,0.427019,2.11009,2.50841e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2846,6.7868e-05,0.0155217,0.538357,0.129148,0.0239522,0.00853657,0.448777,2.11009,2.50841e-07,0.920125
3,5.2584,4.4361,9.7215,0.000743774,0.18435,0.250598,2.64883,2.07048e-05,1.7232,0.900898,8.86334,0.000105483,0.11415,0.180399,0.919302,4.56598e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86334,0.000105483,0.0293457,0.24232,0.0417726,0.0104577,0.00755516,0.138153,0.919302,4.56598e-07,1.73961
4,8.11523,6.47708,10.2122,0.0014812,0.291337,0.456155,5.27883,3.74859e-05,2.76424,1.12609,8.86136,0.000204592,0.190701,0.355519,1.82081,8.45469e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86136,0.000204592,0.0584488,0.449355,0.0761984,0.0206657,0.0118465,0.201395,1.82081,8.45469e-07,3.46485
5,2.20178,1.60005,9.13301,0.00292975,0.0921799,0.15609,7.58351,7.11614e-05,0.884598,0.282868,7.59719,0.000376409,0.0649081,0.128819,0.66967,1.47673e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59719,0.000376409,0.116473,0.162135,0.024022,0.00756944,0.017688,0.0627935,0.66967,1.47673e-06,6.90454
6,3.69973,2.49858,10.5355,0.00579159,0.163005,0.295064,15.1649,0.000138975,1.66454,0.463394,7.5981,0.000684443,0.124378,0.256437,1.33755,2.55918e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.5981,0.000684443,0.232886,0.318942,0.0467762,0.0150964,0.0313899,0.0980491,1.33755,2.55918e-06,13.8055
7,0.50363,0.470184,9.57642,0.0185539,0.0311181,0.0439493,49.3421,0.000253895,0.419468,0.386021,0.0139262,0.0012675,0.0192021,0.0320333,0.179393,4.26664e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139262,0.0012675,0.827824,0.0314085,0.0183357,0.00149123,0.107445,0.0556825,0.179393,4.26664e-06,49.0734
8,0.0340165,0.0298294,0.0180933,2.54677e-05,0.000542301,0.000778454,0.0602367,3.25438e-07,0.00617949,0.00199248,0.00212239,4.36824e-06,0.000102898,0.00033905,0.000217593,2.07166e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00212239,4.36824e-06,0.00101147,0.000329754,8.89254e-05,2.32694e-05,0.000321226,0.000724291,0.000217593,2.07166e-08,0.0599602
Total,46.2543,31.3907,66.4839,0.0299409,1.35596,1.85934,83.1329,0.000535767,13.6453,6.86464,47.9121,0.0027318,0.825245,1.38056,7.08909,1.04538e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9121,0.0027318,1.2825,1.78513,0.339823,0.08086,0.186405,1.05315,7.08909,1.04538e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1353,0.00693679,1.27929,19.8411,0.0146146,2.69525
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.96967e-05,0.189376,0,0.0759025,4.85391e-07,1.23473,0,1.69146,1.99856e-06,0.10492,0,0.052057,5.02774e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.99856e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,5.02774e-09,0.0585562
