Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
3,6.5716,6.46117,9.89561,0.0016081,0.54838,0.670849,2.6508,7.97916e-05,0.645302,0.534867,8.86339,2.66113e-05,0.38554,0.508008,0.921265,7.73808e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86339,2.66113e-05,0.0293457,0.696861,0.138474,0.0582126,0.0105279,0.33295,0.921265,7.73808e-08,1.73961
4,9.75963,9.54522,10.4383,0.00321543,1.01537,1.25495,5.27958,0.000159272,1.18806,0.973658,8.86122,5.23307e-05,0.762318,1.0019,1.82157,1.53786e-07,, , 1.01305,0.572223,0.576443,10.9189,11.7919,8.86122,5.23307e-05,0.0584488,1.38677,0.273694,0.103756,0.0166781,0.526365,1.82157,1.53786e-07,3.46485
5,1.71244,1.67188,9.09417,0.00638994,0.359004,0.446427,7.58425,0.000318485,0.219397,0.178835,7.59671,6.36831e-05,0.280105,0.367527,0.670415,2.78271e-07,, , 0.186071,0.105102,0.107059,5.98969,2.42623,7.59671,6.36831e-05,0.116473,0.510962,0.0999325,0.0367376,0.0236741,0.210007,0.670415,2.78271e-07,6.90454
6,2.72878,2.64997,10.4844,0.0128259,0.685434,0.859439,15.1649,0.000636445,0.421141,0.342332,7.59688,0.000172346,0.556409,0.730414,1.33755,5.88116e-07,, , 0.372142,0.179529,0.211802,11.6293,3.73897,7.59688,0.000172346,0.232886,1.01645,0.19892,0.0714567,0.0414532,0.368669,1.33755,5.88116e-07,13.8055
7,2.30149,2.29922,9.57213,0.0431977,0.124945,0.142174,49.3421,0.0011678,2.25305,2.25078,0.00963612,0.000235881,0.0955171,0.112746,0.179393,1.83366e-06,, , 0.0103373,4.48753,0.00596437,11.9572,0.311319,0.00963612,0.000235881,0.827824,0.098315,0.102794,0.00715418,0.137035,0.244384,0.179393,1.83366e-06,49.0734
8,0.0965854,0.0962954,0.0310369,5.31789e-05,0.000790375,0.000842945,0.0602369,1.42905e-06,0.00153838,0.00124837,0.00215369,7.39797e-07,0.000130563,0.000183133,0.000217809,5.75329e-09,, , 0.00129216,0.000742797,0.000751796,0.242812,0.14296,0.00215369,7.39797e-07,0.00101147,0.000229614,6.40066e-05,2.0076e-05,0.000343207,0.00136684,0.000217809,5.75329e-09,0.0599602
Total,71.4938,51.8701,70.1033,0.068115,4.27084,5.00137,83.1357,0.00240361,8.91144,6.73774,47.906,0.000567817,3.05526,3.87024,7.09192,2.98149e-06,, , 4.96962,7.6742,3.00536,78.8078,73.7294,47.906,0.000567817,1.2825,5.35697,1.15367,0.41487,0.2432,2.71067,7.09192,2.98149e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.98915,0.00516702,0.952909,13.1566,0.0157342,2.90173
