Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82374e-05,0.0993049,0,0.0759017,6.76462e-07,0.591577,0,1.69146,2.11163e-05,0.0473656,0,0.0520562,5.73618e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11163e-05,0.000987789,0.0422801,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.73618e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000377019,0.495263,0.656901,2.97853,1.22795e-05,5.59145,3.70338,13.2846,5.78768e-05,0.265581,0.427219,2.11009,2.34592e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2846,5.78768e-05,0.0155217,0.539695,0.129148,0.023958,0.00853657,0.448777,2.11009,2.34592e-07,0.920125
3,5.2584,4.4361,9.72181,0.00075395,0.186705,0.250773,2.65005,2.08124e-05,1.7232,0.900898,8.86364,0.000115659,0.116506,0.180574,0.920519,4.70051e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86364,0.000115659,0.0293457,0.244836,0.0417726,0.0104711,0.00755516,0.138153,0.920519,4.70051e-07,1.73961
4,8.11523,6.47708,10.2124,0.00147937,0.294703,0.456307,5.28126,3.73965e-05,2.76424,1.12609,8.86158,0.000202755,0.194067,0.355671,1.82325,8.23124e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86158,0.000202755,0.0584488,0.452855,0.0761984,0.0206854,0.0118465,0.201395,1.82325,8.23124e-07,3.46485
5,2.20178,1.60005,9.13319,0.00292751,0.0935655,0.156167,7.5844,7.10702e-05,0.884598,0.282868,7.59737,0.000374168,0.0662937,0.128895,0.670564,1.43111e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59737,0.000374168,0.116473,0.163589,0.024022,0.00757749,0.017688,0.0627935,0.670564,1.43111e-06,6.90454
6,3.69973,2.49858,10.5354,0.00581089,0.161985,0.295169,15.1649,0.000139054,1.66454,0.463394,7.59803,0.000703745,0.123357,0.256541,1.33755,2.638e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59803,0.000703745,0.232886,0.318033,0.0467762,0.0150894,0.0313899,0.0980491,1.33755,2.638e-06,13.8055
7,0.50363,0.470184,9.57644,0.0184741,0.03109,0.0438142,49.3423,0.000253639,0.419468,0.386021,0.0139411,0.00118773,0.019174,0.0318982,0.179569,4.01066e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139411,0.00118773,0.827824,0.0312447,0.0183357,0.00149189,0.107445,0.0556825,0.179569,4.01066e-06,49.0734
8,0.0340165,0.0298294,0.0181449,2.70559e-05,0.000548211,0.000778565,0.0602372,3.30181e-07,0.00617949,0.00199248,0.002174,5.95643e-06,0.000108808,0.000339162,0.000218025,2.5459e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.002174,5.95643e-06,0.00101147,0.00033574,8.89254e-05,2.33051e-05,0.000321226,0.000724291,0.000218025,2.5459e-08,0.0599602
Total,46.2543,31.3907,66.4847,0.0298781,1.36317,1.85991,83.1376,0.000535258,13.6453,6.86464,47.9128,0.002669,0.832454,1.38114,7.09381,1.02066e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9128,0.002669,1.2825,1.79287,0.339823,0.0809008,0.186405,1.05315,7.09381,1.02066e-05,76.0265

