Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.099305,0,0.0759017,6.85685e-07,0.591577,0,1.69146,2.11413e-05,0.0473657,0,0.0520562,5.82842e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422802,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82842e-07,0.0585562
2,17.7669,15.8789,15.011,0.000402211,0.49251,0.656265,2.97575,1.28544e-05,5.59145,3.70338,13.2845,8.3069e-05,0.262828,0.426583,2.1073,2.70526e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,8.3069e-05,0.0155217,0.536318,0.129148,0.023945,0.00853657,0.448777,2.1073,2.70526e-07,0.920125
3,5.2584,4.4361,9.72141,0.000779334,0.183694,0.25064,2.64883,2.11231e-05,1.7232,0.900898,8.86324,0.000141043,0.113494,0.180441,0.919301,5.08885e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86324,0.000141043,0.0293457,0.241709,0.0417726,0.0104534,0.00755516,0.138153,0.919301,5.08885e-07,1.73961
4,8.11523,6.47708,10.2123,0.00148715,0.293722,0.456221,5.27883,3.77272e-05,2.76424,1.12609,8.86152,0.00021054,0.193086,0.355585,1.82082,9.05793e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86152,0.00021054,0.0584488,0.451793,0.0761984,0.0206799,0.0118465,0.201395,1.82082,9.05793e-07,3.46485
5,2.20178,1.60005,9.13338,0.00296554,0.0949479,0.156209,7.5844,7.162e-05,0.884598,0.282868,7.59756,0.000412203,0.0676761,0.128937,0.670567,1.70601e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59756,0.000412203,0.116473,0.165006,0.024022,0.00758573,0.017688,0.0627935,0.670567,1.70601e-06,6.90454
6,3.69973,2.49858,10.5353,0.00594437,0.16057,0.295124,15.1649,0.000139979,1.66454,0.463394,7.59793,0.000837221,0.121942,0.256497,1.33754,3.5629e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59793,0.000837221,0.232886,0.316581,0.0467762,0.015081,0.0313899,0.0980491,1.33754,3.5629e-06,13.8055
7,0.50363,0.470184,9.57641,0.0185409,0.0309976,0.0439458,49.3421,0.000253848,0.419468,0.386021,0.01391,0.0012546,0.0190816,0.0320298,0.179392,4.22028e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.01391,0.0012546,0.827824,0.0312852,0.0183357,0.00149051,0.107445,0.0556825,0.179392,4.22028e-06,49.0734
8,0.0340165,0.0298294,0.0181421,2.70122e-05,0.000547902,0.000778565,0.0602372,3.30034e-07,0.00617949,0.00199248,0.00217126,5.91275e-06,0.000108499,0.000339161,0.000218025,2.53126e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00217126,5.91275e-06,0.00101147,0.000335432,8.89254e-05,2.33032e-05,0.000321226,0.000724291,0.000218025,2.53126e-08,0.0599602
Total,46.2543,31.3907,66.4841,0.0301748,1.35629,1.85918,83.131,0.000538167,13.6453,6.86464,47.9123,0.00296572,0.825583,1.38041,7.0872,1.17826e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9123,0.00296572,1.2825,1.78531,0.339823,0.080863,0.186405,1.05315,7.0872,1.17826e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13534,0.00693677,1.27929,19.8448,0.0146145,2.69523
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.96839e-05,0.189376,0,0.0759025,4.85423e-07,1.23473,0,1.69146,1.98579e-06,0.10492,0,0.052057,5.06027e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.98579e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,5.06027e-09,0.0585562
