Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993049,0,0.0759017,6.8571e-07,0.591577,0,1.69146,2.11413e-05,0.0473656,0,0.0520562,5.82867e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422801,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82867e-07,0.0585562
2,17.7669,15.8789,15.0111,0.000370819,0.495098,0.657016,2.97853,1.19586e-05,5.59145,3.70338,13.2846,5.1677e-05,0.265416,0.427334,2.11009,2.14539e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2846,5.1677e-05,0.0155217,0.539646,0.129148,0.0239563,0.00853657,0.448777,2.11009,2.14539e-07,0.920125
3,5.2584,4.4361,9.72191,0.000804161,0.187385,0.250684,2.65005,2.13197e-05,1.7232,0.900898,8.86375,0.00016587,0.117186,0.180485,0.920521,5.33468e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86375,0.00016587,0.0293457,0.245423,0.0417726,0.0104758,0.00755516,0.138153,0.920521,5.33468e-07,1.73961
4,8.11523,6.47708,10.2126,0.00148331,0.297607,0.456616,5.28127,3.75333e-05,2.76424,1.12609,8.86176,0.000206702,0.19697,0.35598,1.82325,8.57319e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86176,0.000206702,0.0584488,0.456051,0.0761984,0.0207014,0.0118465,0.201395,1.82325,8.57319e-07,3.46485
5,2.20178,1.60005,9.13266,0.00297019,0.0895684,0.156007,7.58261,7.17137e-05,0.884598,0.282868,7.59684,0.000416852,0.0622966,0.128735,0.668773,1.75289e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59684,0.000416852,0.116473,0.159456,0.024022,0.00755389,0.017688,0.0627935,0.668773,1.75289e-06,6.90454
6,3.69973,2.49858,10.5353,0.00593708,0.159624,0.294557,15.1649,0.000139887,1.66454,0.463394,7.5979,0.000829931,0.120997,0.255929,1.33754,3.47155e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.5979,0.000829931,0.232886,0.315071,0.0467762,0.0150787,0.0313899,0.0980491,1.33754,3.47155e-06,13.8055
7,0.50363,0.470184,9.57643,0.0183292,0.0311733,0.0439221,49.3423,0.000253171,0.419468,0.386021,0.0139377,0.00104281,0.0192573,0.0320061,0.179569,3.54273e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139377,0.00104281,0.827824,0.031436,0.0183357,0.00149174,0.107445,0.0556825,0.179569,3.54273e-06,49.0734
8,0.0340165,0.0298294,0.0181575,2.66066e-05,0.000549634,0.000778569,0.0602372,3.29335e-07,0.00617949,0.00199248,0.00218663,5.50716e-06,0.00011023,0.000339166,0.000218026,2.46134e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218663,5.50716e-06,0.00101147,0.000337157,8.89254e-05,2.33138e-05,0.000321226,0.000724291,0.000218026,2.46134e-08,0.0599602
Total,46.2543,31.3907,66.4843,0.0299496,1.36031,1.85958,83.1358,0.000536599,13.6453,6.86464,47.9124,0.00274049,0.829599,1.38081,7.09202,1.098e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9124,0.00274049,1.2825,1.7897,0.339823,0.0808853,0.186405,1.05315,7.09202,1.098e-05,76.0265

