Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.099305,0,0.0759017,6.85671e-07,0.591577,0,1.69146,2.11413e-05,0.0473657,0,0.0520562,5.82828e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422802,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82828e-07,0.0585562
2,17.7669,15.8789,15.0111,0.000387194,0.494269,0.656345,2.97853,1.25573e-05,5.59145,3.70338,13.2846,6.80521e-05,0.264587,0.426663,2.11009,2.51955e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2846,6.80521e-05,0.0155217,0.538147,0.129148,0.0239553,0.00853657,0.448777,2.11009,2.51955e-07,0.920125
3,5.2584,4.4361,9.72155,0.000743479,0.18465,0.250595,2.64883,2.06739e-05,1.7232,0.900898,8.86338,0.000105188,0.114451,0.180396,0.919303,4.52736e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86338,0.000105188,0.0293457,0.242615,0.0417726,0.0104596,0.00755516,0.138153,0.919303,4.52736e-07,1.73961
4,8.11523,6.47708,10.2126,0.00148527,0.298017,0.456461,5.28127,3.76242e-05,2.76424,1.12609,8.8618,0.000208661,0.197381,0.355825,1.82325,8.80045e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.8618,0.000208661,0.0584488,0.456302,0.0761984,0.0207049,0.0118465,0.201395,1.82325,8.80045e-07,3.46485
5,2.20178,1.60005,9.13309,0.0029713,0.0927612,0.156131,7.58351,7.17547e-05,0.884598,0.282868,7.59727,0.000417961,0.0654894,0.128859,0.669671,1.77339e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59727,0.000417961,0.116473,0.162754,0.024022,0.00757276,0.017688,0.0627935,0.669671,1.77339e-06,6.90454
6,3.69973,2.49858,10.5351,0.00593054,0.157571,0.294793,15.1631,0.000139843,1.66454,0.463394,7.59775,0.000823395,0.118944,0.256166,1.33575,3.42674e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59775,0.000823395,0.232886,0.313268,0.0467762,0.0150646,0.0313899,0.0980491,1.33575,3.42674e-06,13.8055
7,0.50363,0.470184,9.57648,0.0183757,0.0314543,0.0438823,49.3425,0.00025332,0.419468,0.386021,0.0139823,0.0010893,0.0195383,0.0319663,0.179746,3.69239e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139823,0.0010893,0.827824,0.0316752,0.0183357,0.00149371,0.107445,0.0556825,0.179746,3.69239e-06,49.0734
8,0.0340165,0.0298294,0.0181196,2.6293e-05,0.000545367,0.000778558,0.0602369,3.28115e-07,0.00617949,0.00199248,0.00214875,5.19355e-06,0.000105963,0.000339155,0.000217809,2.3393e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00214875,5.19355e-06,0.00101147,0.000332905,8.89254e-05,2.32876e-05,0.000321226,0.000724291,0.000217809,2.3393e-08,0.0599602
Total,46.2543,31.3907,66.4842,0.029948,1.35857,1.85899,83.1339,0.000536787,13.6453,6.86464,47.9124,0.00273889,0.827862,1.38021,7.09009,1.10835e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9124,0.00273889,1.2825,1.78738,0.339823,0.0808782,0.186405,1.05315,7.09009,1.10835e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13522,0.00693677,1.27929,19.8341,0.0146145,2.69523
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.96201e-05,0.189376,0,0.0759025,4.85059e-07,1.23473,0,1.69146,1.92192e-06,0.10492,0,0.052057,4.69587e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.92192e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,4.69587e-09,0.0585562
2,29.6385,29.1463,16.5695,0.000804752,1.34579,1.62492,2.9779,3.98981e-05,2.94822,2.45602,13.2845,1.40102e-05,0.868572,1.1477,2.10945,3.92674e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2845,1.40102e-05,0.0155217,1.56441,0.322973,0.128882,0.0116919,0.946939,2.10945,3.92674e-08,0.920125
3,6.5716,6.46117,9.89573,0.00160878,0.548551,0.671165,2.6508,7.97936e-05,0.645302,0.534867,8.86351,2.72876e-05,0.38571,0.508324,0.921267,7.78814e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86351,2.72876e-05,0.0293457,0.697007,0.138474,0.0585521,0.0105279,0.33295,0.921267,7.78814e-08,1.73961
4,9.75963,9.54522,10.4381,0.00321453,1.01276,1.25186,5.27957,0.00015927,1.18806,0.973658,8.86101,5.14362e-05,0.759707,0.998811,1.82156,1.53114e-07,, , 1.01305,0.572223,0.576443,10.9189,11.7919,8.86101,5.14362e-05,0.0584488,1.38219,0.273694,0.102634,0.0166781,0.526365,1.82156,1.53114e-07,3.46485
5,1.71244,1.67188,9.09412,0.0064344,0.359041,0.446402,7.58425,0.000318549,0.219397,0.178835,7.59666,0.000108151,0.280142,0.367503,0.670414,3.10524e-07,, , 0.186071,0.105102,0.107059,5.98969,2.42623,7.59666,0.000108151,0.116473,0.511119,0.0999325,0.036593,0.0236741,0.210007,0.670414,3.10524e-07,6.90454
6,2.72878,2.64997,10.4842,0.0128584,0.684256,0.857827,15.1649,0.000636468,0.421141,0.342332,7.5967,0.000204818,0.555231,0.728802,1.33755,6.11834e-07,, , 0.372142,0.179529,0.211802,11.6293,3.73897,7.5967,0.000204818,0.232886,1.01467,0.19892,0.0704427,0.0414532,0.368669,1.33755,6.11834e-07,13.8055
7,2.30149,2.29922,9.57213,0.0432539,0.124945,0.142173,49.3421,0.00116784,2.25305,2.25078,0.00963584,0.000292064,0.0955168,0.112745,0.179393,1.87053e-06,, , 0.0103373,4.48753,0.00596437,11.9572,0.311319,0.00963584,0.000292064,0.827824,0.0983148,0.102794,0.00715343,0.137035,0.244384,0.179393,1.87053e-06,49.0734
