Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.04425e-05,0.0993036,0,0.0759017,4.13613e-07,0.591577,0,1.69146,1.33214e-05,0.0473643,0,0.0520562,3.1077e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.33214e-05,0.000987789,0.0422788,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.1077e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000348645,0.497632,0.658665,2.97854,1.01256e-05,5.59145,3.70338,13.2847,2.95033e-05,0.26795,0.428983,2.11009,9.99765e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,2.95033e-05,0.0155217,0.543823,0.129148,0.0239618,0.00853657,0.448777,2.11009,9.99765e-08,0.920125
3,5.2584,4.4361,9.72362,0.000688135,0.200141,0.251167,2.65735,1.84046e-05,1.7232,0.900898,8.86545,4.9844e-05,0.129942,0.180968,0.927818,1.69072e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86545,4.9844e-05,0.0293457,0.258585,0.0417726,0.0105513,0.00755516,0.138153,0.927818,1.69072e-07,1.73961
4,8.11523,6.47708,10.2133,0.00131365,0.308141,0.457288,5.28614,3.46662e-05,2.76424,1.12609,8.86245,3.70385e-05,0.207505,0.356652,1.82813,1.40559e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86245,3.70385e-05,0.0584488,0.467196,0.0761984,0.0207621,0.0118465,0.201395,1.82813,1.40559e-07,3.46485
5,2.20178,1.60005,9.13374,0.0027045,0.0976159,0.1563,7.5853,6.92413e-05,0.884598,0.282868,7.59792,0.000151155,0.0703441,0.129029,0.671463,5.16675e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59792,0.000151155,0.116473,0.167749,0.024022,0.00760158,0.017688,0.0627935,0.671463,5.16675e-07,6.90454
6,3.69973,2.49858,10.5359,0.00521626,0.169798,0.295689,15.1685,0.00013687,1.66454,0.463394,7.59853,0.000109113,0.131171,0.257061,1.34113,4.54022e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59853,0.000109113,0.232886,0.326322,0.0467762,0.0151343,0.0313899,0.0980491,1.34113,4.54022e-07,13.8055
7,0.50363,0.470184,9.57658,0.0173332,0.0324501,0.0441236,49.343,0.000250202,0.419468,0.386021,0.0140873,4.68417e-05,0.0205341,0.0322077,0.180276,5.7367e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0140873,4.68417e-05,0.827824,0.0329077,0.0183357,0.00149835,0.107445,0.0556825,0.180276,5.7367e-07,49.0734
8,0.0340165,0.0298294,0.0181509,2.12666e-05,0.000548891,0.000778567,0.0602372,3.11102e-07,0.00617949,0.00199248,0.00218004,1.67122e-07,0.000109488,0.000339163,0.000218025,6.38019e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218004,1.67122e-07,0.00101147,0.000336417,8.89254e-05,2.33093e-05,0.000321226,0.000724291,0.000218025,6.38019e-09,0.0599602
Total,46.2543,31.3907,66.4886,0.0276461,1.40563,1.86401,83.155,0.000520234,13.6453,6.86464,47.9168,0.000436985,0.874919,1.38524,7.11117,2.27112e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9168,0.000436985,1.2825,1.8392,0.339823,0.0811367,0.186405,1.05315,7.11117,2.27112e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13341,0.00693668,1.27927,19.6793,0.0146141,2.69515
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.84322e-05,0.189376,0,0.0759025,4.84123e-07,1.23473,0,1.69146,7.34016e-07,0.10492,0,0.052057,3.76047e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,7.34016e-07,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,3.76047e-09,0.0585562
2,29.6385,29.1463,16.5695,0.000796171,1.35309,1.63229,2.9779,3.98739e-05,2.94822,2.45602,13.2845,5.42871e-06,0.875872,1.15507,2.10945,3.3224e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2845,5.42871e-06,0.0155217,1.57892,0.322973,0.129053,0.0116919,0.946939,2.10945,3.3224e-08,0.920125
3,6.5716,6.46117,9.89766,0.00159322,0.551191,0.676059,2.6581,7.97495e-05,0.645302,0.534867,8.86544,1.17358e-05,0.38835,0.513219,0.928569,6.68637e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86544,1.17358e-05,0.0293457,0.699278,0.138474,0.0638161,0.0105279,0.33295,0.928569,6.68637e-08,1.73961
4,9.75963,9.54522,10.4393,0.00318056,1.01969,1.26164,5.28932,0.000159224,1.18806,0.973658,8.86223,1.74578e-05,0.766634,1.00859,1.8313,1.29822e-07,, , 1.01305,0.572223,0.576443,10.9189,11.7919,8.86223,1.74578e-05,0.0584488,1.39224,0.273694,0.109286,0.0166781,0.526365,1.8313,1.29822e-07,3.46485
5,1.71244,1.67188,9.09481,0.00635948,0.359933,0.448111,7.58604,0.000318444,0.219397,0.178835,7.59735,3.32262e-05,0.281034,0.369211,0.672207,2.57918e-07,, , 0.186071,0.105102,0.107059,5.98969,2.42623,7.59735,3.32262e-05,0.116473,0.511813,0.0999325,0.0384997,0.0236741,0.210007,0.672207,2.57918e-07,6.90454
6,2.72878,2.64997,10.4849,0.0127154,0.689402,0.864649,15.1685,0.000636369,0.421141,0.342332,7.59741,6.1837e-05,0.560377,0.735624,1.34113,5.12801e-07,, , 0.372142,0.179529,0.211802,11.6293,3.73897,7.59741,6.1837e-05,0.232886,1.02273,0.19892,0.074356,0.0414532,0.368669,1.34113,5.12801e-07,13.8055
7,2.30149,2.29922,9.57228,0.0431245,0.126057,0.143456,49.343,0.00116775,2.25305,2.25078,0.00978177,0.000162638,0.0966292,0.114028,0.180277,1.78568e-06,, , 0.0103373,4.48753,0.00596437,11.9572,0.311319,0.00978177,0.000162638,0.827824,0.100311,0.102794,0.0075525,0.137035,0.244384,0.180277,1.78568e-06,49.0734
