Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.099305,0,0.0759017,6.85697e-07,0.591577,0,1.69146,2.11413e-05,0.0473658,0,0.0520562,5.82853e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422803,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82853e-07,0.0585562
2,17.7669,15.8789,15.011,0.000372135,0.492036,0.656439,2.97575,1.22394e-05,5.59145,3.70338,13.2844,5.2993e-05,0.262354,0.426757,2.1073,2.32086e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2844,5.2993e-05,0.0155217,0.536023,0.129148,0.023941,0.00853657,0.448777,2.1073,2.32086e-07,0.920125
3,5.2584,4.4361,9.72203,0.000748457,0.188356,0.25081,2.65127,2.06971e-05,1.7232,0.900898,8.86386,0.000110166,0.118157,0.180611,0.921735,4.55644e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86386,0.000110166,0.0293457,0.246514,0.0417726,0.010481,0.00755516,0.138153,0.921735,4.55644e-07,1.73961
4,8.11523,6.47708,10.2126,0.00148588,0.298269,0.456642,5.28127,3.76405e-05,2.76424,1.12609,8.86181,0.000209273,0.197633,0.356006,1.82325,8.84121e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86181,0.000209273,0.0584488,0.456735,0.0761984,0.0207053,0.0118465,0.201395,1.82325,8.84121e-07,3.46485
5,2.20178,1.60005,9.13324,0.00296355,0.0939195,0.156182,7.5844,7.15926e-05,0.884598,0.282868,7.59742,0.00041021,0.0666477,0.128911,0.670565,1.69232e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59742,0.00041021,0.116473,0.163957,0.024022,0.00757957,0.017688,0.0627935,0.670565,1.69232e-06,6.90454
6,3.69973,2.49858,10.5353,0.00592886,0.161153,0.295226,15.1649,0.000139833,1.66454,0.463394,7.59796,0.000821712,0.122525,0.256598,1.33754,3.41706e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59796,0.000821712,0.232886,0.317263,0.0467762,0.015084,0.0313899,0.0980491,1.33754,3.41706e-06,13.8055
7,0.50363,0.470184,9.57642,0.0188323,0.0310616,0.043919,49.3421,0.00025484,0.419468,0.386021,0.0139226,0.00154593,0.0191457,0.032003,0.179393,5.21171e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139226,0.00154593,0.827824,0.031322,0.0183357,0.00149107,0.107445,0.0556825,0.179393,5.21171e-06,49.0734
8,0.0340165,0.0298294,0.0181537,2.80934e-05,0.000549201,0.000778568,0.0602372,3.33442e-07,0.00617949,0.00199248,0.00218279,6.99392e-06,0.000109797,0.000339164,0.000218026,2.87203e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218279,6.99392e-06,0.00101147,0.000336725,8.89254e-05,2.33112e-05,0.000321226,0.000724291,0.000218026,2.87203e-08,0.0599602
Total,46.2543,31.3907,66.4849,0.0303875,1.36465,1.86,83.1359,0.000537861,13.6453,6.86464,47.9131,0.00317842,0.833939,1.38122,7.09206,1.25045e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9131,0.00317842,1.2825,1.79443,0.339823,0.0809094,0.186405,1.05315,7.09206,1.25045e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13499,0.00693672,1.27928,19.8148,0.0146143,2.69519
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,18.6847,0,4.01817,1.96712e-05,0.189376,0,0.0759025,4.8522e-07,1.23473,0,1.69146,1.97302e-06,0.10492,0,0.052057,4.85681e-09,, , 0.554302,0.191944,0.488485,10.5934,9.23948,1.69146,1.97302e-06,0.000987789,0.0794772,0.0168214,0.00862134,0.00179678,0.0799932,0.052057,4.85681e-09,0.0585562
2,29.6385,29.1463,16.5694,0.000806927,1.34294,1.62174,2.97511,3.99068e-05,2.94822,2.45602,13.2844,1.61846e-05,0.865725,1.14453,2.10666,4.14409e-08,, , 2.32589,1.75494,1.3234,21.1515,37.5237,13.2844,1.61846e-05,0.0155217,1.55916,0.322973,0.128121,0.0116919,0.946939,2.10666,4.14409e-08,0.920125
3,6.5716,6.46117,9.89583,0.00161225,0.548898,0.671624,2.6508,7.98065e-05,0.645302,0.534867,8.86361,3.0766e-05,0.386057,0.508784,0.921269,8.11135e-08,, , 0.506527,0.382187,0.291454,6.32512,8.55487,8.86361,3.0766e-05,0.0293457,0.697553,0.138474,0.0588139,0.0105279,0.33295,0.921269,8.11135e-08,1.73961
4,9.75963,9.54522,10.4384,0.00320824,1.0146,1.25446,5.28201,0.000159261,1.18806,0.973658,8.86133,4.51449e-05,0.761549,1.00141,1.824,1.48513e-07,, , 1.01305,0.572223,0.576443,10.9189,11.7919,8.86133,4.51449e-05,0.0584488,1.38487,0.273694,0.104389,0.0166781,0.526365,1.824,1.48513e-07,3.46485
5,1.71244,1.67188,9.09433,0.00643723,0.359392,0.447005,7.58515,0.000318554,0.219397,0.178835,7.59687,0.000110977,0.280493,0.368105,0.671309,3.12777e-07,, , 0.186071,0.105102,0.107059,5.98969,2.42623,7.59687,0.000110977,0.116473,0.511485,0.0999325,0.0371805,0.0236741,0.210007,0.671309,3.12777e-07,6.90454
6,2.72878,2.64997,10.4843,0.0128761,0.685858,0.859569,15.1649,0.000636482,0.421141,0.342332,7.59676,0.000222488,0.556833,0.730544,1.33755,6.25599e-07,, , 0.372142,0.179529,0.211802,11.6293,3.73897,7.59676,0.000222488,0.232886,1.01769,0.19892,0.0707709,0.0414532,0.368669,1.33755,6.25599e-07,13.8055
7,2.30149,2.29922,9.57211,0.0432287,0.124618,0.141818,49.3421,0.00116782,2.25305,2.25078,0.00961107,0.000266831,0.0951905,0.11239,0.179393,1.85395e-06,, , 0.0103373,4.48753,0.00596437,11.9572,0.311319,0.00961107,0.000266831,0.827824,0.097701,0.102794,0.00708567,0.137035,0.244384,0.179393,1.85395e-06,49.0734
8,0.0965854,0.0962954,0.0310665,5.32597e-05,0.000790462,0.00084314,0.0602372,1.42912e-06,0.00153838,0.00124837,0.00218334,8.20627e-07,0.00013065,0.000183328,0.000218026,5.81773e-09,, , 0.00129216,0.000742797,0.000751796,0.242812,0.14296,0.00218334,8.20627e-07,0.00101147,0.000229642,6.40066e-05,2.03294e-05,0.000343207,0.00136684,0.000218026,5.81773e-09,0.0599602
