L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
75.4111,77.1472,56.8899,0.0663821,5.01954,19.3873,83.1349,0.0014475,29.0518,44.568,34.6926,0.00147893,4.3447,18.7638,7.09113,1.8162e-06,1.70745,0.880232,6.10675,1.70266
75.6379,77.1472,56.8897,0.0666603,4.98616,19.3873,83.1349,0.00144816,29.2787,44.568,34.6924,0.00175719,4.31133,18.7638,7.09105,2.16063e-06,1.70797,0.879279,6.11352,1.6991
75.5946,77.1472,56.8896,0.0665795,4.96279,19.3873,83.1323,0.00144791,29.2353,44.568,34.6922,0.00167632,4.28795,18.7638,7.08845,2.05979e-06,1.70838,0.879462,6.11879,1.69978
75.3435,77.1472,56.8895,0.066856,4.96424,19.3873,83.131,0.00144821,28.9843,44.568,34.6921,0.00195287,4.2894,18.7638,7.08723,2.39995e-06,1.70839,0.880515,6.11874,1.70372
75.8082,77.1472,56.8901,0.0664638,5.02221,19.3873,83.1358,0.00144786,29.449,44.568,34.6928,0.00156063,4.34737,18.7638,7.09202,1.91924e-06,1.70737,0.878565,6.10603,1.69643
75.647,77.1472,56.8905,0.0665153,5.02998,19.3873,83.1361,0.00144787,29.2877,44.568,34.6932,0.00161213,4.35515,18.7638,7.0923,1.98181e-06,1.70725,0.879239,6.1044,1.69895
75.2083,77.1472,56.8897,0.0666067,4.98033,19.3873,83.1314,0.00144804,28.8491,44.568,34.6923,0.00170351,4.30549,18.7638,7.08759,2.09806e-06,1.70814,0.881084,6.1154,1.70585
76.2539,77.1472,56.8906,0.0668057,5.08477,19.3873,83.137,0.00144827,29.8947,44.568,34.6932,0.00190259,4.40994,18.7638,7.09318,2.3416e-06,1.70634,0.8767,6.09317,1.68949
75.2563,77.1472,56.89,0.0666898,5.00541,19.3873,83.1333,0.00144802,28.8971,44.568,34.6926,0.0017866,4.33057,18.7638,7.08952,2.19476e-06,1.70771,0.880881,6.10993,1.70509
75.5147,77.1472,56.8903,0.0663487,5.0421,19.3873,83.1356,0.00144756,29.1555,44.568,34.693,0.00144555,4.36726,18.7638,7.09181,1.7748e-06,1.70708,0.879795,6.10205,1.70102
75.9561,77.1472,56.8904,0.0668954,5.05847,19.3873,83.1398,0.00144821,29.5969,44.568,34.6931,0.00199227,4.38363,18.7638,7.09595,2.44769e-06,1.70673,0.877943,6.09791,1.69412
75.8659,77.1472,56.8899,0.0664569,5.02756,19.3873,83.1347,0.00144789,29.5067,44.568,34.6926,0.0015538,4.35272,18.7638,7.09089,1.90998e-06,1.7073,0.878324,6.10517,1.69554
76.1279,77.1472,56.892,0.0650063,5.23485,19.3873,83.1463,0.00144501,29.7687,44.568,34.6947,0.000103135,4.56002,18.7638,7.10247,1.26631e-07,1.70384,0.877227,6.06126,1.69145
76.5597,77.1472,56.8924,0.0650307,5.27655,19.3873,83.1475,0.00144509,30.2004,44.568,34.6951,0.000127528,4.60172,18.7638,7.10369,1.56511e-07,1.70314,0.875428,6.05272,1.68477
76.6853,77.1472,56.8926,0.0650481,5.32302,19.3873,83.1475,0.00144509,30.326,44.568,34.6953,0.000144954,4.64818,18.7638,7.1037,1.77749e-07,1.7024,0.874905,6.0435,1.68284
76.5879,77.1472,56.8928,0.0650408,5.33107,19.3873,83.1475,0.0014451,30.2287,44.568,34.6954,0.000137635,4.65623,18.7638,7.1037,1.688e-07,1.70228,0.875309,6.04191,1.68433
76.1591,77.1472,56.8927,0.0650232,5.30495,19.3873,83.1449,0.00144505,29.7999,44.568,34.6953,0.000120078,4.63011,18.7638,7.10109,1.47331e-07,1.70275,0.877094,6.0476,1.69096
76.4719,77.1472,56.893,0.0649734,5.36495,19.3873,83.1477,0.00144498,30.1126,44.568,34.6957,7.02908e-05,4.69011,18.7638,7.10388,8.64132e-08,1.70175,0.87579,6.03517,1.68612
76.6231,77.1472,56.8932,0.0650273,5.38917,19.3873,83.1495,0.00144508,30.2639,44.568,34.6959,0.000124167,4.71433,18.7638,7.10567,1.52356e-07,1.70133,0.875161,6.03004,1.68378
77.0782,77.1472,56.8934,0.0649893,5.41822,19.3873,83.1495,0.00144501,30.7189,44.568,34.6961,8.61287e-05,4.74339,18.7638,7.10567,1.05782e-07,1.70085,0.873274,6.02431,1.67682
76.7918,77.1472,56.8932,0.0650059,5.38424,19.3873,83.1495,0.00144502,30.4325,44.568,34.6958,0.000102775,4.7094,18.7638,7.10567,1.2614e-07,1.7014,0.874461,6.03101,1.6812
76.8446,77.1472,56.8935,0.0650531,5.43704,19.3873,83.1519,0.0014451,30.4854,44.568,34.6961,0.000149929,4.7622,18.7638,7.1081,1.83888e-07,1.70053,0.874241,6.02014,1.68038
