1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.014851,-0.047148,-0.030324,-0.094585,-0.042863,-0.080835,-0.083670,0.009812,0.525216,0.583923,0.557199,0.605535,0.582740,0.594393,0.683869,0.596074
-0.008616,-0.050195,-0.030967,-0.095727,-0.041710,-0.080312,-0.084053,0.010396,0.524838,0.582892,0.558108,0.606760,0.583227,0.594379,0.682307,0.595406
-0.010233,-0.045098,-0.031048,-0.098943,-0.042340,-0.080849,-0.085716,0.008966,0.528278,0.584174,0.559288,0.606948,0.583866,0.595946,0.683963,0.596153
-0.016862,-0.042951,-0.031540,-0.094084,-0.043914,-0.081411,-0.084934,0.009706,0.523038,0.584094,0.558177,0.603545,0.584633,0.595224,0.684378,0.595991
-0.014452,-0.050604,-0.029655,-0.094503,-0.044243,-0.082208,-0.085547,0.010011,0.510269,0.586216,0.555994,0.602807,0.584136,0.596118,0.686813,0.597130
-0.013803,-0.036715,-0.029879,-0.090373,-0.041797,-0.082546,-0.085494,0.010074,0.551030,0.594482,0.561393,0.606639,0.586504,0.598077,0.686612,0.598055
-0.013413,-0.033274,-0.029440,-0.089704,-0.040564,-0.081779,-0.085476,0.009614,0.566814,0.597171,0.565190,0.608607,0.588090,0.599811,0.686481,0.600302
-0.012809,-0.032649,-0.028057,-0.088991,-0.039400,-0.080668,-0.085448,0.010144,0.580327,0.599107,0.568267,0.610162,0.589495,0.601198,0.686292,0.600434
-0.013267,-0.030863,-0.028352,-0.087074,-0.037800,-0.080056,-0.085713,0.010642,0.588319,0.601174,0.570778,0.611516,0.590908,0.602398,0.686162,0.601461
-0.005445,-0.030256,-0.028142,-0.086992,-0.037255,-0.079300,-0.085696,0.009825,0.597625,0.602139,0.573060,0.612487,0.591957,0.603508,0.686072,0.602678
