epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
12.0,61.5099,48.2699,55.2091,0.135773,3.45549,3.51591,82.6718,0.0143548,2.93703,6.0954,33.0117,0.0688994,2.0715,2.20952,6.62797,0.00762865,60.3773,5.77723,3.07003,78.6581,66.6226,33.0117,0.0688994,1.2825,3.18273,1.08693,0.0113529,0.239527,3.00938,6.62797,0.00762865,76.0265,2.05106,0.00605603,1.11686,16.8936,0.0237456,4.37919
13.0,61.5099,48.2699,55.2087,0.128596,3.43796,3.51458,82.6678,0.0128719,2.93703,6.0954,33.0114,0.0617222,2.05396,2.2082,6.62396,0.00648483,58.9355,5.77723,3.07003,78.6581,66.6226,33.0114,0.0617222,1.2825,3.16387,1.08693,0.0113529,0.239527,3.00938,6.62396,0.00648483,76.0265,2.05162,0.00605631,1.11691,16.9309,0.0237498,4.37998
14.0,61.5099,48.2699,55.2087,0.132384,3.44049,3.51251,82.6666,0.0146168,2.93703,6.0954,33.0114,0.0655103,2.0565,2.20613,6.62275,0.0076369,58.358,5.77723,3.07003,78.6581,66.6226,33.0114,0.0655103,1.2825,3.16434,1.08693,0.0113529,0.239527,3.00938,6.62275,0.0076369,76.0265,2.05159,0.00605617,1.11689,16.9302,0.0237477,4.37959
15.0,61.5099,48.2699,55.2086,0.124814,3.43586,3.51637,82.6679,0.012428,2.93703,6.0954,33.0113,0.05794,2.05187,2.20999,6.62414,0.0061713,58.6561,5.77723,3.07003,78.6581,66.6226,33.0113,0.05794,1.2825,3.16357,1.08693,0.0113529,0.239527,3.00938,6.62414,0.0061713,76.0265,2.05163,0.00605645,1.11694,16.9316,0.023752,4.38038
16.0,61.5099,48.2699,55.2087,0.146353,3.43721,3.51469,82.6676,0.0152044,2.93703,6.0954,33.0114,0.0794796,2.05322,2.20831,6.62382,0.00852555,59.4308,5.77723,3.07003,78.6581,66.6226,33.0114,0.0794796,1.2825,3.16324,1.08693,0.0113529,0.239527,3.00938,6.62382,0.00852555,76.0265,2.05158,0.00605566,1.11679,16.9289,0.0237398,4.37814
17.0,61.5099,48.2699,55.2083,0.126971,3.4183,3.5111,82.6614,0.013354,2.93703,6.0954,33.0109,0.0600974,2.03431,2.20472,6.61763,0.00628701,59.0551,5.77723,3.07003,78.6581,66.6226,33.0109,0.0600974,1.2825,3.14074,1.08693,0.0113529,0.239527,3.00938,6.61763,0.00628701,76.0265,2.05228,0.00605638,1.11693,16.9771,0.023751,4.3802
18.0,61.5099,48.2699,55.2086,0.129603,3.43116,3.51379,82.6658,0.0124213,2.93703,6.0954,33.0113,0.0627289,2.04717,2.20741,6.622,0.00646839,59.4434,5.77723,3.07003,78.6581,66.6226,33.0113,0.0627289,1.2825,3.15629,1.08693,0.0113529,0.239527,3.00938,6.622,0.00646839,76.0265,2.05184,0.00605627,1.11691,16.9458,0.0237493,4.37988
19.0,61.5099,48.2699,55.2085,0.131886,3.41963,3.50998,82.6637,0.0129894,2.93703,6.0954,33.0111,0.0650119,2.03563,2.2036,6.61991,0.00686244,57.6091,5.77723,3.07003,78.6581,66.6226,33.0111,0.0650119,1.2825,3.14094,1.08693,0.0113529,0.239527,3.00938,6.61991,0.00686244,76.0265,2.05223,0.0060562,1.11689,16.9723,0.0237481,4.37966
20.0,61.5099,48.2699,55.209,0.128963,3.44585,3.51447,82.6702,0.013133,2.93703,6.0954,33.0117,0.0620893,2.06185,2.20809,6.62639,0.00648934,59.4776,5.77723,3.07003,78.6581,66.6226,33.0117,0.0620893,1.2825,3.17166,1.08693,0.0113529,0.239527,3.00938,6.62639,0.00648934,76.0265,2.05138,0.00605628,1.11691,16.915,0.0237495,4.37991
21.0,61.5099,48.2699,55.2084,0.118528,3.41537,3.51031,82.6637,0.0118585,2.93703,6.0954,33.0111,0.0516543,2.03138,2.20393,6.61988,0.00525282,59.1621,5.77723,3.07003,78.6581,66.6226,33.0111,0.0516543,1.2825,3.13702,1.08693,0.0113529,0.239527,3.00938,6.61988,0.00525282,76.0265,2.05235,0.00605669,1.11698,16.981,0.0237557,4.38106
