Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000300043,4.25202e-06,2.85683e-05,0.000156134,5.92567e-05,3.23707e-05,1.9461e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,16.4134,0,3.49383,9.72952e-05,0.192331,0,0.0726005,1.74716e-06,0.015,0,1.16712,7.9745e-05,0.114716,0,0.048755,1.3147e-06,, , 24.5924,0,0.492092,10.5373,8.24348,1.16712,7.9745e-05,0.000987789,0.0995691,0.0148415,0.0003049,0.00175446,0.073186,0.048755,1.3147e-06,0.0585562
2,25.3058,26.9799,12.4357,0.000901525,1.14399,1.19015,2.837,9.09821e-05,0.487544,2.16164,9.15069,0.000120878,0.605762,0.651927,1.96856,1.38322e-05,, , 18.4923,0.944748,1.35557,21.0899,33.8155,9.15069,0.000120878,0.0155217,0.950063,0.304263,0.00336283,0.0114841,1.06834,1.96856,1.38322e-05,0.920125
3,5.61799,5.97933,7.13957,0.00204051,0.481396,0.471554,2.59309,0.000212887,0.109423,0.470757,6.10735,0.000479209,0.29984,0.289998,0.863555,3.53951e-05,, , 5.60891,0.205745,0.298459,6.3117,7.70698,6.10735,0.000479209,0.0293457,0.457954,0.130422,0.00146177,0.0102282,0.369045,0.863555,3.53951e-05,1.73961
4,8.19029,8.91943,7.68263,0.00435848,0.780722,0.86901,5.15928,0.000305847,0.120346,0.84948,6.10555,0.00123577,0.480687,0.568975,1.70126,8.16172e-05,, , 7.52902,0.227422,0.590454,10.9055,10.7504,6.10555,0.00123577,0.0584488,0.789076,0.257715,0.00287229,0.0163784,0.617362,1.70126,8.16172e-05,3.46485
5,1.43135,1.56409,6.73306,0.00652633,0.275605,0.303321,7.54185,0.000333081,0.0232857,0.156027,5.2356,0.000280875,0.182495,0.21021,0.628017,2.39276e-05,, , 1.40784,0.0417714,0.109632,5.98723,2.20702,5.2356,0.000280875,0.116473,0.297561,0.0940904,0.00105378,0.0231557,0.232407,0.628017,2.39276e-05,6.90454
6,2.26259,2.53039,8.12312,0.0129997,0.494956,0.578979,15.0783,0.000612313,0.029555,0.297352,5.23562,0.000507766,0.333791,0.417814,1.25096,4.18616e-05,, , 2.45528,0.0541398,0.216949,11.6268,3.48875,5.23562,0.000507766,0.232886,0.562241,0.187274,0.00209102,0.0409348,0.420385,1.25096,4.18616e-05,13.8055
7,2.19984,2.2072,9.57091,0.0432318,0.103156,0.112418,49.3332,0.00109371,2.1517,2.15906,0.00841159,0.000629426,0.0715226,0.0807848,0.170487,4.40166e-05,, , 0.0638023,4.3031,0.00610733,11.957,0.282158,0.00841159,0.000629426,0.827824,0.0538332,0.0982687,0.000205444,0.13525,0.227324,0.170487,4.40166e-05,49.0734
8,0.0886201,0.0895336,0.0309133,5.31743e-05,0.000724368,0.000743812,0.0602263,1.34474e-06,0.000175763,0.00108924,0.00203007,1.17357e-06,6.69023e-05,8.63463e-05,0.000207155,6.33827e-08,, , 0.00397529,0.000301526,0.000769667,0.242802,0.128361,0.00203007,1.17357e-06,0.00101147,9.21191e-05,6.02824e-05,8.47154e-07,0.000341021,0.00133595,0.000207155,6.33827e-08,0.0599602
Total,61.5099,48.2699,55.2097,0.0702087,3.47288,3.52618,82.6756,0.00265191,2.93703,6.0954,33.0124,0.00333484,2.08888,2.2198,6.6318,0.000242028,, , 60.1535,5.77723,3.07003,78.6581,66.6226,33.0124,0.00333484,1.2825,3.21039,1.08693,0.0113529,0.239527,3.00938,6.6318,0.000242028,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.05061,0.00605841,1.1173,16.8564,0.0237823,4.38596
