Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000300043,4.25202e-06,2.85683e-05,0.000156134,5.92567e-05,3.23707e-05,1.9461e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,16.4134,0,3.49383,0.000113986,0.192325,0,0.0726005,2.18913e-06,0.015,0,1.16712,9.64358e-05,0.11471,0,0.048755,1.75667e-06,, , 24.5924,0,0.492092,10.5373,8.24348,1.16712,9.64358e-05,0.000987789,0.0995632,0.0148415,0.0003049,0.00175446,0.073186,0.048755,1.75667e-06,0.0585562
2,25.3058,26.9799,12.4357,0.000820157,1.14785,1.19107,2.83701,6.44807e-05,0.487544,2.16164,9.15075,3.95103e-05,0.609623,0.652845,1.96856,7.20687e-06,, , 18.97,0.944748,1.35557,21.0899,33.8155,9.15075,3.95103e-05,0.0155217,0.954843,0.304263,0.00336283,0.0114841,1.06834,1.96856,7.20687e-06,0.920125
3,5.61799,5.97933,7.13977,0.0024051,0.487263,0.471938,2.5943,0.000334114,0.109423,0.470757,6.10755,0.000843799,0.305707,0.290382,0.864772,6.57019e-05,, , 5.80721,0.205745,0.298459,6.3117,7.70698,6.10755,0.000843799,0.0293457,0.464205,0.130422,0.00146177,0.0102282,0.369045,0.864772,6.57019e-05,1.73961
4,8.19029,8.91943,7.68269,0.00388318,0.784332,0.869977,5.15928,0.000224023,0.120346,0.84948,6.1056,0.000760475,0.484298,0.569942,1.70127,4.07052e-05,, , 7.73962,0.227422,0.590454,10.9055,10.7504,6.1056,0.000760475,0.0584488,0.793653,0.257715,0.00287229,0.0163784,0.617362,1.70127,4.07052e-05,3.46485
5,1.43135,1.56409,6.73315,0.00654433,0.278438,0.303495,7.54275,0.00033498,0.0232857,0.156027,5.23569,0.00029887,0.185327,0.210385,0.628911,2.48771e-05,, , 1.47744,0.0417714,0.109632,5.98723,2.20702,5.23569,0.00029887,0.116473,0.300568,0.0940904,0.00105378,0.0231557,0.232407,0.628911,2.48771e-05,6.90454
6,2.26259,2.53039,8.12317,0.0139815,0.49791,0.579016,15.0783,0.000691776,0.029555,0.297352,5.23567,0.00148965,0.336745,0.417851,1.25096,0.000121325,, , 2.55608,0.0541398,0.216949,11.6268,3.48875,5.23567,0.00148965,0.232886,0.565231,0.187274,0.00209102,0.0409348,0.420385,1.25096,0.000121325,13.8055
7,2.19984,2.2072,9.57091,0.0427471,0.103223,0.112519,49.3332,0.00105981,2.1517,2.15906,0.00841218,0.000144741,0.0715892,0.0808852,0.170487,1.01165e-05,, , 0.0658023,4.3031,0.00610733,11.957,0.282158,0.00841218,0.000144741,0.827824,0.0540002,0.0982687,0.000205444,0.13525,0.227324,0.170487,1.01165e-05,49.0734
8,0.0886201,0.0895336,0.0309072,5.43479e-05,0.000723821,0.000743797,0.0602263,1.44441e-06,0.000175763,0.00108924,0.00202401,2.34715e-06,6.63556e-05,8.63315e-05,0.000207154,1.63055e-07,, , 0.00422529,0.000301526,0.000769667,0.242802,0.128361,0.00202401,2.34715e-06,0.00101147,9.15575e-05,6.02824e-05,8.47154e-07,0.000341021,0.00133595,0.000207154,1.63055e-07,0.0599602
Total,61.5099,48.2699,55.2102,0.0705497,3.49206,3.52876,82.6777,0.00271281,2.93703,6.0954,33.0128,0.00367583,2.10806,2.22238,6.63392,0.000271852,, , 61.2128,5.77723,3.07003,78.6581,66.6226,33.0128,0.00367583,1.2825,3.23215,1.08693,0.0113529,0.239527,3.00938,6.63392,0.000271852,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.05006,0.00605838,1.1173,16.8197,0.0237818,4.38588
