L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5929,30.1374,66.483,0.0268397,1.46006,1.44205,88.2628,0.000448494,7.47833,6.92005,47.9111,0,0.723466,0.760095,12.2189,5.56796e-07,2.02256,1.36366,13.459,2.95976
38.5929,30.1374,66.483,0.0268397,1.46205,1.44382,88.3591,0.000448494,7.47833,6.92005,47.9112,0,0.725459,0.761862,12.3153,5.56796e-07,2.02034,1.36366,13.3613,2.95976
38.5929,30.1374,66.4828,0.0268397,1.46206,1.44392,88.2883,0.000448494,7.47833,6.92005,47.911,0,0.725469,0.761971,12.2445,5.56796e-07,2.02191,1.36366,13.4301,2.95977
38.5929,30.1374,66.4828,0.0268397,1.46229,1.44409,88.2402,0.000448494,7.47833,6.92005,47.911,0,0.725695,0.762136,12.1964,5.56796e-07,2.02296,1.36366,13.4769,2.95977
38.5929,30.1374,66.4827,0.0268397,1.45905,1.44145,88.2061,0.000448494,7.47833,6.92005,47.9108,0,0.722459,0.759502,12.1623,5.56796e-07,2.02385,1.36366,13.5164,2.95978
38.5929,30.1374,66.4826,0.0268397,1.45658,1.43918,88.1721,0.000448494,7.47833,6.92005,47.9107,0,0.719984,0.757228,12.1283,5.56796e-07,2.02471,1.36366,13.5549,2.95978
38.5929,30.1374,66.4828,0.0268397,1.45883,1.44118,88.2456,0.000448494,7.47833,6.92005,47.911,0,0.722237,0.759226,12.2018,5.56796e-07,2.02299,1.36366,13.4779,2.95977
38.5929,30.1374,66.4827,0.0268397,1.45921,1.44141,88.2288,0.000448494,7.47833,6.92005,47.9109,0,0.722614,0.759459,12.185,5.56796e-07,2.02334,1.36366,13.4938,2.95977
38.5929,30.1374,66.483,0.0268397,1.461,1.44288,88.4198,0.000448494,7.47833,6.92005,47.9112,0,0.724403,0.760924,12.376,5.56796e-07,2.01904,1.36366,13.3047,2.95976
38.5929,30.1374,66.4828,0.0268397,1.46099,1.44297,88.2331,0.000448494,7.47833,6.92005,47.911,0,0.7244,0.761021,12.1893,5.56796e-07,2.02317,1.36366,13.4863,2.95977
38.5929,30.1374,66.4822,0.0268397,1.45366,1.43672,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717065,0.754767,12.0178,5.56796e-07,2.02729,1.36367,13.6714,2.9598
38.5929,30.1374,66.4822,0.0268397,1.45368,1.43674,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717086,0.754783,12.0178,5.56796e-07,2.02729,1.36367,13.6714,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45374,1.43677,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717145,0.754813,12.0178,5.56796e-07,2.02729,1.36367,13.6713,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45379,1.43681,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717197,0.754856,12.0178,5.56796e-07,2.02729,1.36367,13.6712,2.9598
38.5929,30.1374,66.4823,0.0268397,1.4537,1.43672,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717107,0.754772,12.0178,5.56796e-07,2.02729,1.36367,13.6713,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45383,1.43684,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717241,0.754885,12.0178,5.56796e-07,2.02728,1.36367,13.6711,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45397,1.43695,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717383,0.754999,12.0178,5.56796e-07,2.02728,1.36367,13.6708,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45393,1.43692,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717338,0.754964,12.0178,5.56796e-07,2.02728,1.36367,13.6709,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45391,1.4369,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717319,0.754947,12.0178,5.56796e-07,2.02728,1.36367,13.6709,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45397,1.43694,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717375,0.754989,12.0178,5.56796e-07,2.02728,1.36367,13.6708,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45396,1.43694,88.0616,0.000448494,7.47833,6.92005,47.9104,0,0.717366,0.754992,12.0178,5.56796e-07,2.02728,1.36367,13.6708,2.9598
38.5929,30.1374,66.4823,0.0268397,1.45415,1.4371,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.71756,0.755152,12.0178,5.56796e-07,2.02727,1.36367,13.6705,2.95979
