"BTO 1, $V_{T,Min}$","BTO 1, $V_{T,Max}$","BTO 2, $V_{T,Min}$","BTO 2, $V_{T,Max}$","BTO 3, $V_{T,Min}$","BTO 3, $V_{T,Max}$","BTO 4, $V_{T,Min}$","BTO 4, $V_{T,Max}$",V_G
5.082517286138622e-08,5.598968282199983e-10,3.2958818137695707e-08,2.3459139510654304e-09,1.9102288853408207e-08,5.595914164569937e-09,2.391217534633281e-08,9.51969639877625e-09,2.500000000000001
5.514525183821447e-08,1.0921710415452578e-09,3.645484095473248e-08,3.343211132684568e-09,2.178484553083675e-08,7.088244899269739e-09,2.690305024345417e-08,1.1439330002984292e-08,2.600000000000001
5.964152000251089e-08,1.8006344423386788e-09,4.0127052959237406e-08,4.5166975017718676e-09,2.4643591395733453e-08,8.756764821437704e-09,3.007011432804369e-08,1.3535152794660497e-08,2.700000000000001
6.431397735427546e-08,2.6852870306002607e-09,4.397545415121049e-08,5.8663730583273265e-09,2.767852644809832e-08,1.0601473931073828e-08,3.3413367600101374e-08,1.580716477380486e-08,2.800000000000001
6.916262389350821e-08,3.746128806330004e-09,4.800004453065174e-08,7.392237802350948e-09,3.088965068793135e-08,1.2622372228178116e-08,3.693281005962721e-08,1.8255365940417388e-08,2.9000000000000012
7.41874596202091e-08,4.983159769527909e-09,5.220082409756115e-08,9.09429173384273e-09,3.427696411523254e-08,1.4819459712750565e-08,4.0628441706621225e-08,2.0879756294498073e-08,3.0000000000000013
7.938848453437816e-08,6.396379920193975e-09,5.657779285193873e-08,1.0972534852802675e-08,3.784046673000188e-08,1.7192736384791172e-08,4.450026254108339e-08,2.3680335836046925e-08,3.1000000000000014
8.476569863601538e-08,7.985789258328203e-09,6.113095079378447e-08,1.302696715923078e-08,4.158015853223941e-08,1.9742202244299943e-08,4.854827256301373e-08,2.6657104565063936e-08,3.2000000000000015
9.031910192512075e-08,9.751387783930591e-09,6.586029792309836e-08,1.5257588653127046e-08,4.5496039521945065e-08,2.2467857291276876e-08,5.2772471772412215e-08,2.98100624815491e-08,3.3000000000000016
9.604866074373776e-08,1.1693175497001142e-08,7.076583423988043e-08,1.7664399334491475e-08,4.958810969911891e-08,2.536970152572197e-08,5.7172860169278866e-08,3.313920958550243e-08,3.4000000000000017
1.0186290393018708e-07,1.3811152397539853e-08,7.584755974413065e-08,2.0247399203324062e-08,5.3856369063760886e-08,2.8447734947635225e-08,6.174943775361369e-08,3.664454587692394e-08,3.5000000000000018
1.0767714711663639e-07,1.6105318485546724e-08,8.110547443584902e-08,2.3006588259624816e-08,5.830081761587106e-08,3.170195755701664e-08,6.650220452541665e-08,4.032607135581358e-08,3.600000000000002
1.134913903030857e-07,1.857567376102176e-08,8.653957831503556e-08,2.594196650339373e-08,6.292145535544936e-08,3.513236935386622e-08,7.143116048468779e-08,4.418378602217141e-08,3.700000000000002
