VT,g6 value,g4 value,g2 value,ep value,programming Voltage,programming pulse
0.5000008519634115,354299.08128666575,78699.44502375124,1460107.51924403,34009.371949727574,0.0,0
0.5000008519634115,354299.08128666575,78699.44502375124,1460107.51924403,34009.371949727574,-0.0,0
0.497578906100368,3956.034212937596,38127.46015327753,2409929.3589595333,80194.30816179214,0.09375,1
0.5024032833707311,3956.034212937596,38127.46015327753,2409929.3589595333,80194.30816179214,-0.09375,1
0.4951426162379595,57.44175758197486,25177.290034942653,2665728.642609158,94204.60405058638,0.1875,2
0.5048356847701712,57.44175758197486,25177.290034942653,2665728.642609158,94204.60405058638,-0.1875,2
0.49269741518853605,10.77781658781242,18845.233682278165,2774956.238770541,100784.56348410017,0.28125000000000006,3
0.5072761052475263,10.77781658781242,18845.233682278165,2774956.238770541,100784.56348410017,-0.28125000000000006,3
0.49023660389313883,8.239110127599371,15070.664818372044,2832307.8064506645,104546.1555106458,0.375,4
0.5097316240532458,8.239110127599371,15070.664818372044,2832307.8064506645,104546.1555106458,-0.375,4
0.4877625112460544,6.861488925792952,12558.102530478589,2866227.8672464383,106955.64050058919,0.46875000000000006,5
0.5122001321273479,6.861488925792952,12558.102530478589,2866227.8672464383,106955.64050058919,-0.46875000000000006,5
0.48527813598015296,5.881225513526778,10763.97804660993,2887904.5361279426,108618.58984016866,0.5625000000000001,6
0.5146787424705414,5.881225513526778,10763.97804660993,2887904.5361279426,108618.58984016866,-0.5625000000000001,6
0.4827859564701111,5.146071749124512,9418.465558261762,2902527.658652672,109828.58475339205,0.65625,7
0.5171650406063428,5.146071749124512,9418.465558261762,2902527.658652672,109828.58475339205,-0.65625,7
0.48028788199510225,4.574285992729033,8371.967284914585,2912791.610040351,110744.42503440325,0.75,8
0.519657157511962,4.574285992729033,8371.967284914585,2912791.610040351,110744.42503440325,-0.75,8
0.4777853717046672,4.116857393383089,7534.770268000032,2920215.03848806,111459.15948829243,0.8437500000000001,9
0.5221536612587049,4.116857393383089,7534.770268000032,2920215.03848806,111459.15948829243,-0.8437500000000001,9
0.47527955048482334,3.742597630347443,6849.7911132294175,2925709.3812918076,112030.74912923825,0.9375000000000001,10
0.5246534463488037,3.742597630347443,6849.7911132294175,2925709.3812918076,112030.74912923825,-0.9375000000000001,10
0.47277129724046635,3.4307144944851466,6278.975181729171,2929849.4662161637,112497.08779768251,1.03125,11
0.5271556482373809,3.4307144944851466,6278.975181729171,2929849.4662161637,112497.08779768251,-1.03125,11
0.47026130852409226,3.166813379524751,5795.977090090422,2933012.6958319894,112883.94162229061,1.1250000000000002,12
0.5296595813335796,3.166813379524751,5795.977090090422,2933012.6958319894,112883.94162229061,-1.1250000000000002,12
0.46775014397168907,2.9406124238444113,5381.978726412163,2935455.2273213565,113209.40947777109,1.21875,13
0.5321646945708085,2.9406124238444113,5381.978726412163,2935455.2273213565,113209.40947777109,-1.21875,13
0.46523825895041276,2.7445715955881176,5023.180144637688,2937355.849916083,113486.55757779584,1.3125,14
0.5346705394112193,2.7445715955881176,5023.180144637688,2937355.849916083,113486.55757779584,-1.3125,14
0.46272602829773263,2.57303587086386,4709.231385595974,2938842.358582052,113725.0421921069,1.4062500000000002,15
0.5371767465465034,2.57303587086386,4709.231385595974,2938842.358582052,113725.0421921069,-1.4062500000000002,15
0.4602137638214996,2.421680819636574,4432.217774678311,2940007.991600183,113932.14534532823,1.5,16
0.5396830087046158,2.421680819636574,4432.217774678311,2940007.991600183,113932.14534532823,-1.5,16
0.457701727382234,2.287142996323431,4185.983453862814,2940921.9998301486,114113.45642195351,1.5937500000000002,17
0.5421890677874759,2.287142996323431,4185.983453862814,2940921.9998301486,114113.45642195351,-1.5937500000000002,17
0.4551901408060858,2.166767049148514,3965.668535238451,2941636.629475827,114273.33286131009,1.6875000000000002,18
0.5446947051195359,2.166767049148514,3965.668535238451,2941636.629475827,114273.33286131009,-1.6875000000000002,18
0.4526791934929928,2.058428696691088,3767.3851084765283,2942191.8464974086,114415.21892037088,1.78125,19
0.5471997339606691,2.058428696691088,3767.3851084765283,2942191.8464974086,114415.21892037088,-1.78125,19
0.4501690483261732,1.960408282562941,3587.9858175966933,2942618.6011112267,114541.87085479657,1.8750000000000002,20
0.5497039936890079,1.960408282562941,3587.9858175966933,2942618.6011112267,114541.87085479657,-1.8750000000000002,20
0.44765984631352496,1.8712988151737164,3424.89555316048,2942941.1262620687,114655.51896295791,1.96875,21
0.5522073452310677,1.8712988151737164,3424.89555316048,2942941.1262620687,114655.51896295791,-1.96875,21
0.44515171027082096,1.7899379971226852,3275.9870508491545,2943178.5834136754,114757.98614889123,2.0625,22
0.5547096674347235,1.7899379971226852,3275.9870508491545,2943178.5834136754,114757.98614889123,-2.0625,22
0.4426447477725665,1.7153572472425733,3139.4875903971065,2943346.2590265693,114850.77598227512,2.15625,23
0.5572108541630038,1.7153572472425733,3139.4875903971065,2943346.2590265693,114850.77598227512,-2.15625,23
0.4401390535371545,1.6467429573528705,3013.908086781222,2943456.446442863,114935.13899920338,2.2500000000000004,24
0.5597108119448198,1.6467429573528705,3013.908086781222,2943456.446442863,114935.13899920338,-2.2500000000000004,24
0.43763471137066334,1.5834066897623755,2897.988544981945,2943519.104090293,115012.12324350579,2.3437500000000004,25
0.5622094580602852,1.5834066897623755,2897.988544981945,2943519.104090293,115012.12324350579,-2.3437500000000004,25
0.4351317957631011,1.5247619975489541,2790.655635908539,2943542.352398354,115082.61323463019,2.4375,26
0.5647067189683143,1.5247619975489541,2790.655635908539,2943542.352398354,115082.61323463019,-2.4375,26
