epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
12.0,38.5929,30.1374,66.485,0.0268397,1.47962,1.45859,88.872,0.000448494,7.47833,6.92005,47.9131,0.0,0.743026,0.776638,12.8282,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9131,0.0,1.2825,1.10103,0.339823,0.078808,0.186405,1.44887,12.8282,5.56796e-07,76.0265,2.00834,0.00739415,1.36364,12.8536,0.0160484,2.95967
13.0,38.5929,30.1374,66.4847,0.0268397,1.47589,1.45555,88.5945,0.000448494,7.47833,6.92005,47.9129,0.0,0.739302,0.773599,12.5507,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9129,0.0,1.2825,1.09438,0.339823,0.0786936,0.186405,1.44887,12.5507,5.56796e-07,76.0265,2.01458,0.00739416,1.36364,13.1134,0.0160485,2.95968
14.0,38.5929,30.1374,66.4843,0.0268397,1.47258,1.45269,88.5873,0.000448494,7.47833,6.92005,47.9125,0.0,0.735989,0.770741,12.5435,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9125,0.0,1.2825,1.08829,0.339823,0.0786174,0.186405,1.44887,12.5435,5.56796e-07,76.0265,2.01487,0.00739418,1.36364,13.1258,0.0160486,2.9597
15.0,38.5929,30.1374,66.4841,0.0268397,1.46892,1.44945,88.5942,0.000448494,7.47833,6.92005,47.9123,0.0,0.732329,0.767495,12.5504,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9123,0.0,1.2825,1.08145,0.339823,0.0785484,0.186405,1.44887,12.5504,5.56796e-07,76.0265,2.01487,0.00739419,1.36365,13.1259,0.0160486,2.95971
16.0,38.5929,30.1374,66.484,0.0268397,1.4704,1.45098,88.4769,0.000448494,7.47833,6.92005,47.9122,0.0,0.733812,0.769031,12.433,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9122,0.0,1.2825,1.08448,0.339823,0.0785388,0.186405,1.44887,12.433,5.56796e-07,76.0265,2.01739,0.0073942,1.36365,13.2336,0.0160486,2.95971
17.0,38.5929,30.1374,66.4844,0.0268397,1.47608,1.45588,88.7048,0.000448494,7.47833,6.92005,47.9126,0.0,0.739487,0.773923,12.661,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9126,0.0,1.2825,1.09491,0.339823,0.0786714,0.186405,1.44887,12.661,5.56796e-07,76.0265,2.01214,0.00739418,1.36364,13.0109,0.0160485,2.95969
18.0,38.5929,30.1374,66.4832,0.0268397,1.46267,1.44424,88.3365,0.000448494,7.47833,6.92005,47.9113,0.0,0.726077,0.762292,12.2927,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9113,0.0,1.2825,1.07017,0.339823,0.0783737,0.186405,1.44887,12.2927,5.56796e-07,76.0265,2.02082,0.00739424,1.36366,13.3822,0.0160489,2.95975
19.0,38.5929,30.1374,66.4835,0.0268397,1.46736,1.44829,88.4556,0.000448494,7.47833,6.92005,47.9117,0.0,0.73077,0.766334,12.4118,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9117,0.0,1.2825,1.0788,0.339823,0.0784826,0.186405,1.44887,12.4118,5.56796e-07,76.0265,2.01799,0.00739422,1.36365,13.2593,0.0160488,2.95974
20.0,38.5929,30.1374,66.4834,0.0268397,1.46515,1.44636,88.5036,0.000448494,7.47833,6.92005,47.9116,0.0,0.728554,0.764404,12.4598,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9116,0.0,1.2825,1.0747,0.339823,0.0784344,0.186405,1.44887,12.4598,5.56796e-07,76.0265,2.01702,0.00739423,1.36365,13.2176,0.0160488,2.95974
21.0,38.5929,30.1374,66.4834,0.0268397,1.46642,1.44753,88.3933,0.000448494,7.47833,6.92005,47.9116,0.0,0.729831,0.765575,12.3495,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9116,0.0,1.2825,1.07713,0.339823,0.078452,0.186405,1.44887,12.3495,5.56796e-07,76.0265,2.0194,0.00739423,1.36365,13.3206,0.0160488,2.95974
