L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
71.4938,51.8701,70.1037,0.0683429,4.27062,5.00183,83.1351,0.00240381,8.91144,6.73774,47.9064,0.000795805,3.05504,3.87071,7.09132,3.13865e-06,1.98915,0.952905,13.1569,2.9017
71.4938,51.8701,70.1042,0.0682412,4.26979,5.00164,83.139,0.00240375,8.91144,6.73774,47.9069,0.000694099,3.05421,3.87051,7.09514,3.07357e-06,1.98909,0.952904,13.1543,2.90168
71.4938,51.8701,70.1041,0.0682763,4.27335,5.00532,83.1377,0.00240377,8.91144,6.73774,47.9067,0.000729147,3.05777,3.87419,7.09393,3.09689e-06,1.98897,0.952904,13.1486,2.90168
71.4938,51.8701,70.1034,0.068235,4.26893,4.99976,83.1373,0.00240374,8.91144,6.73774,47.9061,0.00068787,3.05335,3.86864,7.09353,3.06714e-06,1.98919,0.952907,13.1584,2.90172
71.4938,51.8701,70.1046,0.0682698,4.27223,5.00493,83.1443,0.00240375,8.91144,6.73774,47.9072,0.000722664,3.05665,3.87381,7.10054,3.0874e-06,1.98886,0.952902,13.1438,2.90166
71.4938,51.8701,70.1045,0.068208,4.26858,5.00055,83.1411,0.00240371,8.91144,6.73774,47.9071,0.000660867,3.053,3.86942,7.09725,3.04776e-06,1.9891,0.952902,13.1545,2.90167
71.4938,51.8701,70.105,0.0681688,4.27088,5.00393,83.1431,0.00240367,8.91144,6.73774,47.9076,0.000621689,3.0553,3.8728,7.09933,3.01867e-06,1.98893,0.9529,13.1472,2.90165
71.4938,51.8701,70.104,0.0682213,4.26975,5.0012,83.1367,0.00240374,8.91144,6.73774,47.9067,0.000674175,3.05417,3.87008,7.09289,3.05783e-06,1.98915,0.952904,13.1568,2.90169
71.4938,51.8701,70.1038,0.0682269,4.26657,4.9977,83.1359,0.00240372,8.91144,6.73774,47.9064,0.000679774,3.05099,3.86657,7.09213,3.05859e-06,1.98931,0.952906,13.1638,2.9017
71.4938,51.8701,70.1043,0.0682149,4.27221,5.00433,83.1421,0.0024037,8.91144,6.73774,47.907,0.000667795,3.05663,3.87321,7.09829,3.04806e-06,1.98892,0.952903,13.1465,2.90168
71.4938,51.8701,70.1043,0.06823,4.27171,5.00365,83.1416,0.00240372,8.91144,6.73774,47.9069,0.000682877,3.05613,3.87253,7.09775,3.06209e-06,1.98895,0.952903,13.1481,2.90168
71.4938,51.8701,70.1044,0.068216,4.26865,5.00086,83.139,0.00240372,8.91144,6.73774,47.907,0.000668896,3.05307,3.86974,7.09514,3.05473e-06,1.98914,0.952903,13.1561,2.90167
71.4938,51.8701,70.1034,0.0681273,4.26349,4.99428,83.1356,0.00240361,8.91144,6.73774,47.9061,0.000580127,3.04791,3.86316,7.09181,2.98793e-06,1.98946,0.952908,13.1702,2.90172
71.4938,51.8701,70.1035,0.0682572,4.26874,4.99928,83.1377,0.00240373,8.91144,6.73774,47.9061,0.000710108,3.05316,3.86816,7.09391,3.07996e-06,1.98919,0.952907,13.1586,2.90171
71.4938,51.8701,70.1043,0.0681011,4.27128,5.00318,83.141,0.00240357,8.91144,6.73774,47.9069,0.000553951,3.0557,3.87206,7.09721,2.96982e-06,1.98899,0.952904,13.1495,2.90168
