Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.38914e-05,0.46473,0,0.0759025,3.00923e-07,11.363,0,1.23285,6.77423e-06,0.413368,0,0.052057,8.6893e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,6.77423e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,8.6893e-09,0.0585562
2,27.7895,41.4789,12.9002,0.000795198,1.59516,5.88588,2.9751,2.39049e-05,8.65082,22.3402,9.61523,4.41008e-05,1.33435,5.62507,2.10665,5.43989e-08,, , 10.1784,12.8882,7.92433,21.2131,22.2575,9.61523,4.41008e-05,0.0155217,4.16013,2.65178,0.147498,0.0119095,0.510699,2.10665,5.43989e-08,0.920125
3,6.49258,9.10794,7.44938,0.00157782,0.743011,2.53913,2.64958,4.77476e-05,2.24983,4.86519,6.41716,7.56247e-05,0.652767,2.44888,0.920048,9.32295e-08,, , 2.33103,2.94837,1.83562,6.33853,5.07286,6.41716,7.56247e-05,0.0293457,1.84559,1.18939,0.0666665,0.0108401,0.181023,0.920048,9.32295e-08,1.73961
4,9.57855,15.8924,7.99253,0.00318624,1.09792,5.03143,5.28201,9.51981e-05,3.31644,9.63027,6.41545,0.000181781,0.962562,4.89607,1.824,2.2437e-07,, , 4.32243,5.27609,3.34819,10.9323,6.95649,6.41545,0.000181781,0.0584488,3.53344,2.20329,0.121901,0.0169902,0.277815,1.824,2.2437e-07,3.46485
5,1.63963,2.86542,6.99796,0.00628825,0.367335,1.84203,7.58515,0.000190185,0.543034,1.76882,5.5005,0.000279287,0.323541,1.79824,0.671311,3.43228e-07,, , 0.772689,0.942801,0.596367,5.99215,1.4278,5.5005,0.000279287,0.116473,1.28425,0.793741,0.0437871,0.0242174,0.113566,0.671311,3.43228e-07,6.90454
6,2.70613,5.25215,8.38801,0.0126577,0.616503,3.6647,15.1667,0.000379784,0.975654,3.52167,5.5005,0.000639118,0.547785,3.59599,1.33934,7.86736e-07,, , 1.51632,1.81768,1.16333,11.6317,2.17577,5.5005,0.000639118,0.232886,2.52283,1.53667,0.0842629,0.0419966,0.196138,1.33934,7.86736e-07,13.8055
7,2.39872,2.46944,9.57112,0.0421176,0.113019,0.422552,49.3418,0.000710021,2.35885,2.42957,0.00862521,0.000567507,0.0888868,0.39842,0.179039,6.9433e-07,, , 0.042096,4.71395,0.0323734,11.9574,0.181031,0.00862521,0.000567507,0.827824,0.245251,0.234018,0.00803853,0.138908,0.140591,0.179039,6.9433e-07,49.0734
8,0.0706388,0.0810198,0.0310152,5.20266e-05,0.000524568,0.00153233,0.0602374,8.67509e-07,0.00190969,0.0122907,0.00213202,1.30895e-06,0.000103485,0.00111124,0.000218242,1.63133e-09,, , 0.00477384,0.0058287,0.00359785,0.242822,0.0848053,0.00213202,1.30895e-06,0.00101147,0.000747606,0.000443153,2.39691e-05,0.000345503,0.000775605,0.000218242,1.63133e-09,0.0599602
Total,75.8188,77.1472,56.8898,0.0666987,4.9982,19.3873,83.1365,0.00144801,29.4595,44.568,34.6925,0.0017955,4.32336,18.7638,7.09266,2.20661e-06,, , 22.6987,33.1184,18.2104,78.9582,43.667,34.6925,0.0017955,1.2825,13.773,8.82883,0.485341,0.247047,1.46743,7.09266,2.20661e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70774,0.00476366,0.878521,6.11075,0.00919779,1.69627
