Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,1.99096e-05,0.46473,0,0.0759025,2.95653e-07,11.363,0,1.23285,2.79243e-06,0.413368,0,0.052057,3.41896e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,2.79243e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,3.41896e-09,0.0585562
2,27.9956,41.4789,12.9007,0.000755253,1.67623,5.88588,2.9779,2.37082e-05,8.85688,22.3402,9.61567,4.15592e-06,1.41542,5.62507,2.10945,5.21181e-09,, , 10.2434,12.9687,7.98492,21.2131,22.2575,9.61567,4.15592e-06,0.0155217,4.19761,2.69267,0.150202,0.0119095,0.510699,2.10945,5.21181e-09,0.920125
3,6.90023,9.10794,7.45113,0.00151951,0.904975,2.53913,2.65567,4.746e-05,2.65747,4.86519,6.41891,1.73109e-05,0.814731,2.44888,0.926136,2.13311e-08,, , 2.45962,3.10756,1.95549,6.33853,5.07286,6.41891,1.73109e-05,0.0293457,1.92047,1.27107,0.0720682,0.0108401,0.181023,0.926136,2.13311e-08,1.73961
4,9.45802,15.8924,7.9926,0.00301644,1.1101,5.03143,5.28201,9.4779e-05,3.19591,9.63027,6.41551,1.19769e-05,0.974748,4.89607,1.824,1.48268e-08,, , 4.28441,5.22902,3.31275,10.9323,6.95649,6.41551,1.19769e-05,0.0584488,3.53907,2.20944,0.122308,0.0169902,0.277815,1.824,1.48268e-08,3.46485
5,1.71309,2.86542,6.99856,0.00601589,0.422815,1.84203,7.58694,0.000189516,0.616497,1.76882,5.5011,6.92654e-06,0.379022,1.79824,0.673102,8.46526e-09,, , 0.795863,0.971488,0.61797,5.99215,1.4278,5.5011,6.92654e-06,0.116473,1.3099,0.821723,0.0456374,0.0242174,0.113566,0.673102,8.46526e-09,6.90454
6,2.78442,5.25215,8.38826,0.0120366,0.662828,3.6647,15.1667,0.000379019,1.05394,3.52167,5.50075,1.80199e-05,0.59411,3.59599,1.33934,2.20393e-08,, , 1.54101,1.84825,1.18635,11.6317,2.17577,5.50075,1.80199e-05,0.232886,2.54425,1.56004,0.0858079,0.0419966,0.196138,1.33934,2.20393e-08,13.8055
7,2.40655,2.46944,9.57123,0.041559,0.12274,0.422552,49.3423,0.000709338,2.36668,2.42957,0.00873016,8.96633e-06,0.0986083,0.39842,0.17957,1.09456e-08,, , 0.0445656,4.71701,0.0346755,11.9574,0.181031,0.00873016,8.96633e-06,0.827824,0.249745,0.238921,0.00836275,0.138908,0.140591,0.17957,1.09456e-08,49.0734
8,0.0710029,0.0810198,0.0310273,5.08594e-05,0.000528065,0.00153233,0.0602374,8.66052e-07,0.00227382,0.0122907,0.0021441,1.41803e-07,0.000106982,0.00111124,0.000218242,1.74346e-10,, , 0.0048887,0.00597089,0.00370493,0.242822,0.0848053,0.0021441,1.41803e-07,0.00101147,0.000749223,0.000444916,2.40857e-05,0.000345503,0.000775605,0.000218242,1.74346e-10,0.0599602
Total,76.4719,77.1472,56.893,0.0649734,5.36495,19.3873,83.1477,0.00144498,30.1126,44.568,34.6957,7.02908e-05,4.69011,18.7638,7.10388,8.64132e-08,, , 22.9047,33.3735,18.4024,78.9582,43.667,34.6957,7.02908e-05,1.2825,13.9425,9.01381,0.497572,0.247047,1.46743,7.10388,8.64132e-08,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70175,0.00474885,0.87579,6.03517,0.00914274,1.68612
