Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.32709e-05,0.46473,0,0.0759025,2.99923e-07,11.363,0,1.23285,6.15369e-06,0.413368,0,0.052057,7.68903e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,6.15369e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,7.68903e-09,0.0585562
2,27.6267,41.4789,12.9004,0.000796998,1.63332,5.88588,2.97511,2.39146e-05,8.48797,22.3402,9.61544,4.59006e-05,1.37251,5.62507,2.10666,5.68112e-08,, , 10.1271,12.8246,7.87644,21.2131,22.2575,9.61544,4.59006e-05,0.0155217,4.17777,2.67103,0.148771,0.0119095,0.510699,2.10666,5.68112e-08,0.920125
3,6.21389,9.10794,7.44863,0.00159346,0.673513,2.53913,2.64593,4.78265e-05,1.97114,4.86519,6.41641,9.12667e-05,0.583269,2.44888,0.916399,1.12967e-07,, , 2.24311,2.83954,1.75367,6.33853,5.07286,6.41641,9.12667e-05,0.0293457,1.81347,1.15434,0.0643487,0.0108401,0.181023,0.916399,1.12967e-07,1.73961
4,9.64382,15.8924,7.99273,0.00311871,1.13388,5.03143,5.28202,9.50303e-05,3.38171,9.63027,6.41564,0.00011425,0.998532,4.89607,1.824,1.40466e-07,, , 4.34302,5.30158,3.36738,10.9323,6.95649,6.41564,0.00011425,0.0584488,3.55007,2.22144,0.123101,0.0169902,0.277815,1.824,1.40466e-07,3.46485
5,1.89661,2.86542,6.99926,0.00621147,0.487677,1.84203,7.58873,0.000189996,0.800018,1.76882,5.5018,0.000202506,0.443883,1.79824,0.674894,2.48491e-07,, , 0.853754,1.04315,0.671936,5.99215,1.4278,5.5018,0.000202506,0.116473,1.33989,0.854436,0.0478006,0.0242174,0.113566,0.674894,2.48491e-07,6.90454
6,2.94355,5.25215,8.38862,0.0124013,0.730678,3.6647,15.1703,0.000379467,1.21307,3.52167,5.50112,0.000382705,0.66196,3.59599,1.34292,4.69408e-07,, , 1.59121,1.91039,1.23314,11.6317,2.17577,5.50112,0.000382705,0.232886,2.57562,1.59426,0.0880708,0.0419966,0.196138,1.34292,4.69408e-07,13.8055
7,2.40655,2.46944,9.5712,0.042328,0.119949,0.422552,49.3421,0.000710279,2.36668,2.42957,0.00870003,0.000777998,0.0958171,0.39842,0.179393,9.5236e-07,, , 0.0445656,4.71701,0.0346755,11.9574,0.181031,0.00870003,0.000777998,0.827824,0.248455,0.237513,0.00826966,0.138908,0.140591,0.179393,9.5236e-07,49.0734
8,0.070434,0.0810198,0.030979,5.16994e-05,0.000514077,0.00153233,0.0602369,8.6711e-07,0.00170487,0.0122907,0.00209578,9.81714e-07,9.2994e-05,0.00111124,0.00021781,1.23254e-09,, , 0.00470922,0.00574872,0.00353762,0.242822,0.0848053,0.00209578,9.81714e-07,0.00101147,0.000742756,0.000437862,2.36192e-05,0.000345503,0.000775605,0.00021781,1.23254e-09,0.0599602
Total,75.9445,77.1472,56.8914,0.0665249,5.24427,19.3873,83.1404,0.00144768,29.5853,44.568,34.6941,0.00162176,4.56943,18.7638,7.09655,1.98942e-06,, , 22.7384,33.1675,18.2473,78.9582,43.667,34.6941,0.00162176,1.2825,13.8867,8.95294,0.493547,0.247047,1.46743,7.09655,1.98942e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70379,0.00476078,0.877989,6.06056,0.00918705,1.69429
