Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,1.71172e-05,0.46473,0,0.0759025,2.92234e-07,11.363,0,1.23285,0,0.413368,0,0.052057,0,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,0,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,0,0.0585562
2,28.0791,41.4789,12.9007,0.000751413,1.68373,5.88588,2.9779,2.36891e-05,8.9404,22.3402,9.61571,3.1633e-07,1.42292,5.62507,2.10945,4.40983e-10,, , 10.2698,13.0013,8.00948,21.2131,22.2575,9.61571,3.1633e-07,0.0155217,4.20108,2.69645,0.150452,0.0119095,0.510699,2.10945,4.40983e-10,0.920125
3,6.94492,9.10794,7.45146,0.00150767,0.9362,2.53913,2.65688,4.7402e-05,2.70217,4.86519,6.41924,5.47578e-06,0.845956,2.44888,0.927353,6.82205e-09,, , 2.47371,3.12501,1.96864,6.33853,5.07286,6.41924,5.47578e-06,0.0293457,1.9349,1.28682,0.0731096,0.0108401,0.181023,0.927353,6.82205e-09,1.73961
4,9.73867,15.8924,7.99305,0.00300626,1.19333,5.03143,5.28446,9.4754e-05,3.47657,9.63027,6.41596,1.79981e-06,1.05797,4.89607,1.82644,2.35049e-09,, , 4.37294,5.33862,3.39527,10.9323,6.95649,6.41596,1.79981e-06,0.0584488,3.57755,2.25142,0.125083,0.0169902,0.277815,1.82644,2.35049e-09,3.46485
5,1.73712,2.86542,6.99874,0.00600949,0.439226,1.84203,7.58783,0.0001895,0.64053,1.76882,5.50128,5.34489e-07,0.395432,1.79824,0.673996,6.52177e-10,, , 0.803444,0.980873,0.625037,5.99215,1.4278,5.50128,5.34489e-07,0.116473,1.31749,0.829999,0.0461847,0.0242174,0.113566,0.673996,6.52177e-10,6.90454
6,2.872,5.25215,8.38862,0.0120194,0.731151,3.6647,15.1703,0.000378998,1.14152,3.52167,5.50112,8.07187e-07,0.662434,3.59599,1.34292,9.84842e-10,, , 1.56864,1.88245,1.2121,11.6317,2.17577,5.50112,8.07187e-07,0.232886,2.57584,1.5945,0.0880866,0.0419966,0.196138,1.34292,9.84842e-10,13.8055
7,2.40764,2.46944,9.57132,0.0415522,0.131406,0.422552,49.3427,0.000709329,2.36777,2.42957,0.00882371,2.11614e-06,0.107274,0.39842,0.179924,2.58193e-09,, , 0.0449102,4.71744,0.0349967,11.9574,0.181031,0.00882371,2.11614e-06,0.827824,0.253751,0.243291,0.00865177,0.138908,0.140591,0.179924,2.58193e-09,49.0734
8,0.0707071,0.0810198,0.0310075,5.07176e-05,0.000522342,0.00153233,0.0602372,8.65877e-07,0.00197796,0.0122907,0.00212433,0,0.00010126,0.00111124,0.000218026,0,, , 0.00479537,0.00585536,0.00361793,0.242822,0.0848053,0.00212433,0,0.00101147,0.000746577,0.00044203,2.38949e-05,0.000345503,0.000775605,0.000218026,0,0.0599602
Total,76.9931,77.1472,56.8945,0.0649142,5.5803,19.3873,83.1562,0.00144483,30.6339,44.568,34.6971,1.10497e-05,4.90546,18.7638,7.11237,1.38325e-08,, , 23.0692,33.577,18.5557,78.9582,43.667,34.6971,1.10497e-05,1.2825,14.0421,9.12242,0.504754,0.247047,1.46743,7.11237,1.38325e-08,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.69821,0.0047371,0.873622,5.99129,0.00909926,1.6781
