Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.39431e-05,0.46473,0,0.0759025,3.01104e-07,11.363,0,1.23285,6.82595e-06,0.413368,0,0.052057,8.87005e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,6.82595e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,8.87005e-09,0.0585562
2,27.8816,41.4789,12.9003,0.000800925,1.61709,5.88588,2.9751,2.39339e-05,8.74286,22.3402,9.61535,4.98275e-05,1.35628,5.62507,2.10666,6.16516e-08,, , 10.2075,12.9242,7.95139,21.2131,22.2575,9.61535,4.98275e-05,0.0155217,4.17027,2.66285,0.14823,0.0119095,0.510699,2.10666,6.16516e-08,0.920125
3,6.42627,9.10794,7.44934,0.00159729,0.73956,2.53913,2.64958,4.78464e-05,2.18351,4.86519,6.41712,9.50954e-05,0.649317,2.44888,0.920048,1.17925e-07,, , 2.31011,2.92248,1.81612,6.33853,5.07286,6.41712,9.50954e-05,0.0293457,1.844,1.18765,0.0665514,0.0108401,0.181023,0.920048,1.17925e-07,1.73961
4,9.3547,15.8924,7.99247,0.00318318,1.0855,5.03143,5.28201,9.51905e-05,3.09259,9.63027,6.41538,0.000178716,0.95015,4.89607,1.824,2.20603e-07,, , 4.25182,5.18868,3.28236,10.9323,6.95649,6.41538,0.000178716,0.0584488,3.5277,2.19703,0.121487,0.0169902,0.277815,1.824,2.20603e-07,3.46485
5,1.66412,2.86542,6.99799,0.0063714,0.369675,1.84203,7.58515,0.000190394,0.567522,1.76882,5.50053,0.000362438,0.325881,1.79824,0.671311,4.47418e-07,, , 0.780414,0.952364,0.603568,5.99215,1.4278,5.50053,0.000362438,0.116473,1.28533,0.794921,0.0438651,0.0242174,0.113566,0.671311,4.47418e-07,6.90454
6,2.69794,5.25215,8.38787,0.0125049,0.592097,3.6647,15.1649,0.000379594,0.967461,3.52167,5.50037,0.000486374,0.52338,3.59599,1.33755,5.97113e-07,, , 1.51373,1.81448,1.16092,11.6317,2.17577,5.50037,0.000486374,0.232886,2.51155,1.52437,0.083449,0.0419966,0.196138,1.33755,5.97113e-07,13.8055
7,2.39999,2.46944,9.57116,0.0421271,0.116986,0.422552,49.342,0.000710033,2.36013,2.42957,0.00866804,0.000577019,0.0928542,0.39842,0.179216,7.05932e-07,, , 0.0424981,4.71445,0.0327481,11.9574,0.181031,0.00866804,0.000577019,0.827824,0.247085,0.236019,0.00817085,0.138908,0.140591,0.179216,7.05932e-07,49.0734
8,0.0703885,0.0810198,0.0309889,5.16121e-05,0.000516938,0.00153233,0.0602372,8.66993e-07,0.00165935,0.0122907,0.00210566,8.94451e-07,9.58552e-05,0.00111124,0.000218026,1.11546e-09,, , 0.00469487,0.00573094,0.00352424,0.242822,0.0848053,0.00210566,8.94451e-07,0.00101147,0.000744079,0.000439305,2.37146e-05,0.000345503,0.000775605,0.000218026,1.11546e-09,0.0599602
Total,75.6379,77.1472,56.8897,0.0666603,4.98616,19.3873,83.1349,0.00144816,29.2787,44.568,34.6924,0.00175719,4.31133,18.7638,7.09105,2.16063e-06,, , 22.6417,33.0478,18.1572,78.9582,43.667,34.6924,0.00175719,1.2825,13.7674,8.82276,0.484939,0.247047,1.46743,7.09105,2.16063e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70797,0.00476777,0.879279,6.11352,0.00921312,1.6991
