Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.36328e-05,0.46473,0,0.0759025,3.00383e-07,11.363,0,1.23285,6.51567e-06,0.413368,0,0.052057,8.14899e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,6.51567e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,8.14899e-09,0.0585562
2,27.7259,41.4789,12.9003,0.000795438,1.61742,5.88588,2.9751,2.39066e-05,8.58715,22.3402,9.61535,4.43408e-05,1.35661,5.62507,2.10666,5.48227e-08,, , 10.1583,12.8634,7.90561,21.2131,22.2575,9.61535,4.43408e-05,0.0155217,4.17042,2.66301,0.148241,0.0119095,0.510699,2.10666,5.48227e-08,0.920125
3,6.21962,9.10794,7.44869,0.00159575,0.679556,2.53913,2.64714,4.78375e-05,1.97687,4.86519,6.41647,9.35574e-05,0.589312,2.44888,0.917612,1.15716e-07,, , 2.24492,2.84178,1.75536,6.33853,5.07286,6.41647,9.35574e-05,0.0293457,1.81626,1.15738,0.0645502,0.0108401,0.181023,0.917612,1.15716e-07,1.73961
4,9.69052,15.8924,7.99289,0.00312476,1.16499,5.03143,5.28445,9.50447e-05,3.42841,9.63027,6.41581,0.000120293,1.02964,4.89607,1.82644,1.47696e-07,, , 4.35775,5.31981,3.38111,10.9323,6.95649,6.41581,0.000120293,0.0584488,3.56445,2.23712,0.124138,0.0169902,0.277815,1.82644,1.47696e-07,3.46485
5,1.90562,2.86542,6.99926,0.00636688,0.487369,1.84203,7.58873,0.000190382,0.80903,1.76882,5.5018,0.000357922,0.443575,1.79824,0.674894,4.41743e-07,, , 0.856597,1.04667,0.674586,5.99215,1.4278,5.5018,0.000357922,0.116473,1.33974,0.85428,0.0477904,0.0242174,0.113566,0.674894,4.41743e-07,6.90454
6,2.94136,5.25215,8.38873,0.0123763,0.75047,3.6647,15.1703,0.000379436,1.21088,3.52167,5.50123,0.000357715,0.681753,3.59599,1.34293,4.38654e-07,, , 1.59052,1.90954,1.2325,11.6317,2.17577,5.50123,0.000357715,0.232886,2.58477,1.60424,0.0887309,0.0419966,0.196138,1.34293,4.38654e-07,13.8055
7,2.40163,2.46944,9.57121,0.0421645,0.121392,0.422552,49.3421,0.000710079,2.36177,2.42957,0.00871561,0.000614499,0.0972604,0.39842,0.179393,7.52049e-07,, , 0.0430149,4.71509,0.03323,11.9574,0.181031,0.00871561,0.000614499,0.827824,0.249122,0.238241,0.0083178,0.138908,0.140591,0.179393,7.52049e-07,49.0734
8,0.0704567,0.0810198,0.0309922,5.15576e-05,0.000517892,0.00153233,0.0602372,8.6693e-07,0.00172762,0.0122907,0.00210896,8.39911e-07,9.68089e-05,0.00111124,0.000218026,1.05254e-09,, , 0.0047164,0.0057576,0.00354432,0.242822,0.0848053,0.00210896,8.39911e-07,0.00101147,0.00074452,0.000439786,2.37464e-05,0.000345503,0.000775605,0.000218026,1.05254e-09,0.0599602
Total,76.098,77.1472,56.8917,0.0664988,5.28645,19.3873,83.144,0.00144785,29.7388,44.568,34.6943,0.00159568,4.61161,18.7638,7.10019,1.95988e-06,, , 22.7868,33.2275,18.2925,78.9582,43.667,34.6943,0.00159568,1.2825,13.9062,8.97421,0.494954,0.247047,1.46743,7.10019,1.95988e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70306,0.0047573,0.877347,6.05145,0.00917408,1.6919
