Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.40465e-05,0.46473,0,0.0759025,3.02218e-07,11.363,0,1.23285,6.92937e-06,0.413368,0,0.052057,9.98464e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,6.92937e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,9.98464e-09,0.0585562
2,27.3555,41.4789,12.9002,0.000794456,1.59741,5.88588,2.9751,2.39018e-05,8.21674,22.3402,9.61524,4.33591e-05,1.3366,5.62507,2.10665,5.36163e-08,, , 10.0415,12.7187,7.79668,21.2131,22.2575,9.61524,4.33591e-05,0.0155217,4.16117,2.65292,0.147573,0.0119095,0.510699,2.10665,5.36163e-08,0.920125
3,6.41794,9.10794,7.44931,0.00157941,0.736777,2.53913,2.64837,4.77553e-05,2.17518,4.86519,6.41709,7.72173e-05,0.646533,2.44888,0.918835,9.51619e-08,, , 2.30748,2.91922,1.81367,6.33853,5.07286,6.41709,7.72173e-05,0.0293457,1.84271,1.18624,0.0664586,0.0108401,0.181023,0.918835,9.51619e-08,1.73961
4,9.19357,15.8924,7.99234,0.00316712,1.06245,5.03143,5.27958,9.51502e-05,2.93147,9.63027,6.41526,0.000162659,0.927094,4.89607,1.82157,2.00442e-07,, , 4.20099,5.12576,3.23498,10.9323,6.95649,6.41526,0.000162659,0.0584488,3.51704,2.18541,0.120718,0.0169902,0.277815,1.82157,2.00442e-07,3.46485
5,1.71855,2.86542,6.99837,0.00624586,0.405273,1.84203,7.58694,0.00019008,0.621959,1.76882,5.50091,0.000236899,0.36148,1.79824,0.6731,2.9085e-07,, , 0.797586,0.973621,0.619576,5.99215,1.4278,5.50091,0.000236899,0.116473,1.30179,0.812875,0.0450524,0.0242174,0.113566,0.6731,2.9085e-07,6.90454
6,2.77605,5.25215,8.38808,0.012662,0.630281,3.6647,15.1667,0.00037979,1.04557,3.52167,5.50058,0.000643492,0.561563,3.59599,1.33934,7.92605e-07,, , 1.53837,1.84498,1.18389,11.6317,2.17577,5.50058,0.000643492,0.232886,2.5292,1.54362,0.0847224,0.0419966,0.196138,1.33934,7.92605e-07,13.8055
7,2.39963,2.46944,9.57118,0.0423792,0.118627,0.422552,49.342,0.000710342,2.35976,2.42957,0.00868575,0.000829178,0.0944946,0.39842,0.179216,1.01493e-06,, , 0.0423832,4.71431,0.0326411,11.9574,0.181031,0.00868575,0.000829178,0.827824,0.247843,0.236846,0.00822555,0.138908,0.140591,0.179216,1.01493e-06,49.0734
8,0.0706616,0.0810198,0.0310163,5.19611e-05,0.000524886,0.00153233,0.0602374,8.67425e-07,0.00193245,0.0122907,0.00213312,1.2435e-06,0.000103803,0.00111124,0.000218242,1.54744e-09,, , 0.00478101,0.00583759,0.00360454,0.242822,0.0848053,0.00213312,1.2435e-06,0.00101147,0.000747753,0.000443313,2.39797e-05,0.000345503,0.000775605,0.000218242,1.54744e-09,0.0599602
Total,75.0748,77.1472,56.8901,0.0669041,5.01607,19.3873,83.1348,0.00144819,28.7156,44.568,34.6928,0.00200098,4.34124,18.7638,7.09099,2.45914e-06,, , 22.464,32.8279,17.9916,78.9582,43.667,34.6928,0.00200098,1.2825,13.7812,8.83785,0.485937,0.247047,1.46743,7.09099,2.45914e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70753,0.00478059,0.881644,6.10748,0.00926112,1.70795
