Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.3064e-05,0.46473,0,0.0759025,2.9961e-07,11.363,0,1.23285,5.94685e-06,0.413368,0,0.052057,7.37661e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,5.94685e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,7.37661e-09,0.0585562
2,27.5966,41.4789,12.9003,0.000793005,1.61725,5.88588,2.9751,2.38941e-05,8.45788,22.3402,9.61535,4.19083e-05,1.35644,5.62507,2.10666,5.16855e-08,, , 10.1176,12.8129,7.8676,21.2131,22.2575,9.61535,4.19083e-05,0.0155217,4.17035,2.66292,0.148235,0.0119095,0.510699,2.10666,5.16855e-08,0.920125
3,6.41384,9.10794,7.44957,0.00160216,0.760504,2.53913,2.64958,4.78722e-05,2.17109,4.86519,6.41735,9.99603e-05,0.67026,2.44888,0.920051,1.24374e-07,, , 2.30619,2.91762,1.81247,6.33853,5.07286,6.41735,9.99603e-05,0.0293457,1.85368,1.19821,0.0672499,0.0108401,0.181023,0.920051,1.24374e-07,1.73961
4,9.43135,15.8924,7.99221,0.00314596,1.03883,5.03143,5.27958,9.50974e-05,3.16924,9.63027,6.41513,0.000141498,0.903478,4.89607,1.82156,1.74027e-07,, , 4.276,5.21861,3.3049,10.9323,6.95649,6.41513,0.000141498,0.0584488,3.50612,2.1735,0.119931,0.0169902,0.277815,1.82156,1.74027e-07,3.46485
5,1.72374,2.86542,6.99824,0.00636431,0.393587,1.84203,7.58604,0.000190376,0.627148,1.76882,5.50078,0.000355348,0.349793,1.79824,0.672207,4.38712e-07,, , 0.799223,0.975647,0.621102,5.99215,1.4278,5.50078,0.000355348,0.116473,1.29639,0.806982,0.0446626,0.0242174,0.113566,0.672207,4.38712e-07,6.90454
6,2.69576,5.25215,8.38815,0.01251,0.642701,3.6647,15.1667,0.000379601,0.965277,3.52167,5.50065,0.000491468,0.573984,3.59599,1.33934,6.03604e-07,, , 1.51304,1.81363,1.16028,11.6317,2.17577,5.50065,0.000491468,0.232886,2.53495,1.54989,0.0851367,0.0419966,0.196138,1.33934,6.03604e-07,13.8055
7,2.40181,2.46944,9.57116,0.0421265,0.116338,0.422552,49.342,0.000710032,2.36195,2.42957,0.00866104,0.000576506,0.0922057,0.39842,0.179216,7.0538e-07,, , 0.0430724,4.71516,0.0332835,11.9574,0.181031,0.00866104,0.000576506,0.827824,0.246785,0.235692,0.00814922,0.138908,0.140591,0.179216,7.0538e-07,49.0734
8,0.0707526,0.0810198,0.0309971,5.21029e-05,0.000519322,0.00153233,0.0602372,8.6761e-07,0.00202348,0.0122907,0.0021139,1.38531e-06,9.82394e-05,0.00111124,0.000218026,1.73233e-09,, , 0.00480973,0.00587313,0.00363131,0.242822,0.0848053,0.0021139,1.38531e-06,0.00101147,0.000745181,0.000440507,2.37942e-05,0.000345503,0.000775605,0.000218026,1.73233e-09,0.0599602
Total,75.4768,77.1472,56.8902,0.0666172,5.03446,19.3873,83.1351,0.00144804,29.1176,44.568,34.6929,0.00171402,4.35963,18.7638,7.09131,2.10689e-06,, , 22.5908,32.9849,18.1098,78.9582,43.667,34.6929,0.00171402,1.2825,13.7897,8.84712,0.48655,0.247047,1.46743,7.09131,2.10689e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70721,0.00477143,0.879953,6.10369,0.00922678,1.70162
