Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,1.87202e-05,0.46473,0,0.0759025,2.94197e-07,11.363,0,1.23285,1.60306e-06,0.413368,0,0.052057,1.96294e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,1.60306e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,1.96294e-09,0.0585562
2,28.381,41.4789,12.9007,0.000753715,1.68956,5.88588,2.9779,2.37004e-05,9.24226,22.3402,9.61574,2.61791e-06,1.42874,5.62507,2.10946,3.27865e-09,, , 10.365,13.1192,8.09825,21.2131,22.2575,9.61574,2.61791e-06,0.0155217,4.20377,2.69939,0.150646,0.0119095,0.510699,2.10946,3.27865e-09,0.920125
3,6.94183,9.10794,7.45121,0.00152462,0.912861,2.53913,2.65567,4.74851e-05,2.69908,4.86519,6.41899,2.24267e-05,0.822617,2.44888,0.926138,2.7608e-08,, , 2.47274,3.1238,1.96773,6.33853,5.07286,6.41899,2.24267e-05,0.0293457,1.92412,1.27505,0.0723312,0.0108401,0.181023,0.926138,2.7608e-08,1.73961
4,9.57108,15.8924,7.99267,0.00301329,1.1239,5.03143,5.28202,9.47713e-05,3.30898,9.63027,6.41559,8.82452e-06,0.988543,4.89607,1.824,1.09746e-08,, , 4.32008,5.27317,3.34599,10.9323,6.95649,6.41559,8.82452e-06,0.0584488,3.54545,2.2164,0.122768,0.0169902,0.277815,1.824,1.09746e-08,3.46485
5,1.74659,2.86542,6.99866,0.00601608,0.431923,1.84203,7.58694,0.000189516,0.649997,1.76882,5.5012,7.12288e-06,0.388129,1.79824,0.673104,8.71138e-09,, , 0.806431,0.98457,0.627821,5.99215,1.4278,5.5012,7.12288e-06,0.116473,1.31411,0.826316,0.0459412,0.0242174,0.113566,0.673104,8.71138e-09,6.90454
6,2.81738,5.25215,8.3883,0.0120552,0.671192,3.6647,15.1685,0.000379042,1.0869,3.52167,5.5008,3.66179e-05,0.602474,3.59599,1.34113,4.48054e-08,, , 1.55141,1.86112,1.19604,11.6317,2.17577,5.5008,3.66179e-05,0.232886,2.54812,1.56426,0.0860869,0.0419966,0.196138,1.34113,4.48054e-08,13.8055
7,2.40637,2.46944,9.57123,0.0415569,0.123535,0.422552,49.3423,0.000709335,2.3665,2.42957,0.00873874,6.89382e-06,0.0994031,0.39842,0.17957,8.41344e-09,, , 0.0445082,4.71694,0.034622,11.9574,0.181031,0.00873874,6.89382e-06,0.827824,0.250112,0.239322,0.00838926,0.138908,0.140591,0.17957,8.41344e-09,49.0734
8,0.0709802,0.0810198,0.0310344,5.07395e-05,0.000530131,0.00153233,0.0602374,8.65904e-07,0.00225106,0.0122907,0.00215124,2.18159e-08,0.000109048,0.00111124,0.000218242,2.7106e-11,, , 0.00488152,0.005962,0.00369824,0.242822,0.0848053,0.00215124,2.18159e-08,0.00101147,0.000750178,0.000445959,2.41546e-05,0.000345503,0.000775605,0.000218242,2.7106e-11,0.0599602
Total,77.0782,77.1472,56.8934,0.0649893,5.41822,19.3873,83.1495,0.00144501,30.7189,44.568,34.6961,8.61287e-05,4.74339,18.7638,7.10567,1.05782e-07,, , 23.096,33.6102,18.5807,78.9582,43.667,34.6961,8.61287e-05,1.2825,13.9671,9.04068,0.499349,0.247047,1.46743,7.10567,1.05782e-07,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70085,0.00473521,0.873274,6.02431,0.00909231,1.67682
