Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993046,0,0.0759017,6.85686e-07,0.591577,0,1.69146,2.11413e-05,0.0473653,0,0.0520562,5.82843e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422799,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82843e-07,0.0585562
2,17.7669,15.8789,15.0111,0.00037176,0.494234,0.657161,2.97853,1.21349e-05,5.59145,3.70338,13.2845,5.26183e-05,0.264552,0.427479,2.11008,2.25559e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,5.26183e-05,0.0155217,0.538933,0.129148,0.0239501,0.00853657,0.448777,2.11008,2.25559e-07,0.920125
3,5.2584,4.4361,9.72125,0.000778674,0.182567,0.250615,2.64762,2.10875e-05,1.7232,0.900898,8.86308,0.000140383,0.112368,0.180416,0.918086,5.04434e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86308,0.000140383,0.0293457,0.240565,0.0417726,0.0104466,0.00755516,0.138153,0.918086,5.04434e-07,1.73961
4,8.11523,6.47708,10.2122,0.00148507,0.291321,0.456215,5.27883,3.76321e-05,2.76424,1.12609,8.86135,0.000208454,0.190685,0.355579,1.82081,8.82026e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86135,0.000208454,0.0584488,0.449401,0.0761984,0.0206652,0.0118465,0.201395,1.82081,8.82026e-07,3.46485
5,2.20178,1.60005,9.13371,0.00294738,0.0974265,0.156294,7.5853,7.13715e-05,0.884598,0.282868,7.59789,0.000394041,0.0701547,0.129022,0.671463,1.58178e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59789,0.000394041,0.116473,0.167554,0.024022,0.00760045,0.017688,0.0627935,0.671463,1.58178e-06,6.90454
6,3.69973,2.49858,10.5358,0.00583569,0.167632,0.295577,15.1667,0.000139157,1.66454,0.463394,7.59839,0.000728541,0.129005,0.256949,1.33934,2.74143e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59839,0.000728541,0.232886,0.324056,0.0467762,0.0151217,0.0313899,0.0980491,1.33934,2.74143e-06,13.8055
7,0.50363,0.470184,9.57638,0.0193066,0.0309294,0.044069,49.342,0.000256683,0.419468,0.386021,0.0138833,0.00202021,0.0190134,0.032153,0.179216,7.05531e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0138833,0.00202021,0.827824,0.0313414,0.0183357,0.00148933,0.107445,0.0556825,0.179216,7.05531e-06,49.0734
8,0.0340165,0.0298294,0.0181235,2.73492e-05,0.000545799,0.000778559,0.0602369,3.30901e-07,0.00617949,0.00199248,0.00215259,6.24972e-06,0.000106396,0.000339156,0.000217809,2.61796e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00215259,6.24972e-06,0.00101147,0.000333336,8.89254e-05,2.32903e-05,0.000321226,0.000724291,0.000217809,2.61796e-08,0.0599602
Total,46.2543,31.3907,66.4846,0.0307807,1.36396,1.86071,83.1351,0.000539083,13.6453,6.86464,47.9128,0.00357164,0.833249,1.38194,7.09128,1.35996e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9128,0.00357164,1.2825,1.79446,0.339823,0.0809008,0.186405,1.05315,7.09128,1.35996e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13501,0.00693672,1.27928,19.8165,0.0146143,2.69519
