Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.65959e-05,0.0993033,0,0.0759017,5.88502e-07,0.591577,0,1.69146,1.94748e-05,0.047364,0,0.0520562,4.85659e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.94748e-05,0.000987789,0.0422786,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,4.85659e-07,0.0585562
2,17.7669,15.8789,15.0112,0.00034811,0.497938,0.658649,2.97854,1.00771e-05,5.59145,3.70338,13.2847,2.89681e-05,0.268256,0.428967,2.11009,9.69437e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,2.89681e-05,0.0155217,0.544112,0.129148,0.0239637,0.00853657,0.448777,2.11009,9.69437e-08,0.920125
3,5.2584,4.4361,9.72325,0.000681518,0.197486,0.251161,2.65613,1.82147e-05,1.7232,0.900898,8.86508,4.32274e-05,0.127287,0.180962,0.9266,1.4534e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86508,4.32274e-05,0.0293457,0.255941,0.0417726,0.010535,0.00755516,0.138153,0.9266,1.4534e-07,1.73961
4,8.11523,6.47708,10.2125,0.00133144,0.296537,0.456878,5.28126,3.48741e-05,2.76424,1.12609,8.86167,5.48297e-05,0.1959,0.356242,1.82325,1.92533e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86167,5.48297e-05,0.0584488,0.455251,0.0761984,0.0206932,0.0118465,0.201395,1.82325,1.92533e-07,3.46485
5,2.20178,1.60005,9.13425,0.00266781,0.101402,0.156415,7.58709,6.90101e-05,0.884598,0.282868,7.59843,0.000114472,0.0741298,0.129143,0.673252,4.01069e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59843,0.000114472,0.116473,0.171627,0.024022,0.00762416,0.017688,0.0627935,0.673252,4.01069e-07,6.90454
6,3.69973,2.49858,10.536,0.0051301,0.17129,0.29575,15.1685,0.000136616,1.66454,0.463394,7.59863,2.29519e-05,0.132662,0.257122,1.34113,2.00083e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59863,2.29519e-05,0.232886,0.327865,0.0467762,0.0151431,0.0313899,0.0980491,1.34113,2.00083e-07,13.8055
7,0.50363,0.470184,9.57647,0.0173252,0.0316659,0.0441393,49.3425,0.000250165,0.419468,0.386021,0.013976,3.88417e-05,0.0197499,0.0322234,0.179746,5.37527e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.013976,3.88417e-05,0.827824,0.0321442,0.0183357,0.00149343,0.107445,0.0556825,0.179746,5.37527e-07,49.0734
8,0.0340165,0.0298294,0.0181701,2.18522e-05,0.000551056,0.000778573,0.0602372,3.13735e-07,0.00617949,0.00199248,0.00219926,7.5273e-07,0.000111653,0.000339169,0.000218026,9.01309e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00219926,7.5273e-07,0.00101147,0.000338574,8.89254e-05,2.33226e-05,0.000321226,0.000724291,0.000218026,9.01309e-09,0.0599602
Total,46.2543,31.3907,66.488,0.0275326,1.39617,1.86377,83.1502,0.00051986,13.6453,6.86464,47.9161,0.000323519,0.86546,1.385,7.10634,2.06817e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9161,0.000323519,1.2825,1.82956,0.339823,0.08108,0.186405,1.05315,7.10634,2.06817e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13377,0.00693671,1.27928,19.7099,0.0146142,2.69518
