Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.34379e-05,0.0993032,0,0.0759017,4.6738e-07,0.591577,0,1.69146,1.63169e-05,0.0473639,0,0.0520562,3.64537e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.63169e-05,0.000987789,0.0422784,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.64537e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000327504,0.498194,0.6586,2.97854,9.04891e-06,5.59145,3.70338,13.2847,8.36219e-06,0.268513,0.428918,2.11009,3.26819e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,8.36219e-06,0.0155217,0.544317,0.129148,0.0239656,0.00853657,0.448777,2.11009,3.26819e-08,0.920125
3,5.2584,4.4361,9.72332,0.000659647,0.197971,0.251178,2.65613,1.76818e-05,1.7232,0.900898,8.86515,2.13563e-05,0.127772,0.180979,0.926601,7.87203e-08,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86515,2.13563e-05,0.0293457,0.25644,0.0417726,0.0105379,0.00755516,0.138153,0.926601,7.87203e-08,1.73961
4,8.11523,6.47708,10.2127,0.00130848,0.299449,0.457024,5.2837,3.46087e-05,2.76424,1.12609,8.86186,3.18715e-05,0.198813,0.356388,1.82568,1.26183e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86186,3.18715e-05,0.0584488,0.458293,0.0761984,0.0207102,0.0118465,0.201395,1.82568,1.26183e-07,3.46485
5,2.20178,1.60005,9.13427,0.00257041,0.101568,0.15642,7.58709,6.84489e-05,0.884598,0.282868,7.59845,1.70677e-05,0.0742959,0.129148,0.673253,1.20462e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59845,1.70677e-05,0.116473,0.171797,0.024022,0.00762515,0.017688,0.0627935,0.673253,1.20462e-07,6.90454
6,3.69973,2.49858,10.5363,0.00531995,0.174954,0.295876,15.1703,0.000137174,1.66454,0.463394,7.59888,0.000212804,0.136327,0.257248,1.34292,7.57838e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59888,0.000212804,0.232886,0.331634,0.0467762,0.0151649,0.0313899,0.0980491,1.34292,7.57838e-07,13.8055
7,0.50363,0.470184,9.57649,0.0173096,0.0318109,0.0441437,49.3425,0.000250095,0.419468,0.386021,0.0139956,2.32834e-05,0.0198949,0.0322277,0.179746,4.6735e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139956,2.32834e-05,0.827824,0.0322927,0.0183357,0.0014943,0.107445,0.0556825,0.179746,4.6735e-07,49.0734
8,0.0340165,0.0298294,0.0181811,2.14337e-05,0.000552293,0.000778576,0.0602374,3.11907e-07,0.00617949,0.00199248,0.00221024,3.34243e-07,0.00011289,0.000339172,0.000218242,7.1855e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00221024,3.34243e-07,0.00101147,0.000339806,8.89254e-05,2.33301e-05,0.000321226,0.000724291,0.000218242,7.1855e-09,0.0599602
Total,46.2543,31.3907,66.4886,0.0275405,1.4038,1.86402,83.1544,0.000517837,13.6453,6.86464,47.9167,0.000331397,0.873092,1.38525,7.11057,1.95496e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9167,0.000331397,1.2825,1.83739,0.339823,0.0811255,0.186405,1.05315,7.11057,1.95496e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13347,0.00693668,1.27927,19.6844,0.0146141,2.69516
