Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82936e-05,0.099305,0,0.0759017,6.98802e-07,0.591577,0,1.69146,2.11726e-05,0.0473657,0,0.0520562,5.95958e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11726e-05,0.000987789,0.0422802,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.95958e-07,0.0585562
2,17.7669,15.8789,15.0109,0.000366195,0.490702,0.656664,2.97574,1.14535e-05,5.59145,3.70338,13.2843,4.70533e-05,0.26102,0.426983,2.10729,1.82966e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2843,4.70533e-05,0.0155217,0.534923,0.129148,0.0239314,0.00853657,0.448777,2.10729,1.82966e-07,0.920125
3,5.2584,4.4361,9.72065,0.000734017,0.177924,0.250281,2.64518,2.00486e-05,1.7232,0.900898,8.86249,9.57263e-05,0.107725,0.180082,0.915652,3.74576e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86249,9.57263e-05,0.0293457,0.235614,0.0417726,0.0104201,0.00755516,0.138153,0.915652,3.74576e-07,1.73961
4,8.11523,6.47708,10.2124,0.00147825,0.293342,0.455146,5.28126,3.73473e-05,2.76424,1.12609,8.86157,0.000201637,0.192706,0.35451,1.82325,8.10817e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86157,0.000201637,0.0584488,0.450333,0.0761984,0.0206842,0.0118465,0.201395,1.82325,8.10817e-07,3.46485
5,2.20178,1.60005,9.13415,0.00291981,0.100661,0.156392,7.58709,7.10098e-05,0.884598,0.282868,7.59833,0.000366468,0.0733888,0.12912,0.673251,1.4009e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59833,0.000366468,0.116473,0.170867,0.024022,0.00761974,0.017688,0.0627935,0.673251,1.4009e-06,6.90454
6,3.69973,2.49858,10.5359,0.00588354,0.170489,0.295761,15.1685,0.000139533,1.66454,0.463394,7.59858,0.000776391,0.131861,0.257133,1.34113,3.11702e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59858,0.000776391,0.232886,0.32708,0.0467762,0.0151381,0.0313899,0.0980491,1.34113,3.11702e-06,13.8055
7,0.50363,0.470184,9.57636,0.019217,0.0308029,0.0440462,49.342,0.000256347,0.419468,0.386021,0.0138689,0.00193065,0.0188869,0.0321302,0.179216,6.7195e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0138689,0.00193065,0.827824,0.0311927,0.0183357,0.0014887,0.107445,0.0556825,0.179216,6.7195e-06,49.0734
8,0.0340165,0.0298294,0.0181652,2.84351e-05,0.000550499,0.000778571,0.0602372,3.34421e-07,0.00617949,0.00199248,0.00219432,7.33558e-06,0.000111096,0.000339168,0.000218026,2.96995e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00219432,7.33558e-06,0.00101147,0.000338019,8.89254e-05,2.33191e-05,0.000321226,0.000724291,0.000218026,2.96995e-08,0.0599602
Total,46.2543,31.3907,66.4847,0.0306555,1.36378,1.85907,83.1359,0.000536773,13.6453,6.86464,47.9128,0.00344643,0.833065,1.3803,7.09206,1.32314e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9128,0.00344643,1.2825,1.79263,0.339823,0.0809097,0.186405,1.05315,7.09206,1.32314e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13504,0.00693672,1.27928,19.8187,0.0146143,2.69519
