Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.34629e-05,0.0993031,0,0.0759017,4.77995e-07,0.591577,0,1.69146,1.63419e-05,0.0473638,0,0.0520562,3.75152e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.63419e-05,0.000987789,0.0422784,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.75152e-07,0.0585562
2,17.7669,15.8789,15.0113,0.000342745,0.499223,0.658912,2.97854,9.80823e-06,5.59145,3.70338,13.2848,2.36029e-05,0.269541,0.42923,2.11009,8.01397e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2848,2.36029e-05,0.0155217,0.545653,0.129148,0.02397,0.00853657,0.448777,2.11009,8.01397e-08,0.920125
3,5.2584,4.4361,9.72331,0.000696965,0.197896,0.251176,2.65613,1.86374e-05,1.7232,0.900898,8.86514,5.86743e-05,0.127697,0.180977,0.926601,1.98182e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86514,5.86743e-05,0.0293457,0.256364,0.0417726,0.0105374,0.00755516,0.138153,0.926601,1.98182e-07,1.73961
4,8.11523,6.47708,10.2127,0.00131101,0.300154,0.457019,5.2837,3.46359e-05,2.76424,1.12609,8.86191,3.44019e-05,0.199518,0.356383,1.82568,1.32985e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86191,3.44019e-05,0.0584488,0.458988,0.0761984,0.0207146,0.0118465,0.201395,1.82568,1.32985e-07,3.46485
5,2.20178,1.60005,9.13432,0.00260479,0.101932,0.156431,7.58709,6.86431e-05,0.884598,0.282868,7.5985,5.14496e-05,0.0746604,0.129159,0.673253,2.17578e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.5985,5.14496e-05,0.116473,0.17217,0.024022,0.00762732,0.017688,0.0627935,0.673253,2.17578e-07,6.90454
6,3.69973,2.49858,10.5361,0.00533679,0.172599,0.295818,15.1685,0.000137223,1.66454,0.463394,7.59872,0.000229644,0.133971,0.25719,1.34113,8.06568e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59872,0.000229644,0.232886,0.329234,0.0467762,0.0151507,0.0313899,0.0980491,1.34113,8.06568e-07,13.8055
7,0.50363,0.470184,9.57647,0.0173546,0.0316675,0.0441202,49.3425,0.000250288,0.419468,0.386021,0.0139789,6.82101e-05,0.0197515,0.0322042,0.179746,6.60067e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139789,6.82101e-05,0.827824,0.0321264,0.0183357,0.00149356,0.107445,0.0556825,0.179746,6.60067e-07,49.0734
8,0.0340165,0.0298294,0.0181537,2.19772e-05,0.000549201,0.000778568,0.0602372,3.14432e-07,0.00617949,0.00199248,0.00218279,8.7773e-07,0.000109797,0.000339165,0.000218026,9.70992e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218279,8.7773e-07,0.00101147,0.000336725,8.89254e-05,2.33112e-05,0.000321226,0.000724291,0.000218026,9.70992e-09,0.0599602
Total,46.2543,31.3907,66.4885,0.0276923,1.40332,1.86425,83.1526,0.000520028,13.6453,6.86464,47.9167,0.000483202,0.872612,1.38548,7.10878,2.48038e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9167,0.000483202,1.2825,1.83715,0.339823,0.0811211,0.186405,1.05315,7.10878,2.48038e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13352,0.00693668,1.27927,19.6887,0.0146141,2.69515
