Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,1.9678e-05,0.0993038,0,0.0759017,3.93627e-07,0.591577,0,1.69146,1.25569e-05,0.0473645,0,0.0520562,2.90783e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.25569e-05,0.000987789,0.042279,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,2.90783e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000328172,0.497844,0.658402,2.97854,9.0756e-06,5.59145,3.70338,13.2847,9.02989e-06,0.268162,0.42872,2.11009,3.43501e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,9.02989e-06,0.0155217,0.54377,0.129148,0.0239647,0.00853657,0.448777,2.11009,3.43501e-08,0.920125
3,5.2584,4.4361,9.72298,0.000692265,0.195486,0.251097,2.65492,1.85001e-05,1.7232,0.900898,8.86481,5.39735e-05,0.125287,0.180898,0.925385,1.81018e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86481,5.39735e-05,0.0293457,0.25389,0.0417726,0.0105231,0.00755516,0.138153,0.925385,1.81018e-07,1.73961
4,8.11523,6.47708,10.2124,0.00133525,0.294704,0.456786,5.28126,3.49246e-05,2.76424,1.12609,8.86155,5.86365e-05,0.194068,0.35615,1.82324,2.05157e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86155,5.86365e-05,0.0584488,0.453337,0.0761984,0.0206825,0.0118465,0.201395,1.82324,2.05157e-07,3.46485
5,2.20178,1.60005,9.13399,0.0026009,0.0994839,0.156356,7.58619,6.86216e-05,0.884598,0.282868,7.59817,4.75588e-05,0.0722121,0.129084,0.672358,2.06798e-07,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59817,4.75588e-05,0.116473,0.169661,0.024022,0.00761273,0.017688,0.0627935,0.672358,2.06798e-07,6.90454
6,3.69973,2.49858,10.5357,0.00519525,0.1673,0.295637,15.1667,0.000136809,1.66454,0.463394,7.59836,8.80956e-05,0.128672,0.25701,1.33934,3.9321e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59836,8.80956e-05,0.232886,0.323786,0.0467762,0.0151193,0.0313899,0.0980491,1.33934,3.9321e-07,13.8055
7,0.50363,0.470184,9.5764,0.0173474,0.0311415,0.0441138,49.3421,0.000250261,0.419468,0.386021,0.0139066,6.10166e-05,0.0192255,0.0321979,0.179392,6.32556e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139066,6.10166e-05,0.827824,0.0315973,0.0183357,0.00149036,0.107445,0.0556825,0.179392,6.32556e-07,49.0734
8,0.0340165,0.0298294,0.0181592,2.12666e-05,0.000549819,0.00077857,0.0602372,3.11102e-07,0.00617949,0.00199248,0.00218828,1.67122e-07,0.000110416,0.000339166,0.000218026,6.38019e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00218828,1.67122e-07,0.00101147,0.000337342,8.89254e-05,2.3315e-05,0.000321226,0.000724291,0.000218026,6.38019e-09,0.0599602
Total,46.2543,31.3907,66.487,0.0275401,1.38581,1.86317,83.1459,0.000518896,13.6453,6.86464,47.9152,0.000331035,0.855102,1.3844,7.10208,1.95025e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9152,0.000331035,1.2825,1.81866,0.339823,0.08102,0.186405,1.05315,7.10208,1.95025e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13414,0.00693676,1.27929,19.742,0.0146145,2.69522
